ISSN	Título	Estrato	Área de Avaliação	Status
1076-6332	Academic Radiology	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1046-8188	ACM Transactions on Information Systems	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1000-9515	Acta Geologica Sinica (Beijing)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1474-0346	Advanced Engineering Informatics	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0196-8858	Advances in Applied Mathematics (Print)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0889-048X	Agriculture and Human Values	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0254-5330	Annals of Operation Research	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0195-6663	Appetite (London. Print)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1466-4291	Applied Economic Letters	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1350-4851	Applied Economics Letters (Print)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1466-4283	Applied Economics (Online)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0003-6846	Applied Economics (Print)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0960-3107	Applied Financial Economics (Print)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0924-669X	Applied Intelligence (Boston)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1068-2341	Archivos Analíticos de Políticas Educativas / Education Policy Analysis Archives	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0144-929X	Behaviour & Information Technology (Print)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1463-5771	Benchmarking (Bradford)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0961-9534	Biomass & Bioenergy	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1471-2407	BMC Cancer (Online)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1471-2458	BMC Public Health (Online)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
1414-431X	Brazilian journal of medical and biological research	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0825-0383	Canadian Journal of the Administrative Sciences	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
0340-7004	Cancer Immunology and Immunotherapy	A1	ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO	Atualizado
