ISSN	Título	Estrato	Área de Avaliação	Status
0335-5322	Actes de la Recherche en Sciences Sociales	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0002-7294	American Anthropologist	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0094-0496	American Ethnologist	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0002-9483	American Journal of Physical Anthropology	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0084-6570	Annual Review of Anthropology (Print)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0003-598X	Antiquity (Cambridge)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0104-8333	Cadernos Pagu (UNICAMP. Impresso)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0011-3204	Current Anthropology	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0012-821X	Earth and Planetary Science Letters	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0873-6561	Etnográfica (Lisboa	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0440-9213	Historical Archaeology	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1806-9983	Horizontes Antropológicos (Online)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0104-7183	Horizontes Antropológicos (UFRGS. Impresso)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0539-0184	Information sur les Sciences Sociales (Paris)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1072-5369	Journal of Archaeological Method and Theory	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0305-4403	Journal of Archaeological Science	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0047-2484	Journal of Human Evolution	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0022-216X	Journal of Latin American Studies (Print)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1359-0987	Journal of the Royal Anthropological Institute	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1045-6635	Latin American Antiquity	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0439-4216	L'Homme (Paris. 1961)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1678-4944	Mana (Rio de Janeiro. Online)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0104-9313	Mana (UFRJ. Impresso)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0899-2363	Public Culture	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1040-6182	Quaternary International	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0033-5894	Quaternary Research (Print)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0033-8222	Radiocarbon	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0100-8587	Religião & Sociedade (Impresso)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1806-9053	Revista Brasileira de Ciências Sociais (Online)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1806-9584	Revista de Estudos Feministas	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0104-026X	Revista Estudos Feministas (UFSC. Impresso)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
	Revista Mana	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0390-6701	Revue Internationale de Sociologie	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
2174-517X	SAGUNTUM	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0036-8075	Science (New York, N.Y.)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1809-4341	Vibrant (Florianópolis)	A1	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1042-0533	American Journal of Human Biology	A2	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	A2	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1463-4996	Anthropological Theory	A2	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
0161-7761	Anthropology & Education Quarterly	A2	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
1053-4202	Anthropology of Consciousness	A2	ANTROPOLOGIA / ARQUEOLOGIA	Atualizado
