ISSN	Título	Estrato	Área de Avaliação	Status
1742-7061	Acta Biomaterialia	A1	ARQUITETURA E URBANISMO	Atualizado
0395-2649	Annales (Paris)	A1	ARQUITETURA E URBANISMO	Atualizado
0003-6870	Applied Ergonomics	A1	ARQUITETURA E URBANISMO	Atualizado
0003-8504	Architectural Design	A1	ARQUITETURA E URBANISMO	Atualizado
0926-5805	Automation in Construction (Print)	A1	ARQUITETURA E URBANISMO	Atualizado
0360-1323	Building and Environment	A1	ARQUITETURA E URBANISMO	Atualizado
0261-3050	Bulletin of Latin American Research	A1	ARQUITETURA E URBANISMO	Atualizado
0263-8223	Composite Structures	A1	ARQUITETURA E URBANISMO	Atualizado
0360-1315	Computers and Education	A1	ARQUITETURA E URBANISMO	Atualizado
0198-9715	Computers, Environment and Urban Systems	A1	ARQUITETURA E URBANISMO	Atualizado
0305-0548	Computers & Operations Research	A1	ARQUITETURA E URBANISMO	Atualizado
0142-694X	Design Studies	A1	ARQUITETURA E URBANISMO	Atualizado
0378-7788	Energy and Buildings	A1	ARQUITETURA E URBANISMO	Atualizado
0730-7268	Environmental Toxicology and Chemistry	A1	ARQUITETURA E URBANISMO	Atualizado
0014-0139	Ergonomics (London. Print)	A1	ARQUITETURA E URBANISMO	Atualizado
0014-0481	Espaces et Sociétés	A1	ARQUITETURA E URBANISMO	Atualizado
1478-0771	International Journal of Architectural Computing	A1	ARQUITETURA E URBANISMO	Atualizado
1895-8648	International Journal of Information Technology and Intelligent Computing	A1	ARQUITETURA E URBANISMO	Atualizado
1046-4883	Journal of Architectural Education (1984. Print)	A1	ARQUITETURA E URBANISMO	Atualizado
1672-6529	Journal of Bionics Engineering	A1	ARQUITETURA E URBANISMO	Atualizado
1569-1551	Journal of Design Research (Online)	A1	ARQUITETURA E URBANISMO	Atualizado
0301-4797	Journal of Environmental Management	A1	ARQUITETURA E URBANISMO	Atualizado
0884-2914	Journal of Materials Research	A1	ARQUITETURA E URBANISMO	Atualizado
0378-7753	Journal of Power Sources (Print)	A1	ARQUITETURA E URBANISMO	Atualizado
1296-4077	Les Cahiers de la Recherche Architecturale et Urbaine	A1	ARQUITETURA E URBANISMO	Atualizado
1359-5997	Materials and Structures	A1	ARQUITETURA E URBANISMO	Atualizado
0028-0836	Nature (London)	A1	ARQUITETURA E URBANISMO	Atualizado
0243-1742	Recherche Architecturale. Rapport d'Exécution de l' Appel d'Offres	A1	ARQUITETURA E URBANISMO	Atualizado
0921-3449	Resources, Conservation and Recycling	A1	ARQUITETURA E URBANISMO	Atualizado
0038-092X	Solar Energy	A1	ARQUITETURA E URBANISMO	Atualizado
1460-1176	Studies in the History of Gardens & Designed Landscapes	A1	ARQUITETURA E URBANISMO	Atualizado
0001-4966	The Journal of the Acoustical Society of America	A1	ARQUITETURA E URBANISMO	Atualizado
1615-5289	Universal Access in the Information Society (Print)	A1	ARQUITETURA E URBANISMO	Atualizado
0042-0980	Urban Studies (Harlow. Print)	A1	ARQUITETURA E URBANISMO	Atualizado
1093-0191	Advances in Environmental Research (Print)	A2	ARQUITETURA E URBANISMO	Atualizado
0169-1317	Applied Clay Science (Print)	A2	ARQUITETURA E URBANISMO	Atualizado
0587-3452	Arch +	A2	ARQUITETURA E URBANISMO	Atualizado
1605-5624	Arquine (México. Impresa)	A2	ARQUITETURA E URBANISMO	Atualizado
0213-487X	A & V (Madrid)	A2	ARQUITETURA E URBANISMO	Atualizado
1138-9796	Biblio 3w (Barcelona)	A2	ARQUITETURA E URBANISMO	Atualizado
0961-9534	Biomass & Bioenergy	A2	ARQUITETURA E URBANISMO	Atualizado
0124-7913	Bitacora Urbano Territorial	A2	ARQUITETURA E URBANISMO	Atualizado
0961-3218	Building Research and Information (Print)	A2	ARQUITETURA E URBANISMO	Atualizado
0241-2799	Cahiers Philosophiques (Paris. 1979)	A2	ARQUITETURA E URBANISMO	Atualizado
0008-7181	Casabella (1965)	A2	ARQUITETURA E URBANISMO	Atualizado
0958-9465	Cement & Concrete Composites	A2	ARQUITETURA E URBANISMO	Atualizado
0927-0256	Computational Materials Science	A2	ARQUITETURA E URBANISMO	Atualizado
1448-7136	Design Philosophy Papers (Online)	A2	ARQUITETURA E URBANISMO	Atualizado
0012-5377	Domus (Milano)	A2	ARQUITETURA E URBANISMO	Atualizado
0212-5633	El Croquis (El Escorial, adrid)	A2	ARQUITETURA E URBANISMO	Atualizado
0196-8904	Energy Conversion and Management	A2	ARQUITETURA E URBANISMO	Atualizado
0364-152X	Environmental Management (New York)	A2	ARQUITETURA E URBANISMO	Atualizado
0269-7491	Environmental Pollution (1987)	A2	ARQUITETURA E URBANISMO	Atualizado
0250-7161	EURE (Santiago. Impresa)	A2	ARQUITETURA E URBANISMO	Atualizado
1165-0354	Géographie et Cultures (Paris)	A2	ARQUITETURA E URBANISMO	Atualizado
0197-3975	Habitat International	A2	ARQUITETURA E URBANISMO	Atualizado
