ISSN	Título	Estrato	Área de Avaliação	Status
1679-3749	Aletria (UFMG)	A1	ARTES / MÚSICA	Atualizado
0810-4123	Australasian Drama Studies	A1	ARTES / MÚSICA	Atualizado
0265-0517	British Journal of Music Education (Print)	A1	ARTES / MÚSICA	Atualizado
0306-1078	Early Music	A1	ARTES / MÚSICA	Atualizado
1478-5706	Eighteenth-Century Music	A1	ARTES / MÚSICA	Atualizado
1559-5749	Empirical Musicology Review	A1	ARTES / MÚSICA	Atualizado
0104-4036	Ensaio (Fundação Cesgranrio. Impresso)	A1	ARTES / MÚSICA	Atualizado
0014-1836	Ethnomusicology	A1	ARTES / MÚSICA	Atualizado
0873-6561	Etnográfica (Lisboa	A1	ARTES / MÚSICA	Atualizado
1743-5234	International Journal of Education Through Art	A1	ARTES / MÚSICA	Atualizado
0255-7614	International Journal of Music Education	A1	ARTES / MÚSICA	Atualizado
0382-0335	Jeu: cahiers de theatre	A1	ARTES / MÚSICA	Atualizado
0024-094X	Leonardo (Oxford)	A1	ARTES / MÚSICA	Atualizado
1983-6821	Machado de Assis em Linha	A1	ARTES / MÚSICA	Atualizado
1461-3808	Music Education Research (Print)	A1	ARTES / MÚSICA	Atualizado
2176-7017	O Percevejo Online	A1	ARTES / MÚSICA	Atualizado
1355-7718	Organised Sound (Print)	A1	ARTES / MÚSICA	Atualizado
1517-7599	Per Musi (UFMG)	A1	ARTES / MÚSICA	Atualizado
0031-6016	Perspectives of New Music	A1	ARTES / MÚSICA	Atualizado
0300-7766	Popular Music and Society	A1	ARTES / MÚSICA	Atualizado
1464-7893	Research in Dance Education (Print)	A1	ARTES / MÚSICA	Atualizado
0103-6963	Revista Brasileira de Literatura Comparada	A1	ARTES / MÚSICA	Atualizado
0716-2790	Revista Musical Chilena (Impresa)	A1	ARTES / MÚSICA	Atualizado
2238-3867	Sala Preta	A1	ARTES / MÚSICA	Atualizado
1519-5279	Sala Preta (USP)	A1	ARTES / MÚSICA	Atualizado
0039-3630	Studies in Conservation	A1	ARTES / MÚSICA	Atualizado
1477-965X	Technoetic Arts	A1	ARTES / MÚSICA	Atualizado
1758-9533	Technoetic Arts: A Journal of Speculative Research	A1	ARTES / MÚSICA	Atualizado
1944-3927	Theatre, Dance and Performance Training	A1	ARTES / MÚSICA	Atualizado
0043-8774	The World of Music (Wilhelmshaven)	A1	ARTES / MÚSICA	Atualizado
0952-8822	Third Text	A1	ARTES / MÚSICA	Atualizado
1697-0101	Trans (Barcelona)	A1	ARTES / MÚSICA	Atualizado
1414-5731	Urdimento (UDESC)	A1	ARTES / MÚSICA	Atualizado
1470-3572	Visual Communication (Print)	A1	ARTES / MÚSICA	Atualizado
0740-1558	Yearbook for Traditional Music	A1	ARTES / MÚSICA	Atualizado
2178-5201	Acta Scientiarum. Education (Online)	A2	ARTES / MÚSICA	Atualizado
1545-4517	Action, Criticism, & Theory for Music Education	A2	ARTES / MÚSICA	Atualizado
1516-1498	Ágora ( PPGTP/UFRJ)	A2	ARTES / MÚSICA	Atualizado
0951-5666	AI & Society	A2	ARTES / MÚSICA	Atualizado
1517-106X	Alea: Estudos Neolatinos (Impresso)	A2	ARTES / MÚSICA	Atualizado
2178-3845	ArtCultura	A2	ARTES / MÚSICA	Atualizado
1516-8603	ArtCultura (UFU)	A2	ARTES / MÚSICA	Atualizado
1063-2913	Arts Education Policy Review	A2	ARTES / MÚSICA	Atualizado
1981-8122	Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas	A2	ARTES / MÚSICA	Atualizado
0103-2186	Estudos Historicos (Rio de Janeiro)	A2	ARTES / MÚSICA	Atualizado
1676-2592	ETD. Educação Temática Digital	A2	ARTES / MÚSICA	Atualizado
1773-9128	Filigrane (Sampzon)	A2	ARTES / MÚSICA	Atualizado
1413-9073	Gragoatá (UFF)	A2	ARTES / MÚSICA	Atualizado
0262-8856	Image and Vision Computing	A2	ARTES / MÚSICA	Atualizado
1414-3283	Interface (Botucatu. Impresso)	A2	ARTES / MÚSICA	Atualizado
1415-2525	Ipotesi (UFJF. Impresso)	A2	ARTES / MÚSICA	Atualizado
1307-0401	Journal of Interdisciplinary Music Studies (Print)	A2	ARTES / MÚSICA	Atualizado
1356-9325	Journal of Latin American Cultural Studies	A2	ARTES / MÚSICA	Atualizado
0022-4294	Journal of Research in Music Education	A2	ARTES / MÚSICA	Atualizado
0892-1997	Journal of Voice	A2	ARTES / MÚSICA	Atualizado
1413-2982	Literatura e Sociedade (USP)	A2	ARTES / MÚSICA	Atualizado
0104-9313	Mana (UFRJ. Impresso)	A2	ARTES / MÚSICA	Atualizado
2177-8841	Moringa - Artes do Espetáculo (UFPB)	A2	ARTES / MÚSICA	Atualizado
1980-8348	Moringa (João Pessoa)	A2	ARTES / MÚSICA	Atualizado
1676-3939	Música Hodie	A2	ARTES / MÚSICA	Atualizado
0027-4224	Music & Letters	A2	ARTES / MÚSICA	Atualizado
1961-8999	Nouveaux Actes Sémiotiques (En Ligne)	A2	ARTES / MÚSICA	Atualizado
1517-7017	Opus (Belo Horizonte. Online)	A2	ARTES / MÚSICA	Atualizado
0103-7269	Porto Arte (UFRGS)	A2	ARTES / MÚSICA	Atualizado
1982-9507	Pós: Revista do Programa de Pós-Graduação em Artes	A2	ARTES / MÚSICA	Atualizado
0102-7182	Psicologia e Sociedade (Impresso)	A2	ARTES / MÚSICA	Atualizado
0993-0701	Puck - La Marionnette et le Autres Arts	A2	ARTES / MÚSICA	Atualizado
1050-9208	Quarterly Review of Film and Video	A2	ARTES / MÚSICA	Atualizado
