ISSN	Título	Estrato	Área de Avaliação	Status
0065-2504	Advances in Ecological Research	A1	BIODIVERSIDADE	Atualizado
0168-1923	Agricultural and Forest Meteorology (Print)	A1	BIODIVERSIDADE	Atualizado
0167-8809	Agriculture, Ecosystems & Environment (Print)	A1	BIODIVERSIDADE	Atualizado
0002-9122	American Journal of Botany	A1	BIODIVERSIDADE	Atualizado
0002-9297	American Journal of Human Genetics	A1	BIODIVERSIDADE	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	BIODIVERSIDADE	Atualizado
0003-3472	Animal Behaviour	A1	BIODIVERSIDADE	Atualizado
1367-9430	Animal Conservation (Print)	A1	BIODIVERSIDADE	Atualizado
0305-7364	Annals of Botany (Print)	A1	BIODIVERSIDADE	Atualizado
0077-8923	Annals of the New York Academy of Sciences	A1	BIODIVERSIDADE	Atualizado
1543-592X	Annual Review of Ecology, Evolution, and Systematics	A1	BIODIVERSIDADE	Atualizado
0147-006X	Annual Review of Neuroscience (Print)	A1	BIODIVERSIDADE	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	BIODIVERSIDADE	Atualizado
0044-8435	Apidologie (Celle)	A1	BIODIVERSIDADE	Atualizado
1098-5336	Applied and Environmental Microbiology (Online)	A1	BIODIVERSIDADE	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	BIODIVERSIDADE	Atualizado
0003-6951	Applied Physics Letters	A1	BIODIVERSIDADE	Atualizado
0044-8486	Aquaculture (Amsterdam)	A1	BIODIVERSIDADE	Atualizado
0166-445X	Aquatic Toxicology	A1	BIODIVERSIDADE	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	BIODIVERSIDADE	Atualizado
0166-4328	Behavioural Brain Research	A1	BIODIVERSIDADE	Atualizado
0265-9247	BioEssays (Cambridge)	A1	BIODIVERSIDADE	Atualizado
0892-7014	Biofouling (New York. Print)	A1	BIODIVERSIDADE	Atualizado
0168-2563	Biogeochemistry (Dordrecht)	A1	BIODIVERSIDADE	Atualizado
1726-4189	Biogeosciences	A1	BIODIVERSIDADE	Atualizado
1726-4170	Biogeosciences (Katlenburg-Lindau. Print)	A1	BIODIVERSIDADE	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	BIODIVERSIDADE	Atualizado
0006-3207	Biological Conservation	A1	BIODIVERSIDADE	Atualizado
1387-3547	Biological Invasions	A1	BIODIVERSIDADE	Atualizado
1464-7931	Biological Reviews	A1	BIODIVERSIDADE	Atualizado
0006-3568	Bioscience (Washington. Print)	A1	BIODIVERSIDADE	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	BIODIVERSIDADE	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	BIODIVERSIDADE	Atualizado
