ISSN	Título	Estrato	Área de Avaliação	Status
1742-7061	Acta Biomaterialia	A1	BIOTECNOLOGIA	Atualizado
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	BIOTECNOLOGIA	Atualizado
0001-6322	Acta Neuropathologica	A1	BIOTECNOLOGIA	Atualizado
0169-409X	Advanced Drug Delivery Reviews	A1	BIOTECNOLOGIA	Atualizado
0065-2164	Advances in Applied Microbiology	A1	BIOTECNOLOGIA	Atualizado
0065-2776	Advances in Immunology (Print)	A1	BIOTECNOLOGIA	Atualizado
0065-308X	Advances in Parasitology	A1	BIOTECNOLOGIA	Atualizado
1474-9718	Aging Cell (Print)	A1	BIOTECNOLOGIA	Atualizado
0269-9370	AIDS (London)	A1	BIOTECNOLOGIA	Atualizado
0105-4538	Allergy (Copenhagen)	A1	BIOTECNOLOGIA	Atualizado
0002-9165	American Journal of Clinical Nutrition	A1	BIOTECNOLOGIA	Atualizado
0002-9262	American Journal of Epidemiology	A1	BIOTECNOLOGIA	Atualizado
0002-9297	American Journal of Human Genetics	A1	BIOTECNOLOGIA	Atualizado
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	BIOTECNOLOGIA	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	BIOTECNOLOGIA	Atualizado
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A1	BIOTECNOLOGIA	Atualizado
1600-6135	American Journal of Transplantation (Print)	A1	BIOTECNOLOGIA	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	BIOTECNOLOGIA	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	BIOTECNOLOGIA	Atualizado
0003-4819	Annals of Internal Medicine	A1	BIOTECNOLOGIA	Atualizado
1543-5008	Annual Review of Plant Biology (Print)	A1	BIOTECNOLOGIA	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	BIOTECNOLOGIA	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	BIOTECNOLOGIA	Atualizado
0166-3542	Antiviral Research	A1	BIOTECNOLOGIA	Atualizado
1360-8185	Apoptosis (London)	A1	BIOTECNOLOGIA	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	BIOTECNOLOGIA	Atualizado
0306-2619	Applied Energy	A1	BIOTECNOLOGIA	Atualizado
0340-5761	Archives of Toxicology	A1	BIOTECNOLOGIA	Atualizado
1432-0738	Archives of Toxicology (Internet)	A1	BIOTECNOLOGIA	Atualizado
1568-9972	Autoimmunity Reviews	A1	BIOTECNOLOGIA	Atualizado
1554-8627	Autophagy (Georgetown, TX)	A1	BIOTECNOLOGIA	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	BIOTECNOLOGIA	Atualizado
0006-2952	Biochemical Pharmacology	A1	BIOTECNOLOGIA	Atualizado
1388-1981	Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids	A1	BIOTECNOLOGIA	Atualizado
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A1	BIOTECNOLOGIA	Atualizado
1874-9399	Biochimica et Biophysica Acta. Gene Regulatory Mechanisms (Print)	A1	BIOTECNOLOGIA	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	BIOTECNOLOGIA	Atualizado
1043-1802	Bioconjugate Chemistry	A1	BIOTECNOLOGIA	Atualizado
0265-9247	BioEssays (Cambridge)	A1	BIOTECNOLOGIA	Atualizado
0892-7014	Biofouling (New York. Print)	A1	BIOTECNOLOGIA	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	BIOTECNOLOGIA	Atualizado
0142-9612	Biomaterials (Guildford)	A1	BIOTECNOLOGIA	Atualizado
0960-8524	Bioresource Technology	A1	BIOTECNOLOGIA	Atualizado
0006-3568	Bioscience (Washington. Print)	A1	BIOTECNOLOGIA	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	BIOTECNOLOGIA	Atualizado
0734-9750	Biotechnology Advances	A1	BIOTECNOLOGIA	Atualizado
1873-1899	Biotechnology Advances (Online)	A1	BIOTECNOLOGIA	Atualizado
1754-6834	Biotechnology for Biofuels	A1	BIOTECNOLOGIA	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	BIOTECNOLOGIA	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	BIOTECNOLOGIA	Atualizado
1741-7007	BMC Biology	A1	BIOTECNOLOGIA	Atualizado
0959-535X	BMJ. British Medical Journal	A1	BIOTECNOLOGIA	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	BIOTECNOLOGIA	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	BIOTECNOLOGIA	Atualizado
0167-6806	Breast Cancer Research and Treatment	A1	BIOTECNOLOGIA	Atualizado
0007-0920	British Journal of Cancer	A1	BIOTECNOLOGIA	Atualizado
0007-1188	British Journal of Pharmacology	A1	BIOTECNOLOGIA	Atualizado
0304-3835	Cancer Letters (Print)	A1	BIOTECNOLOGIA	Atualizado
1940-6215	Cancer Prevention Research (Philadelphia, Online)	A1	BIOTECNOLOGIA	Atualizado
0008-543X	Cancer (Print)	A1	BIOTECNOLOGIA	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	BIOTECNOLOGIA	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	BIOTECNOLOGIA	Atualizado
0008-6363	Cardiovascular Research	A1	BIOTECNOLOGIA	Atualizado
1538-4101	Cell Cycle (Georgetown, Tex.)	A1	BIOTECNOLOGIA	Atualizado
1001-0602	Cell Research	A1	BIOTECNOLOGIA	Atualizado
1420-682X	Cellular and Molecular Life Sciences (Printed ed.)	A1	BIOTECNOLOGIA	Atualizado
1462-5814	Cellular Microbiology (Print)	A1	BIOTECNOLOGIA	Atualizado
1867-3880	ChemCatChem	A1	BIOTECNOLOGIA	Atualizado
