ISSN	Título	Estrato	Área de Avaliação	Status
0003-2654	Analyst (London. 1877. Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1618-2642	Analytical and Bioanalytical Chemistry (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0305-7364	Annals of Botany (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1941-1413	ANNU REV FOOD SCI T	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0306-2619	Applied Energy	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0175-7598	Applied Microbiology and Biotechnology	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0003-6951	Applied Physics Letters	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0340-5761	Archives of Toxicology	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0166-4328	Behavioural Brain Research	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1570-9639	Biochimica et Biophysica Acta. Proteins and Proteomics	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0892-7014	Biofouling (New York. Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1525-7797	Biomacromolecules	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0961-9534	Biomass & Bioenergy	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0960-8524	Bioresource Technology	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1471-2229	BMC Plant Biology (Online)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0304-3835	Cancer Letters (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0144-8617	Carbohydrate Polymers	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1867-3880	ChemCatChem	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0261-5614	Clinical Nutrition (Edinburgh)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0927-7765	Colloids and Surfaces. B, Biointerfaces (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1541-4337	Comprehensive Reviews in Food Science and Food Safety	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0010-938X	Corrosion Science	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1040-8347	Critical Reviews in Analytical Chemistry	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1568-0096	Current Cancer Drug Targets (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1389-2002	Current Drug Metabolism	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1389-4501	Current Drug Targets (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1363-1950	Current Opinion in Clinical Nutrition and Metabolic Care	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0360-5442	Energy (Oxford)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0939-6411	European Journal of Pharmaceutics and Biopharmaceutics	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1741-4288	Evidence-Based Complementary and Alternative Medicine (Online)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1741-427X	Evidence-Based Complementary and Alternative Medicine (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1364-5498	Faraday Discussions (Online)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1935-5149	Food and Bioprocess Technology (Online)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1935-5130	Food and Bioprocess Technology (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0308-8146	Food Chemistry	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0268-005X	Food Hydrocolloids	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0891-5849	Free Radical Biology & Medicine	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1463-9262	Green Chemistry (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0019-2805	Immunology (Oxford. Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
1452-3981	International Journal of Electrochemical Science (Online)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0168-1605	International Journal of Food Microbiology	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0360-3199	International Journal of Hydrogen Energy	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0021-9193	Journal of Bacteriology (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0021-9673	Journal of Chromatography (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0022-0957	Journal of Experimental Botany	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0304-3894	Journal of Hazardous Materials (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
0376-7388	Journal of Membrane Science (Print)	A1	CIÊNCIA DE ALIMENTOS	Atualizado
