ISSN	Título	Estrato	Área de Avaliação	Status
1130-2887	América Latina Hoy	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1532-673X	American Politics Research	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0003-2573	Análise Social	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1234-0987	Brazilian Review of Social Sciences	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0261-3050	Bulletin of Latin American Research	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0955-7571	Cambridge Review of International Affairs	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1540-1650	Chinese Journal of International Law (Boulder, Colo.)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0264-2751	Cities	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1362-1025	Citizenship Studies (Abingdon. Print)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0010-4140	Comparative Political Studies	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0010-4159	Comparative Politics	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1536-5581	Conflict Resolution Quarterly	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0010-8367	Cooperation and Conflict	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0261-3794	Electoral Studies	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0964-4016	Environmental Politics	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1654-4951	Ethics & Global Politics	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1463-6697	Info (Cambridge. Print)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0891-4486	International Journal of Politics, Culture and Society	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1353-3312	International Peacekeeping	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0192-5121	International Political Science Review	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1749-5679	International Political Sociology (Print)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1521-9488	International Studies Review (Malden, Mass.)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1045-5736	Journal of Democracy	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0022-216X	Journal of Latin American Studies (Print)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0022-3433	Journal of Peace Research	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0140-2390	Journal of Strategic Studies	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0094-582X	Latin American Perspectives	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1531-426X	Latin American Politics and Society	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0023-8791	Latin American Research Review	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0362-9805	Legislative Studies Quarterly	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1086-671X	Mobilization: an international journal	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0899-7640	Nonprofit and Voluntary Sector Quarterly	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0104-6276	Opinião Pública (UNICAMP. Impresso)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
0033-3352	PAR. Public Administration Review	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
1537-5927	Perspectives on Politics (Print)	A1	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS	Atualizado
