ISSN	Título	Estrato	Área de Avaliação	Status
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0001-706X	Acta Tropica	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0065-2113	Advances in Agronomy	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0065-2296	Advances in Botanical Research	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0065-3527	Advances in Virus Research (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0168-1923	Agricultural and Forest Meteorology (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0308-521X	Agricultural Systems	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0167-8809	Agriculture, Ecosystems & Environment (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1774-0746	Agronomy for Sustainable Development	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0002-1962	Agronomy Journal (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0002-9122	American Journal of Botany	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1537-2197	American Journal of Botany (eletronic version)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1438-2199	Amino Acids (Wien. Internet)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0939-4451	Amino Acids (Wien. Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0003-2654	Analyst (London. 1877. Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1618-2642	Analytical and Bioanalytical Chemistry (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0003-3472	Animal Behaviour	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0305-7364	Annals of Botany (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0077-8923	Annals of the New York Academy of Sciences	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1098-5336	Applied and Environmental Microbiology (Online)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0169-1317	Applied Clay Science (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0175-7598	Applied Microbiology and Biotechnology	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1680-7375	Atmospheric Chemistry and Physics Discussion (Online)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1680-7324	Atmospheric Chemistry and Physics (Online)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1680-7316	Atmospheric Chemistry and Physics (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1439-1791	Basic and Applied Ecology (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1045-2249	Behavioral Ecology	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0340-5443	Behavioral Ecology and Sociobiology (Print)	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1860-5397	Beilstein Journal of Organic Chemistry	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
1369-703X	Biochemical Engineering Journal	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
0006-2952	Biochemical Pharmacology	A1	CIÊNCIAS AGRÁRIAS I	Atualizado
