ISSN	Título	Estrato	Área de Avaliação	Status
0001-4842	Accounts of Chemical Research	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1146-609X	Acta Oecologica (Montrouge)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
2040-4700	Advances in Animal Biosciences	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0168-1923	Agricultural and Forest Meteorology (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0378-3774	Agricultural Water Management (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0167-8809	Agriculture, Ecosystems & Environment (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1774-0746	Agronomy for Sustainable Development	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1618-2642	Analytical and Bioanalytical Chemistry (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1543-592X	Annual Review of Ecology, Evolution, and Systematics	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0883-2927	Applied Geochemistry	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0143-6228	Applied Geography (Sevenoaks)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0175-7598	Applied Microbiology and Biotechnology	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0044-8486	Aquaculture (Amsterdam)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1052-7613	Aquatic Conservation (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0090-4341	Archives of Environmental Contamination and Toxicology (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1680-7324	Atmospheric Chemistry and Physics (Online)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1680-7316	Atmospheric Chemistry and Physics (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0169-8095	Atmospheric Research (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1530-261X	Atmospheric Science Letters	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1442-9985	Austral Ecology (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1138-9796	Biblio 3w (Barcelona)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0167-4889	Biochimica et Biophysica Acta. Molecular Cell Research	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0960-3115	Biodiversity and Conservation	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1932-104X	Biofuels, Bioproducts & Biorefining	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0168-2563	Biogeochemistry (Dordrecht)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1810-6285	Biogeosciences Discussion (Online)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1726-4170	Biogeosciences (Katlenburg-Lindau. Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0006-3207	Biological Conservation	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0024-4066	Biological Journal of the Linnean Society	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0178-2762	Biology and Fertility of Soils (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1744-9561	Biology Letters (Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0961-9534	Biomass & Bioenergy	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0960-8524	Bioresource Technology	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1413-4853	Boletim de Ciências Geodésicas (Impresso)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0360-1323	Building and Environment	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0003-0007	Bulletin of the American Meteorological Society	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0897-4756	Chemistry of Materials	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0045-6535	Chemosphere (Oxford)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0930-7575	Climate Dynamics	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0936-577X	Climate Research	A1	CIÊNCIAS AMBIENTAIS	Atualizado
0165-0009	Climatic Change	A1	CIÊNCIAS AMBIENTAIS	Atualizado
1469-493X	Cochrane Database of Systematic Reviews (Online)	A1	CIÊNCIAS AMBIENTAIS	Atualizado
