ISSN	Título	Estrato	Área de Avaliação	Status
1742-7061	Acta Biomaterialia	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0001-6322	Acta Neuropathologica	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0965-2140	Addiction (Abingdon. Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1355-6215	Addiction Biology (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0169-409X	Advanced Drug Delivery Reviews	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0065-2776	Advances in Immunology (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0065-308X	Advances in Parasitology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0001-8732	Advances in Physics	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1474-9718	Aging Cell (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0269-9370	AIDS (London)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0105-4538	Allergy (Copenhagen)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0002-9262	American Journal of Epidemiology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0361-8609	American Journal of Hematology (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0002-9297	American Journal of Human Genetics	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1433-7851	Angewandte Chemie (International ed. Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0923-7534	Annals of Oncology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0003-4967	Annals of the Rheumatic Diseases	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1543-592X	Annual Review of Ecology, Evolution, and Systematics	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1543-5008	Annual Review of Plant Biology (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1098-6596	Antimicrobial Agents and Chemotherapy (Online)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0166-3542	Antiviral Research	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1360-8185	Apoptosis (London)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0306-2619	Applied Energy	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0003-990X	Archives of General Psychiatry	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0340-5761	Archives of Toxicology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1079-5642	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0004-3591	Arthritis and Rheumatism	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1554-8627	Autophagy (Georgetown, TX)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0300-8428	Basic Research in Cardiology (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0006-2952	Biochemical Pharmacology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1388-1981	Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0005-2728	Biochimica et Biophysica Acta. Bioenergetics	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0925-4439	Biochimica et Biophysica Acta. Molecular Basis of Disease	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0167-4889	Biochimica et Biophysica Acta. Molecular Cell Research	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0265-9247	BioEssays (Cambridge)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0951-6433	BioFactors (Oxford)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0892-7014	Biofouling (New York. Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0006-3223	Biological Psychiatry (1969)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1464-7931	Biological Reviews	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1525-7797	Biomacromolecules	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0142-9612	Biomaterials (Guildford)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0960-8524	Bioresource Technology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0006-3568	Bioscience (Washington. Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0734-9750	Biotechnology Advances	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1754-6834	Biotechnology for Biofuels	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1528-0020	Blood (Philadelphia. Online)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1741-7007	BMC Biology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0165-0173	Brain Research Reviews	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0167-6806	Breast Cancer Research and Treatment	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1465-5411	Breast Cancer Research (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
1467-5463	Briefings in Bioinformatics	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0007-0920	British Journal of Cancer	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0007-1048	British Journal of Haematology (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0007-1188	British Journal of Pharmacology	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0007-1250	British Journal of Psychiatry (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0008-543X	Cancer (Print)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	CIÊNCIAS BIOLÓGICAS I	Atualizado
