ISSN	Título	Estrato	Área de Avaliação	Status
0001-4842	Accounts of Chemical Research	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1554-8929	ACS Chemical Biology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0001-6322	Acta Neuropathologica	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0169-409X	Advanced Drug Delivery Reviews	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1615-4150	Advanced Synthesis & Catalysis (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1568-1637	Ageing Research Reviews (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1474-9718	Aging Cell (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0269-9370	AIDS (London)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0105-4538	Allergy (Copenhagen)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1552-5260	Alzheimer's & Dementia	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0002-9165	American Journal of Clinical Nutrition	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0002-9262	American Journal of Epidemiology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0002-9297	American Journal of Human Genetics	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1600-6135	American Journal of Transplantation (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0003-3022	Anesthesiology (Philadelphia)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0003-4819	Annals of Internal Medicine	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0364-5134	Annals of Neurology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0003-4967	Annals of the Rheumatic Diseases	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0066-4219	Annual Review of Medicine (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0066-4286	Annual Review of Phytopathology (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0003-990X	Archives of General Psychiatry	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1079-5642	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1524-4636	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0004-3591	Arthritis and Rheumatism	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1568-9972	Autoimmunity Reviews	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1554-8627	Autophagy (Georgetown, TX)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1435-1803	Basic Research in Cardiology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0300-8428	Basic Research in Cardiology (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0140-525X	Behavioral and Brain Sciences (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1388-1981	Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0304-419X	Biochimica et Biophysica Acta, CR. Reviews on Cancer	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0925-4439	Biochimica et Biophysica Acta. Molecular Basis of Disease	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0167-4889	Biochimica et Biophysica Acta. Molecular Cell Research	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0006-3223	Biological Psychiatry (1969)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1469-185X	Biological Reviews of the Cambridge Philosophical Society (Online)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1525-7797	Biomacromolecules	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0142-9612	Biomaterials (Guildford)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0734-9750	Biotechnology Advances	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1754-6834	Biotechnology for Biofuels	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1528-0020	Blood (Philadelphia. Online)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1741-7007	BMC Biology	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1741-7015	BMC Medicine	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0006-8950	Brain (London. Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0165-0173	Brain Research Reviews	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1863-2653	Brain Structure & Function (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0007-0920	British Journal of Cancer	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0007-1250	British Journal of Psychiatry (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0008-6223	Carbon (New York)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0008-6363	Cardiovascular Research	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0092-8674	Cell (Cambridge)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1551-4005	Cell Cycle (Georgetown, Online)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1538-4101	Cell Cycle (Georgetown, Tex.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1350-9047	Cell Death and Differentiation	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
2041-4889	Cell Death & Disease	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1931-3128	Cell Host & Microbe	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1550-4131	Cell Metabolism	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1001-0602	Cell Research	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1420-9071	Cellular and Molecular Life Sciences (Electronic ed.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1420-682X	Cellular and Molecular Life Sciences (Printed ed.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
