ISSN	Título	Estrato	Área de Avaliação	Status
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0001-6322	Acta Neuropathologica	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0065-2776	Advances in Immunology (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0269-9370	AIDS (London)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1350-2840	AIDS (Supplement)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0105-4538	Allergy (Copenhagen)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0002-9297	American Journal of Human Genetics	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1600-6135	American Journal of Transplantation (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0003-4819	Annals of Internal Medicine	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0003-4967	Annals of the Rheumatic Diseases	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0003-9942	Archives of Neurology (Chicago)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1079-5642	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0004-3591	Arthritis and Rheumatism	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1568-9972	Autoimmunity Reviews	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1554-8627	Autophagy (Georgetown, TX)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0167-4889	Biochimica et Biophysica Acta. Molecular Cell Research	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1525-7797	Biomacromolecules	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0734-9750	Biotechnology Advances	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1754-6834	Biotechnology for Biofuels	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1528-0020	Blood (Philadelphia. Online)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0959-8146	BMJ (International Edition)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0167-7659	Cancer Metastasis Reviews (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0092-8674	Cell (Cambridge)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1538-4101	Cell Cycle (Georgetown, Tex.)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1350-9047	Cell Death and Differentiation	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1931-3128	Cell Host & Microbe	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1420-9071	Cellular and Molecular Life Sciences (Electronic ed.)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1420-682X	Cellular and Molecular Life Sciences (Printed ed.)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1462-5822	Cellular Microbiology (Online)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1462-5814	Cellular Microbiology (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0012-3692	Chest (American College of Chest Physicians)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0009-7322	Circulation (New York, N.Y.)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0009-7330	Circulation Research	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0954-7894	Clinical and Experimental Allergy (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1078-0432	Clinical Cancer Research (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0009-9147	Clinical Chemistry (Baltimore, Md.)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1058-4838	Clinical Infectious Diseases	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1555-9041	Clinical Journal of the American Society of Nephrology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0893-8512	Clinical Microbiology Reviews (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1469-493X	Cochrane Database of Systematic Reviews (Online)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0090-3493	Critical Care Medicine	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1530-0293	Critical Care Medicine (Online)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0960-9822	Current Biology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1389-2002	Current Drug Metabolism	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1369-5274	Current Opinion in Microbiology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0959-440X	Current Opinion in Structural Biology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1359-6101	Cytokine & Growth Factor Reviews	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0012-1797	Diabetes (New York, N.Y.)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1469-221X	EMBO Reports (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1080-6059	Emerging Infectious Diseases (Online)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1080-6040	Emerging Infectious Diseases (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0091-6765	Environmental Health Perspectives	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1462-2912	Environmental Microbiology (Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0013-936X	Environmental Science & Technology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1520-5851	Environmental Science & Technology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0160-4120	Environment International	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1044-3983	Epidemiology (Cambridge, Mass., Print)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
0014-2980	European Journal of Immunology	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1521-4141	European Journal of Immunology (Internet)	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1721-727X	European Journal of Inflammation	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
1354-3784	Expert Opinion on Investigational Drugs	A1	CIÊNCIAS BIOLÓGICAS III	Atualizado
