ISSN	Título	Estrato	Área de Avaliação	Status
1570-5838	Applied Ontology	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1875-8533	Applied Ontology (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0145-8973	Chasqui	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1134-3478	Comunicar (Huelva)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1529-5036	Critical Studies in Media Communication	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0264-0473	Electronic Library	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1386-6710	El Profesional de la Información	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1134-1629	Estudos del mensaje periodistico	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0957-4174	Expert Systems with Applications	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0767-9513	Hermès (Paris. 1988)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0104-0146	Informação & Sociedade (UFPB. Impresso)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1809-4783	Informação & Sociedade (UFPB. Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0266-6669	Information Development	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1368-1613	Information Research	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1932-8036	International Journal of Communication (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1975-3586	International Journal of Intangible Heritage (Seoul. Print)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1447-9540	International Journal of Learning (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0187-358X	Investigación Bibliotecológica	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1077-6990	Journalism & Mass Communication Quarterly	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1461-670X	JOURNALISM STUD	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1469-9699	Journalism Studies	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0021-9916	Journal of Communication	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0963-8687	Journal of Strategic Information Systems	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1532-2890	Journal of The American Society For Information Science and Technology (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1532-2882	Journal of the American Society for Information Science and Technology (Print)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0943-7444	Knowledge Organization	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0023-8791	Latin American Research Review	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0024-2594	Library Trends	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0024-7413	Luso-Brazilian Review	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0893-3189	Management Communication Quarterly	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1552-6798	Management Communication Quarterly (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0163-4437	Media, Culture & Society	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1361-4568	New Review of Hypermedia and Multimedia	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1413-9936	Perspectivas em Ciência da Informação (Impresso)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1981-5344	Perspectivas em Ciência da Informação (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0899-2363	Public Culture	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1588-2861	Scientometrics (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0138-9130	Scientometrics (Print)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0765-3697	Sociétés (Paris)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0730-9139	Studies in Latin American Popular Culture	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1527-4764	Television & New Media	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1940-1612	The International Journal of Press/Politics	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1940-1620	The International Journal of Press/Politics (Online)	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0009-1774	Transactions of the Charles S. Peirce Society	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0103-3786	Transinformação	A1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1692-2522	Anagramas Rumbos y Sentidos de la Comunicacion	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0101-4714	Anais do Museu Paulista (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1389-0166	Archival Science	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
2176-4573	Bakhtiniana: Revista de Estudos do Discurso	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1981-8122	Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0101-3262	Cadernos CEDES (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1413-8123	Ciência e Saúde Coletiva (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1678-4561	Ciência & Saúde Coletiva (Online)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1753-5379	Communicatio	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1051-0974	Communication Studies	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0250-0167	Communicatio: South African journal for communication theory and research	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0188-252X	Comunicación y Sociedad (Guadalajara)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0419-1633	Diogène (Ed. Française)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0392-1921	Diogenes (English ed.)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0012-4508	Documentaliste (Paris)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1808-2599	E-Compós (Brasília)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0101-7330	Educação & Sociedade (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0167-8329	Education for Information	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0103-4014	Estudos Avançados (USP. Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1519-311X	Galáxia (PUCSP)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1982-2553	Galáxia (São Paulo. Online)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1742-7665	Global Media and Communication (Print)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1550-7521	Global Media Journal	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0104-5970	História, Ciências, Saúde-Manguinhos (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0167-5265	Information Services & Use	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0102-6453	InterCom: revista brasileira de ciencias da comunicacao	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1809-5844	Intercom (São Paulo. Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1980-3508	Intercom (São Paulo. Online)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1744-2621	International Journal of Metadata, Semantics and Ontologies (Print)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1824-2049	JCOM, Journal of Science Communication	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1464-8849	Journalism (London)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1356-9325	Journal of Latin American Cultural Studies	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1536-5050	Journal of the Medical Library Association	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1764-2507	Le Temps des Médias	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0102-6445	Lua Nova (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0104-9313	Mana (UFRJ. Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1982-8160	Matrizes (Online)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1982-2073	Matrizes (USP. Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0292-0107	Multitudes (Paris)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0307-4803	New Library World	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0101-3300	Novos Estudos CEBRAP (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1065-075X	OCLC Systems & Services	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0104-6276	Opinião Pública (UNICAMP. Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0122-8285	Palabra Clave	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1676-5648	RAE Eletrônica (Online)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0034-7590	RAE (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0100-8587	Religião & Sociedade (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1415-0549	Revista FAMECOS (Impresso)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1980-3729	Revista FAMECOS (Online)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1132-1873	Revista General de Información y Documentación	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0120-0976	Revista Interamericana de Bibliotecologia	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1138-5820	Revista Latina de Comunicación Social	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1390-1079	Revista Latinoamericana Comunicación Chasqui	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1613-3692	Semiotica (online)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1206-3312	Space and Culture	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1413-7704	Tempo. Revista do Departamento de História da UFF	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1748-0485	The International Communication Gazette (Print)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1057-2317	The International Information & Library Review (Print)	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0196-8599	The Journal of Communication Inquiry	A2	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1669-7588	AdVersuS	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0103-3557	Agora (Florianopolis)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
2175-7402	Alceu (Online)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1518-8728	Alceu (PUCRJ)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1517-106X	Alea: Estudos Neolatinos (Impresso)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1807-0299	Alea : Estudos Neolatinos (Online)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1991-1653	Alexandria (Peru)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1139-1979	Ámbitos (Sevilla)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1130-2887	América Latina Hoy	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1413-1803	Anais do Museu Histórico Nacional	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1697-7904	Anales de Documentación (Internet)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0211-2175	Anàlisi (Bellaterra, Barcelona)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1677-907X	Animus (Santa Maria)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
2175-4977	Animus (Santa Maria. Online)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
0100-2244	Arquivo e Administração	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1678-5320	ARS (São Paulo)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1807-7692	BAR. Brazilian Administration Review	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1809-4775	Biblionline (João Pessoa)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
1562-4730	Biblios (Lima)	B1	CIÊNCIAS SOCIAIS APLICADAS I	Atualizado
