ISSN	Título	Estrato	Área de Avaliação	Status
0161-9152	Age	A1	EDUCAÇÃO FÍSICA	Atualizado
0105-4538	Allergy (Copenhagen)	A1	EDUCAÇÃO FÍSICA	Atualizado
1552-5260	Alzheimer's & Dementia	A1	EDUCAÇÃO FÍSICA	Atualizado
0002-9165	American Journal of Clinical Nutrition	A1	EDUCAÇÃO FÍSICA	Atualizado
0002-9262	American Journal of Epidemiology	A1	EDUCAÇÃO FÍSICA	Atualizado
0002-9297	American Journal of Human Genetics	A1	EDUCAÇÃO FÍSICA	Atualizado
0272-6386	American Journal of Kidney Diseases	A1	EDUCAÇÃO FÍSICA	Atualizado
0894-9115	American Journal of Physical Medicine & Rehabilitation	A1	EDUCAÇÃO FÍSICA	Atualizado
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	EDUCAÇÃO FÍSICA	Atualizado
0363-6135	American Journal of Physiology. Heart and Circulatory Physiology	A1	EDUCAÇÃO FÍSICA	Atualizado
1040-0605	American Journal of Physiology. Lung Cellular and Molecular Physiology	A1	EDUCAÇÃO FÍSICA	Atualizado
0363-6119	American Journal of Physiology. Regulatory, Integrative and Comparative Physiology	A1	EDUCAÇÃO FÍSICA	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	EDUCAÇÃO FÍSICA	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	EDUCAÇÃO FÍSICA	Atualizado
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A1	EDUCAÇÃO FÍSICA	Atualizado
0363-5465	American Journal of Sports Medicine	A1	EDUCAÇÃO FÍSICA	Atualizado
1068-9265	Annals of Surgical Oncology	A1	EDUCAÇÃO FÍSICA	Atualizado
0003-4967	Annals of the Rheumatic Diseases	A1	EDUCAÇÃO FÍSICA	Atualizado
0003-9993	Archives of Physical Medicine and Rehabilitation (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0004-3591	Arthritis and Rheumatism	A1	EDUCAÇÃO FÍSICA	Atualizado
2151-464X	Arthritis Care & Research (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
1478-6354	Arthritis Research & Therapy (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0021-9150	Atherosclerosis (Amsterdam)	A1	EDUCAÇÃO FÍSICA	Atualizado
1420-3030	Audiology & Neuro-Otology (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0004-9514	Australian Journal of Physiotherapy	A1	EDUCAÇÃO FÍSICA	Atualizado
1568-9972	Autoimmunity Reviews	A1	EDUCAÇÃO FÍSICA	Atualizado
0300-8428	Basic Research in Cardiology (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0166-4328	Behavioural Brain Research	A1	EDUCAÇÃO FÍSICA	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	EDUCAÇÃO FÍSICA	Atualizado
0006-2952	Biochemical Pharmacology	A1	EDUCAÇÃO FÍSICA	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0925-4439	Biochimica et Biophysica Acta. Molecular Basis of Disease	A1	EDUCAÇÃO FÍSICA	Atualizado
1389-5729	Biogerontology (Dordrecht)	A1	EDUCAÇÃO FÍSICA	Atualizado
0734-9750	Biotechnology Advances	A1	EDUCAÇÃO FÍSICA	Atualizado
0959-535X	BMJ. British Medical Journal	A1	EDUCAÇÃO FÍSICA	Atualizado
0959-8138	BMJ. British Medical Journal (Clinical Research Ed.)	A1	EDUCAÇÃO FÍSICA	Atualizado
