ISSN	Título	Estrato	Área de Avaliação	Status
1981-5794	Alfa: Revista de Linguística (UNESP. Online)	A1	EDUCAÇÃO	Atualizado
1080-3920	American Foreign Policy Interests (Print)	A1	EDUCAÇÃO	Atualizado
0161-7761	Anthropology & Education Quarterly	A1	EDUCAÇÃO	Atualizado
1678-5320	ARS (São Paulo)	A1	EDUCAÇÃO	Atualizado
1414-4077	Avaliação (UNICAMP)	A1	EDUCAÇÃO	Atualizado
0210-5934	Bordon: revista de pedagogia	A1	EDUCAÇÃO	Atualizado
0102-5767	Cadernos de Estudos Linguísticos (UNICAMP)	A1	EDUCAÇÃO	Atualizado
2178-2229	Cadernos de Pesquisa	A1	EDUCAÇÃO	Atualizado
0100-1574	Cadernos de Pesquisa (Fundação Carlos Chagas. Impresso)	A1	EDUCAÇÃO	Atualizado
1109-4028	Chemistry Education. Research and Practice in Europe	A1	EDUCAÇÃO	Atualizado
0145-2134	Child Abuse & Neglect	A1	EDUCAÇÃO	Atualizado
1516-7313	Ciência e Educação (UNESP. Impresso)	A1	EDUCAÇÃO	Atualizado
0360-1315	Computers and Education	A1	EDUCAÇÃO	Atualizado
1134-3478	Comunicar (Huelva)	A1	EDUCAÇÃO	Atualizado
1988-3293	Comunicar (Huelva. Internet)	A1	EDUCAÇÃO	Atualizado
0010-8146	Convergence (Toronto)	A1	EDUCAÇÃO	Atualizado
1354-067X	Culture & Psychology	A1	EDUCAÇÃO	Atualizado
0362-6784	Curriculum Inquiry	A1	EDUCAÇÃO	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A1	EDUCAÇÃO	Atualizado
0950-1991	Development (Cambridge)	A1	EDUCAÇÃO	Atualizado
1076-9242	Dyslexia (Chichester, England. Print)	A1	EDUCAÇÃO	Atualizado
1082-3301	Early Childhood Education Journal	A1	EDUCAÇÃO	Atualizado
0102-4698	Educação em Revista (UFMG. Impresso)	A1	EDUCAÇÃO	Atualizado
1517-9702	Educação e Pesquisa (USP. Impresso)	A1	EDUCAÇÃO	Atualizado
2175-6236	Educacao e Realidade	A1	EDUCAÇÃO	Atualizado
0100-3143	Educação e Realidade	A1	EDUCAÇÃO	Atualizado
0101-7330	Educação & Sociedade (Impresso)	A1	EDUCAÇÃO	Atualizado
0104-4060	Educar em Revista (Impresso)	A1	EDUCAÇÃO	Atualizado
0965-0792	Educational Action Research	A1	EDUCAÇÃO	Atualizado
0104-4036	Ensaio (Fundação Cesgranrio. Impresso)	A1	EDUCAÇÃO	Atualizado
1809-4465	Ensaio (Rio de Janeiro. Online)	A1	EDUCAÇÃO	Atualizado
0212-4521	Enseñanza de las Ciencias	A1	EDUCAÇÃO	Atualizado
1469-5871	Environmental Education Research (Online)	A1	EDUCAÇÃO	Atualizado
0185-4186	Estudios Sociológicos	A1	EDUCAÇÃO	Atualizado
1518-0158	Estudos de Literatura Brasileira Contemporânea	A1	EDUCAÇÃO	Atualizado
0103-2186	Estudos Historicos (Rio de Janeiro)	A1	EDUCAÇÃO	Atualizado
1676-2592	ETD. Educação Temática Digital	A1	EDUCAÇÃO	Atualizado
0873-6561	Etnográfica (Lisboa	A1	EDUCAÇÃO	Atualizado
1474-9041	European Educational Research Journal	A1	EDUCAÇÃO	Atualizado
0228-0671	For the Learning of Mathematics	A1	EDUCAÇÃO	Atualizado
1233-1821	Foundations of Science (Print)	A1	EDUCAÇÃO	Atualizado
1476-7724	Globalisation, Societies and Education (Print)	A1	EDUCAÇÃO	Atualizado
0104-5970	História, Ciências, Saúde-Manguinhos (Impresso)	A1	EDUCAÇÃO	Atualizado
1939-1382	IEEE Transactions on Learning Technologies	A1	EDUCAÇÃO	Atualizado
1522-7227	Infant and Child Development (Print)	A1	EDUCAÇÃO	Atualizado
1130-8656	Innovación Educativa	A1	EDUCAÇÃO	Atualizado
0165-0254	International Journal of Behavioral Development (Print)	A1	EDUCAÇÃO	Atualizado
0883-0355	International Journal of Educational Research	A1	EDUCAÇÃO	Atualizado
1571-0068	International Journal of Science and Mathematical Education	A1	EDUCAÇÃO	Atualizado
0950-0693	International Journal of Science Education	A1	EDUCAÇÃO	Atualizado
0147-5479	International Labor and Working Class History	A1	EDUCAÇÃO	Atualizado
0020-8566	International Review of Education	A1	EDUCAÇÃO	Atualizado
0021-8251	Journal for Research in Mathematics Education	A1	EDUCAÇÃO	Atualizado
0021-8855	Journal of Applied Behavior Analysis	A1	EDUCAÇÃO	Atualizado
0021-9010	Journal of Applied Psychology	A1	EDUCAÇÃO	Atualizado
1087-0547	Journal of Attention Disorders	A1	EDUCAÇÃO	Atualizado
1053-0819	Journal of Behavioral Education	A1	EDUCAÇÃO	Atualizado
0021-9924	Journal of Communication Disorders	A1	EDUCAÇÃO	Atualizado
0022-0221	Journal of Cross-Cultural Psychology	A1	EDUCAÇÃO	Atualizado
0022-0272	Journal of Curriculum Studies (Print)	A1	EDUCAÇÃO	Atualizado
1076-9986	Journal of Educational and Behavioral Statistics	A1	EDUCAÇÃO	Atualizado
0268-0939	Journal of Education Policy	A1	EDUCAÇÃO	Atualizado
1386-4416	Journal of Mathematics Teacher Education	A1	EDUCAÇÃO	Atualizado
0022-3514	Journal of Personality and Social Psychology	A1	EDUCAÇÃO	Atualizado
0022-4308	Journal of Research in Science Teaching (Print)	A1	EDUCAÇÃO	Atualizado
1059-0145	Journal of Science Education and Technology	A1	EDUCAÇÃO	Atualizado
0022-5002	Journal of the Experimental Analysis of Behavior	A1	EDUCAÇÃO	Atualizado
1567-6617	L1 Educational Studies in Languages and Literature	A1	EDUCAÇÃO	Atualizado
1543-4494	Learning & Behavior	A1	EDUCAÇÃO	Atualizado
0898-5898	Linguistics and Education	A1	EDUCAÇÃO	Atualizado
1983-6821	Machado de Assis em Linha	A1	EDUCAÇÃO	Atualizado
1074-9039	Mind, Culture and Activity	A1	EDUCAÇÃO	Atualizado
1648-939X	Natural  Science  Education	A1	EDUCAÇÃO	Atualizado
0030-9273	Padagogische Rundschau	A1	EDUCAÇÃO	Atualizado
1982-4327	Paidéia (USP. Online)	A1	EDUCAÇÃO	Atualizado
1554-480X	Pedagogies (Mahwah, N.J.)	A1	EDUCAÇÃO	Atualizado
0031-9120	Physics Education (Bristol. Print)	A1	EDUCAÇÃO	Atualizado
1478-2103	Policy Futures in Education (Online)	A1	EDUCAÇÃO	Atualizado
1057-1515	Portuguese Studies Review	A1	EDUCAÇÃO	Atualizado
0103-7307	Pró-Posições (UNICAMP. Impresso)	A1	EDUCAÇÃO	Atualizado
1980-6248	Pró-Posições (UNICAMP. Online)	A1	EDUCAÇÃO	Atualizado
0102-7972	Psicologia: Reflexão e Crítica (UFRGS. Impresso)	A1	EDUCAÇÃO	Atualizado
1077-8004	Qualitative Inquiry	A1	EDUCAÇÃO	Atualizado
1353-8322	Quality in Higher Education	A1	EDUCAÇÃO	Atualizado
0034-0553	Reading Research Quarterly	A1	EDUCAÇÃO	Atualizado
0988-1824	Recherche et Formation (Paris. 1987)	A1	EDUCAÇÃO	Atualizado
1462-3943	Reflective Practice (Print)	A1	EDUCAÇÃO	Atualizado
1464-7893	Research in Dance Education (Print)	A1	EDUCAÇÃO	Atualizado
0157-244X	Research in Science Education	A1	EDUCAÇÃO	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	A1	EDUCAÇÃO	Atualizado
1809-449X	Revista Brasileira de Educação	A1	EDUCAÇÃO	Atualizado
1413-2478	Revista Brasileira de Educação (Impresso)	A1	EDUCAÇÃO	Atualizado
1806-9347	Revista Brasileira de História (Online)	A1	EDUCAÇÃO	Atualizado
1678-1805	Revista da ABRALIN	A1	EDUCAÇÃO	Atualizado
0104-0588	Revista de Estudos da Linguagem	A1	EDUCAÇÃO	Atualizado
0034-8309	Revista de Historia (USP)	A1	EDUCAÇÃO	Atualizado
0020-3874	Revista do Instituto de Estudos Brasileiros	A1	EDUCAÇÃO	Atualizado
1646-401X	Revista Lusofona de Educacao	A1	EDUCAÇÃO	Atualizado
1645-7250	Revista Lusófona de Educação	A1	EDUCAÇÃO	Atualizado
0926-7220	Science & Education (Dordrecht)	A1	EDUCAÇÃO	Atualizado
2077-2327	Science Education International (Online)	A1	EDUCAÇÃO	Atualizado
0036-8326	Science Education (Salem, Mass. Print)	A1	EDUCAÇÃO	Atualizado
0786-3012	Science Studies (Tampere)	A1	EDUCAÇÃO	Atualizado
1046-8781	Simulation & Gaming	A1	EDUCAÇÃO	Atualizado
1537-4661	Sociological Studies of Children and Youth	A1	EDUCAÇÃO	Atualizado
0305-7267	Studies in Science Education	A1	EDUCAÇÃO	Atualizado
0742-051X	Teaching and Teacher Education	A1	EDUCAÇÃO	Atualizado
1413-7704	Tempo. Revista do Departamento de História da UFF	A1	EDUCAÇÃO	Atualizado
1517-9737	Teresa (USP)	A1	EDUCAÇÃO	Atualizado
1740-5629	The European Journal of Developmental Psychology (Print)	A1	EDUCAÇÃO	Atualizado
0033-2933	The Psychological Record	A1	EDUCAÇÃO	Atualizado
0104-8775	Varia História (UFMG. Impresso)	A1	EDUCAÇÃO	Atualizado
1516-5159	Via Atlântica (USP)	A1	EDUCAÇÃO	Atualizado
0044-118X	Youth & Society	A1	EDUCAÇÃO	Atualizado
1863-9690	ZDM (Berlin. Print)	A1	EDUCAÇÃO	Atualizado
2178-5201	Acta Scientiarum. Education (Online)	A2	EDUCAÇÃO	Atualizado
2178-5198	Acta Scientiarum. Education (Print)	A2	EDUCAÇÃO	Atualizado
1983-4675	Acta Scientiarum. Language and Culture (Impresso)	A2	EDUCAÇÃO	Atualizado
1983-4683	Acta Scientiarum. Language and Culture (Online)	A2	EDUCAÇÃO	Atualizado
1516-1498	Ágora ( PPGTP/UFRJ)	A2	EDUCAÇÃO	Atualizado
1130-2887	América Latina Hoy	A2	EDUCAÇÃO	Atualizado
0002-726X	American Annals of the Deaf (Washington, D.C. 1886. Print)	A2	EDUCAÇÃO	Atualizado
0003-2573	Análise Social	A2	EDUCAÇÃO	Atualizado
1068-2341	Archivos Analíticos de Políticas Educativas / Education Policy Analysis Archives	A2	EDUCAÇÃO	Atualizado
2176-4573	Bakhtiniana: Revista de Estudos do Discurso	A2	EDUCAÇÃO	Atualizado
1875-1342	Biosemiotics	A2	EDUCAÇÃO	Atualizado
1980-4415	BOLEMA : Boletim de Educação Matemática (Online)	A2	EDUCAÇÃO	Atualizado
0103-636X	Bolema. Boletim de Educação Matemática (UNESP. Rio Claro. Impresso)	A2	EDUCAÇÃO	Atualizado
0101-3262	Cadernos CEDES (Impresso)	A2	EDUCAÇÃO	Atualizado
0104-1371	Cadernos de Educação (UFPel)	A2	EDUCAÇÃO	Atualizado
2178-079X	CADERNOS DE EDUCAÇÃO -UFPel (ONLINE)	A2	EDUCAÇÃO	Atualizado
1982-7806	Cadernos de História da Educação (Online)	A2	EDUCAÇÃO	Atualizado
1807-3859	Cadernos de História da Educação (UFU. Impresso)	A2	EDUCAÇÃO	Atualizado
1414-526X	Cadernos de Tradução (UFSC)	A2	EDUCAÇÃO	Atualizado
0104-8333	Cadernos Pagu (UNICAMP. Impresso)	A2	EDUCAÇÃO	Atualizado
1147-6753	Caravelle (Toulouse)	A2	EDUCAÇÃO	Atualizado
0951-0605	Children & Society	A2	EDUCAÇÃO	Atualizado
2100-0670	Cliopsy	A2	EDUCAÇÃO	Atualizado
1389-0417	Cognitive Systems Research	A2	EDUCAÇÃO	Atualizado
1958-9212	Confins (Paris)	A2	EDUCAÇÃO	Atualizado
1354-8565	Convergence (London)	A2	EDUCAÇÃO	Atualizado
2151-4755	Creative Education	A2	EDUCAÇÃO	Atualizado
0011-152X	Critica Marxista (Roma)	A2	EDUCAÇÃO	Atualizado
1871-1502	Cultural Studies of Science Education (Print)	A2	EDUCAÇÃO	Atualizado
1523-1615	Current Issues in Comparative Education	A2	EDUCAÇÃO	Atualizado
1645-1384	Currículo sem Fronteiras	A2	EDUCAÇÃO	Atualizado
0102-4450	DELTA. Documentação de Estudos em Linguística Teórica e Aplicada (PUCSP. Impresso)	A2	EDUCAÇÃO	Atualizado
1808-656X	Desenredo (PPGL/UPF)	A2	EDUCAÇÃO	Atualizado
1600-0110	Diálogos Latinoamericanos	A2	EDUCAÇÃO	Atualizado
1748-3107	Disability and Rehabilitation: Assistive Technology	A2	EDUCAÇÃO	Atualizado
0159-6306	Discourse (Abingdon. Print)	A2	EDUCAÇÃO	Atualizado
1982-596X	Educação e Filosofia (Online)	A2	EDUCAÇÃO	Atualizado
0102-6801	Educação e Filosofia (UFU. Impresso)	A2	EDUCAÇÃO	Atualizado
0101-465X	Educação (PUCRS. Impresso)	A2	EDUCAÇÃO	Atualizado
0013-1954	Educational Studies in Mathematics	A2	EDUCAÇÃO	Atualizado
1746-1979	Education, Citizenship and Social Justice (Print)	A2	EDUCAÇÃO	Atualizado
1462-7272	Education Review (London)	A2	EDUCAÇÃO	Atualizado
1415-2150	Ensaio: Pesquisa em Educação em Ciências (Impresso)	A2	EDUCAÇÃO	Atualizado
1983-2117	Ensaio: Pesquisa em Educação em Ciências (Online)	A2	EDUCAÇÃO	Atualizado
