ISSN	Título	Estrato	Área de Avaliação	Status
1748-1708	Acta Physiologica (Print)	A1	ENFERMAGEM	Atualizado
0161-9268	Advances in Nursing Science	A1	ENFERMAGEM	Atualizado
0735-0414	Alcohol and Alcoholism (Oxford)	A1	ENFERMAGEM	Atualizado
1062-3264	American Journal of Critical Care	A1	ENFERMAGEM	Atualizado
0196-6553	American Journal of Infection Control	A1	ENFERMAGEM	Atualizado
0363-6135	American Journal of Physiology. Heart and Circulatory Physiology	A1	ENFERMAGEM	Atualizado
0749-3797	American Journal of Preventive Medicine	A1	ENFERMAGEM	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	ENFERMAGEM	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	ENFERMAGEM	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	ENFERMAGEM	Atualizado
1047-2797	Annals of Epidemiology	A1	ENFERMAGEM	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	ENFERMAGEM	Atualizado
0001-2092	AORN Journal	A1	ENFERMAGEM	Atualizado
0897-1897	Applied Nursing Research	A1	ENFERMAGEM	Atualizado
0570-4928	Applied Spectroscopy Reviews (Softcover ed.)	A1	ENFERMAGEM	Atualizado
0021-9150	Atherosclerosis (Amsterdam)	A1	ENFERMAGEM	Atualizado
1447-4328	Australian Journal of Advanced Nursing (Online)	A1	ENFERMAGEM	Atualizado
0004-9514	Australian Journal of Physiotherapy	A1	ENFERMAGEM	Atualizado
0951-6433	BioFactors (Oxford)	A1	ENFERMAGEM	Atualizado
1099-8004	Biological Research for Nursing	A1	ENFERMAGEM	Atualizado
0968-0896	Bioorganic & Medicinal Chemistry (Print)	A1	ENFERMAGEM	Atualizado
1464-4096	BJU International (Print)	A1	ENFERMAGEM	Atualizado
1471-2334	BMC Infectious Diseases (Online)	A1	ENFERMAGEM	Atualizado
1471-2393	BMC Pregnancy and Childbirth (Online)	A1	ENFERMAGEM	Atualizado
0966-0461	British Journal of Nursing	A1	ENFERMAGEM	Atualizado
0007-1188	British Journal of Pharmacology	A1	ENFERMAGEM	Atualizado
0162-220X	Cancer Nursing	A1	ENFERMAGEM	Atualizado
0009-9104	Clinical and Experimental Immunology (Print)	A1	ENFERMAGEM	Atualizado
0143-5221	Clinical Science (1979)	A1	ENFERMAGEM	Atualizado
1871-5273	CNS & Neurological Disorders. Drug Targets	A1	ENFERMAGEM	Atualizado
1538-9774	Computers, Informatics, Nursing (Online)	A1	ENFERMAGEM	Atualizado
1538-2931	Computers, Informatics, Nursing (Print)	A1	ENFERMAGEM	Atualizado
1363-1950	Current Opinion in Clinical Nutrition and Metabolic Care	A1	ENFERMAGEM	Atualizado
1381-6128	Current Pharmaceutical Design (Print)	A1	ENFERMAGEM	Atualizado
1465-3249	Cytotherapy (Oxford)	A1	ENFERMAGEM	Atualizado
0114-5916	Drug Safety	A1	ENFERMAGEM	Atualizado
0013-9351	Environmental Research (New York, N.Y. Print)	A1	ENFERMAGEM	Atualizado
0193-936X	Epidemiologic Reviews	A1	ENFERMAGEM	Atualizado
0959-8049	European Journal of Cancer	A1	ENFERMAGEM	Atualizado
1474-5151	European Journal of Cardiovascular Nursing	A1	ENFERMAGEM	Atualizado
0031-6970	European Journal of Clinical Pharmacology	A1	ENFERMAGEM	Atualizado
0393-2990	European Journal of Epidemiology	A1	ENFERMAGEM	Atualizado
1388-9842	European Journal of Heart Failure	A1	ENFERMAGEM	Atualizado
0223-5234	European Journal of Medicinal Chemistry	A1	ENFERMAGEM	Atualizado
1462-3889	European Journal of Oncology Nursing	A1	ENFERMAGEM	Atualizado
1090-3801	European Journal of Pain (London, England)	A1	ENFERMAGEM	Atualizado
0958-0670	Experimental Physiology (Print)	A1	ENFERMAGEM	Atualizado
1478-7210	Expert Review of Anti-Infective Therapy	A1	ENFERMAGEM	Atualizado
0308-8146	Food Chemistry	A1	ENFERMAGEM	Atualizado
1093-9946	Frontiers in Bioscience (Print)	A1	ENFERMAGEM	Atualizado
1042-895X	Gastroenterology Nursing	A1	ENFERMAGEM	Atualizado
0197-4572	Geriatric Nursing (New York)	A1	ENFERMAGEM	Atualizado
0278-2715	Health Affairs (Millwood, Va.)	A1	ENFERMAGEM	Atualizado
0147-9563	Heart & Lung	A1	ENFERMAGEM	Atualizado
0093-7711	Immunogenetics (New York)	A1	ENFERMAGEM	Atualizado
0899-823X	Infection Control and Hospital Epidemiology	A1	ENFERMAGEM	Atualizado
1567-1348	Infection, Genetics and Evolution (Print)	A1	ENFERMAGEM	Atualizado
0964-3397	Intensive & Critical Care Nursing	A1	ENFERMAGEM	Atualizado
0020-7519	International Journal for Parasitology	A1	ENFERMAGEM	Atualizado
0300-5771	International Journal of Epidemiology	A1	ENFERMAGEM	Atualizado
1322-7114	International Journal of Nursing Practice (Print)	A1	ENFERMAGEM	Atualizado
0020-7489	International Journal of Nursing Studies	A1	ENFERMAGEM	Atualizado
0020-8132	International Nursing Review (1954)	A1	ENFERMAGEM	Atualizado
0161-2840	Issues in Mental Health Nursing	A1	ENFERMAGEM	Atualizado
1936-8798	JACC: Cardiovascular Interventions	A1	ENFERMAGEM	Atualizado
0098-7484	JAMA (Chicago, Ill.)	A1	ENFERMAGEM	Atualizado
1438-8871	JMIR. Journal of Medical Internet Research	A1	ENFERMAGEM	Atualizado
1945-2810	J Neurosci Nurs	A1	ENFERMAGEM	Atualizado
