ISSN	Título	Estrato	Área de Avaliação	Status
0149-1423	AAPG Bulletin (Print)	A1	ENGENHARIAS I	Atualizado
1742-7061	Acta Biomaterialia	A1	ENGENHARIAS I	Atualizado
1359-6454	Acta Materialia (Oxford)	A1	ENGENHARIAS I	Atualizado
0168-1923	Agricultural and Forest Meteorology (Print)	A1	ENGENHARIAS I	Atualizado
0378-3774	Agricultural Water Management (Print)	A1	ENGENHARIAS I	Atualizado
0001-1541	AIChE Journal	A1	ENGENHARIAS I	Atualizado
1075-9964	Anaerobe (London. Print)	A1	ENGENHARIAS I	Atualizado
1531-7331	Annual Review of Materials Research (Print)	A1	ENGENHARIAS I	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	ENGENHARIAS I	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	ENGENHARIAS I	Atualizado
0169-1317	Applied Clay Science (Print)	A1	ENGENHARIAS I	Atualizado
0306-2619	Applied Energy	A1	ENGENHARIAS I	Atualizado
0307-904X	Applied Mathematical Modelling	A1	ENGENHARIAS I	Atualizado
0003-6900	Applied Mechanics Reviews	A1	ENGENHARIAS I	Atualizado
0175-7598	Applied Microbiology and Biotechnology	A1	ENGENHARIAS I	Atualizado
0570-4928	Applied Spectroscopy Reviews (Softcover ed.)	A1	ENGENHARIAS I	Atualizado
0169-4332	Applied Surface Science	A1	ENGENHARIAS I	Atualizado
1359-4311	Applied Thermal Engineering	A1	ENGENHARIAS I	Atualizado
0144-8609	Aquacultural Engineering	A1	ENGENHARIAS I	Atualizado
1386-2588	Aquatic Ecology (Print)	A1	ENGENHARIAS I	Atualizado
0090-4341	Archives of Environmental Contamination and Toxicology (Print)	A1	ENGENHARIAS I	Atualizado
0302-8933	Archives of Microbiology	A1	ENGENHARIAS I	Atualizado
1680-7324	Atmospheric Chemistry and Physics (Online)	A1	ENGENHARIAS I	Atualizado
1680-7316	Atmospheric Chemistry and Physics (Print)	A1	ENGENHARIAS I	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	ENGENHARIAS I	Atualizado
1530-261X	Atmospheric Science Letters	A1	ENGENHARIAS I	Atualizado
0926-5805	Automation in Construction (Print)	A1	ENGENHARIAS I	Atualizado
0923-9820	Biodegradation (Dordrecht)	A1	ENGENHARIAS I	Atualizado
1939-1234	BioEnergy Research	A1	ENGENHARIAS I	Atualizado
1932-104X	Biofuels, Bioproducts & Biorefining	A1	ENGENHARIAS I	Atualizado
0006-3207	Biological Conservation	A1	ENGENHARIAS I	Atualizado
0961-9534	Biomass & Bioenergy	A1	ENGENHARIAS I	Atualizado
1615-7605	Bioprocess and Biosystems Engineering (Internet)	A1	ENGENHARIAS I	Atualizado
1615-7591	Bioprocess and Biosystems Engineering (Print)	A1	ENGENHARIAS I	Atualizado
1930-2126	Bioresources (Raleigh, N.C)	A1	ENGENHARIAS I	Atualizado
0960-8524	Bioresource Technology	A1	ENGENHARIAS I	Atualizado
0006-3568	Bioscience (Washington. Print)	A1	ENGENHARIAS I	Atualizado
0006-3592	Biotechnology and Bioengineering (Print)	A1	ENGENHARIAS I	Atualizado
1239-6095	Boreal Environment Research (Print)	A1	ENGENHARIAS I	Atualizado
0006-8314	Boundary - Layer Meteorology	A1	ENGENHARIAS I	Atualizado
1573-1472	Boundary-Layer Meteorology (Dordrecht. Online)	A1	ENGENHARIAS I	Atualizado
0360-1323	Building and Environment	A1	ENGENHARIAS I	Atualizado
0961-3218	Building Research and Information (Print)	A1	ENGENHARIAS I	Atualizado
0144-8617	Carbohydrate Polymers	A1	ENGENHARIAS I	Atualizado
0920-5861	Catalysis Today (Print)	A1	ENGENHARIAS I	Atualizado
0341-8162	Catena (Cremlingen)	A1	ENGENHARIAS I	Atualizado
0008-8846	Cement and Concrete Research	A1	ENGENHARIAS I	Atualizado
0958-9465	Cement & Concrete Composites	A1	ENGENHARIAS I	Atualizado
0272-8842	Ceramics International	A1	ENGENHARIAS I	Atualizado
1054-1500	Chaos (Woodbury, N.Y.)	A1	ENGENHARIAS I	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	ENGENHARIAS I	Atualizado
1752-153X	Chemistry Central Journal	A1	ENGENHARIAS I	Atualizado
0897-4756	Chemistry of Materials	A1	ENGENHARIAS I	Atualizado
0045-6535	Chemosphere (Oxford)	A1	ENGENHARIAS I	Atualizado
0264-9381	Classical and Quantum Gravity (Print)	A1	ENGENHARIAS I	Atualizado
1618-9558	Clean Technologies and Environmental Policy (Internet)	A1	ENGENHARIAS I	Atualizado
1618-954X	Clean Technologies and Environmental Policy (Print)	A1	ENGENHARIAS I	Atualizado
1863-0669	Clean (Weinheim. Internet)	A1	ENGENHARIAS I	Atualizado
1863-0650	Clean (Weinheim. Print)	A1	ENGENHARIAS I	Atualizado
0936-577X	Climate Research	A1	ENGENHARIAS I	Atualizado
0927-7765	Colloids and Surfaces. B, Biointerfaces (Print)	A1	ENGENHARIAS I	Atualizado
1069-8299	Communications in Numerical Methods in Engineering	A1	ENGENHARIAS I	Atualizado
1359-835X	Composites. Part A, Applied Science and Manufacturing	A1	ENGENHARIAS I	Atualizado
0266-3538	Composites Science and Technology	A1	ENGENHARIAS I	Atualizado
0263-8223	Composite Structures	A1	ENGENHARIAS I	Atualizado
0927-0256	Computational Materials Science	A1	ENGENHARIAS I	Atualizado
0178-7675	Computational Mechanics	A1	ENGENHARIAS I	Atualizado
1432-0924	Computational Mechanics (Berlin. Internet)	A1	ENGENHARIAS I	Atualizado
0045-7825	Computer Methods in Applied Mechanics and Engineering	A1	ENGENHARIAS I	Atualizado
0360-1315	Computers and Education	A1	ENGENHARIAS I	Atualizado
0198-9715	Computers, Environment and Urban Systems	A1	ENGENHARIAS I	Atualizado
0045-7930	Computers & Fluids	A1	ENGENHARIAS I	Atualizado
0098-3004	Computers & Geosciences	A1	ENGENHARIAS I	Atualizado
0045-7949	Computers & Structures	A1	ENGENHARIAS I	Atualizado
0950-0618	Construction & Building Materials	A1	ENGENHARIAS I	Atualizado
0010-938X	Corrosion Science	A1	ENGENHARIAS I	Atualizado
1432-0991	Current Microbiology	A1	ENGENHARIAS I	Atualizado
0343-8651	Current Microbiology (Print)	A1	ENGENHARIAS I	Atualizado
0011-9164	Desalination (Amsterdam)	A1	ENGENHARIAS I	Atualizado
0143-7208	Dyes and Pigments	A1	ENGENHARIAS I	Atualizado
0197-9337	Earth Surface Processes and Landforms (Print)	A1	ENGENHARIAS I	Atualizado
1476-945X	Ecological Complexity (Print)	A1	ENGENHARIAS I	Atualizado
0925-8574	Ecological Engineering	A1	ENGENHARIAS I	Atualizado
1470-160X	Ecological Indicators	A1	ENGENHARIAS I	Atualizado
0304-3800	Ecological Modelling	A1	ENGENHARIAS I	Atualizado
1432-9840	Ecosystems (New York. Print)	A1	ENGENHARIAS I	Atualizado
0147-6513	Ecotoxicology and Environmental Safety	A1	ENGENHARIAS I	Atualizado
0963-9292	Ecotoxicology (London)	A1	ENGENHARIAS I	Atualizado
0378-7788	Energy and Buildings	A1	ENGENHARIAS I	Atualizado
0196-8904	Energy Conversion and Management	A1	ENGENHARIAS I	Atualizado
0360-5442	Energy (Oxford)	A1	ENGENHARIAS I	Atualizado
0301-4215	Energy Policy	A1	ENGENHARIAS I	Atualizado
0973-0826	Energy Sustainable Development	A1	ENGENHARIAS I	Atualizado
