ISSN	Título	Estrato	Área de Avaliação	Status
1742-7061	Acta Biomaterialia	A1	ENGENHARIAS II	Atualizado
0108-7673	Acta Crystallographica. Section A, Foundations of Crystallography	A1	ENGENHARIAS II	Atualizado
1359-6454	Acta Materialia (Oxford)	A1	ENGENHARIAS II	Atualizado
0929-5607	Adsorption (Boston)	A1	ENGENHARIAS II	Atualizado
1438-1656	Advanced Engineering Materials (Print)	A1	ENGENHARIAS II	Atualizado
1616-301X	Advanced Functional Materials (Print)	A1	ENGENHARIAS II	Atualizado
0935-9648	Advanced Materials (Weinheim Print)	A1	ENGENHARIAS II	Atualizado
1615-4150	Advanced Synthesis & Catalysis (Print)	A1	ENGENHARIAS II	Atualizado
0001-8686	Advances in Colloid and Interface Science (Print)	A1	ENGENHARIAS II	Atualizado
0001-1541	AIChE Journal	A1	ENGENHARIAS II	Atualizado
1433-7851	Angewandte Chemie (International ed. Print)	A1	ENGENHARIAS II	Atualizado
1531-7331	Annual Review of Materials Research (Print)	A1	ENGENHARIAS II	Atualizado
0273-2289	Applied Biochemistry and Biotechnology	A1	ENGENHARIAS II	Atualizado
1559-0291	Applied Biochemistry and Biotechnology (Online)	A1	ENGENHARIAS II	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A1	ENGENHARIAS II	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	ENGENHARIAS II	Atualizado
0169-1317	Applied Clay Science (Print)	A1	ENGENHARIAS II	Atualizado
0307-904X	Applied Mathematical Modelling	A1	ENGENHARIAS II	Atualizado
0969-8043	Applied Radiation and Isotopes	A1	ENGENHARIAS II	Atualizado
0169-4332	Applied Surface Science	A1	ENGENHARIAS II	Atualizado
1359-4311	Applied Thermal Engineering	A1	ENGENHARIAS II	Atualizado
	Applies Clay Science (Print)	A1	ENGENHARIAS II	Atualizado
0090-4341	Archives of Environmental Contamination and Toxicology (Print)	A1	ENGENHARIAS II	Atualizado
1369-703X	Biochemical Engineering Journal	A1	ENGENHARIAS II	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	ENGENHARIAS II	Atualizado
0923-9820	Biodegradation (Dordrecht)	A1	ENGENHARIAS II	Atualizado
1525-7797	Biomacromolecules	A1	ENGENHARIAS II	Atualizado
0142-9612	Biomaterials (Guildford)	A1	ENGENHARIAS II	Atualizado
1615-7605	Bioprocess and Biosystems Engineering (Internet)	A1	ENGENHARIAS II	Atualizado
1615-7591	Bioprocess and Biosystems Engineering (Print)	A1	ENGENHARIAS II	Atualizado
0960-8524	Bioresource Technology	A1	ENGENHARIAS II	Atualizado
0734-9750	Biotechnology Advances	A1	ENGENHARIAS II	Atualizado
0885-4513	Biotechnology and Applied Biochemistry	A1	ENGENHARIAS II	Atualizado
0006-3592	Biotechnology and Bioengineering (Print)	A1	ENGENHARIAS II	Atualizado
1754-6834	Biotechnology for Biofuels	A1	ENGENHARIAS II	Atualizado
0141-5492	Biotechnology Letters	A1	ENGENHARIAS II	Atualizado
8756-7938	Biotechnology Progress (Print)	A1	ENGENHARIAS II	Atualizado
0144-8617	Carbohydrate Polymers	A1	ENGENHARIAS II	Atualizado
0008-6223	Carbon (New York)	A1	ENGENHARIAS II	Atualizado
1011-372X	Catalysis Letters	A1	ENGENHARIAS II	Atualizado
0920-5861	Catalysis Today (Print)	A1	ENGENHARIAS II	Atualizado
0272-8842	Ceramics International	A1	ENGENHARIAS II	Atualizado
1867-3880	ChemCatChem	A1	ENGENHARIAS II	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A1	ENGENHARIAS II	Atualizado
0255-2701	Chemical Engineering and Processing	A1	ENGENHARIAS II	Atualizado
1521-4125	Chemical Engineering and Technology (Internet)	A1	ENGENHARIAS II	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	ENGENHARIAS II	Atualizado
0263-8762	Chemical Engineering Research & Design	A1	ENGENHARIAS II	Atualizado
0009-2509	Chemical Engineering Science	A1	ENGENHARIAS II	Atualizado
0930-7516	Chemical Engineering & Technology	A1	ENGENHARIAS II	Atualizado
0009-2665	Chemical Reviews	A1	ENGENHARIAS II	Atualizado
0897-4756	Chemistry of Materials	A1	ENGENHARIAS II	Atualizado
1864-5631	ChemSusChem (Weinheim. Print)	A1	ENGENHARIAS II	Atualizado
0009-8558	Clay Minerals (Print)	A1	ENGENHARIAS II	Atualizado
0009-8604	Clays and Clay Minerals	A1	ENGENHARIAS II	Atualizado
1618-9558	Clean Technologies and Environmental Policy (Internet)	A1	ENGENHARIAS II	Atualizado
1618-954X	Clean Technologies and Environmental Policy (Print)	A1	ENGENHARIAS II	Atualizado
1058-4838	Clinical Infectious Diseases	A1	ENGENHARIAS II	Atualizado
0303-402X	Colloid and Polymer Science (Print)	A1	ENGENHARIAS II	Atualizado
0927-7757	Colloids and Surfaces. A, Physicochemical and Engineering Aspects (Print)	A1	ENGENHARIAS II	Atualizado
0927-7765	Colloids and Surfaces. B, Biointerfaces (Print)	A1	ENGENHARIAS II	Atualizado
1359-835X	Composites. Part A, Applied Science and Manufacturing	A1	ENGENHARIAS II	Atualizado
1359-8368	Composites. Part B, Engineering	A1	ENGENHARIAS II	Atualizado
0266-3538	Composites Science and Technology	A1	ENGENHARIAS II	Atualizado
0263-8223	Composite Structures	A1	ENGENHARIAS II	Atualizado
0098-1354	Computers & Chemical Engineering	A1	ENGENHARIAS II	Atualizado
0098-3004	Computers & Geosciences	A1	ENGENHARIAS II	Atualizado
0967-0661	Control Engineering Practice	A1	ENGENHARIAS II	Atualizado
0010-9312	Corrosion (Houston, Tex.)	A1	ENGENHARIAS II	Atualizado
0010-938X	Corrosion Science	A1	ENGENHARIAS II	Atualizado
1528-7483	Crystal Growth & Design	A1	ENGENHARIAS II	Atualizado
1359-0294	Current Opinion in Colloid & Interface Science	A1	ENGENHARIAS II	Atualizado
0011-9164	Desalination (Amsterdam)	A1	ENGENHARIAS II	Atualizado
0925-9635	Diamond and Related Materials	A1	ENGENHARIAS II	Atualizado
0737-3937	Drying Technology	A1	ENGENHARIAS II	Atualizado
0143-7208	Dyes and Pigments	A1	ENGENHARIAS II	Atualizado
1388-2481	Electrochemistry Communications	A1	ENGENHARIAS II	Atualizado
0013-4686	Electrochimica Acta	A1	ENGENHARIAS II	Atualizado
1469-221X	EMBO Reports (Print)	A1	ENGENHARIAS II	Atualizado
1754-5692	Energy & Environmental Science (Print)	A1	ENGENHARIAS II	Atualizado
1520-5029	Energy & Fuels (Online)	A1	ENGENHARIAS II	Atualizado
0887-0624	Energy & Fuels (Print)	A1	ENGENHARIAS II	Atualizado
0013-7952	Engineering Geology	A1	ENGENHARIAS II	Atualizado
1944-7442	Environmental Progress & Sustainable Energy (Print)	A1	ENGENHARIAS II	Atualizado
0013-936X	Environmental Science & Technology	A1	ENGENHARIAS II	Atualizado
0959-3330	Environmental Technology	A1	ENGENHARIAS II	Atualizado
0160-4120	Environment International	A1	ENGENHARIAS II	Atualizado
0141-0229	Enzyme and Microbial Technology	A1	ENGENHARIAS II	Atualizado
1619-7070	European Journal of Nuclear Medicine and Molecular Imaging (Print)	A1	ENGENHARIAS II	Atualizado
0720-048X	European Journal of Radiology	A1	ENGENHARIAS II	Atualizado
0014-3057	European Polymer Journal	A1	ENGENHARIAS II	Atualizado
0378-3812	Fluid Phase Equilibria	A1	ENGENHARIAS II	Atualizado
0016-2361	Fuel (Guildford)	A1	ENGENHARIAS II	Atualizado
0378-3820	Fuel Processing Technology	A1	ENGENHARIAS II	Atualizado
1342-937X	Gondwana Research	A1	ENGENHARIAS II	Atualizado
1463-9262	Green Chemistry (Print)	A1	ENGENHARIAS II	Atualizado
0304-386X	Hydrometallurgy (Amsterdam)	A1	ENGENHARIAS II	Atualizado
0018-9499	IEEE Transactions on Nuclear Science	A1	ENGENHARIAS II	Atualizado
0888-5885	Industrial & Engineering Chemistry Research	A1	ENGENHARIAS II	Atualizado
0966-9795	Intermetallics (Barking)	A1	ENGENHARIAS II	Atualizado
0735-1933	International Communications in Heat and Mass Transfer	A1	ENGENHARIAS II	Atualizado
1546-542X	International Journal of Applied Ceramic Technology	A1	ENGENHARIAS II	Atualizado
1744-7402	International Journal of Applied Ceramic Technology (Online)	A1	ENGENHARIAS II	Atualizado
0166-5162	International Journal of Coal Geology	A1	ENGENHARIAS II	Atualizado
0017-9310	International Journal of Heat and Mass Transfer	A1	ENGENHARIAS II	Atualizado
0360-3199	International Journal of Hydrogen Energy	A1	ENGENHARIAS II	Atualizado
0301-7516	International Journal of Mineral Processing (Print)	A1	ENGENHARIAS II	Atualizado
0360-3016	International Journal of Radiation Oncology, Biology, Physics	A1	ENGENHARIAS II	Atualizado
0958-0611	International Journal of Refractory Metals & Hard Materials	A1	ENGENHARIAS II	Atualizado
0950-6608	International Materials Reviews	A1	ENGENHARIAS II	Atualizado
1047-4838	JOM (Warrendale)	A1	ENGENHARIAS II	Atualizado
0925-8388	Journal of Alloys and Compounds	A1	ENGENHARIAS II	Atualizado
0021-891X	Journal of Applied Electrochemistry	A1	ENGENHARIAS II	Atualizado
	Journal of Applied Polymer Science	A1	ENGENHARIAS II	Atualizado
1097-4628	Journal of Applied Polymer Science (Online)	A1	ENGENHARIAS II	Atualizado
0021-8995	Journal of Applied Polymer Science (Print)	A1	ENGENHARIAS II	Atualizado
1549-3296	Journal of Biomedical Materials Research. Part A	A1	ENGENHARIAS II	Atualizado
1552-4973	Journal of Biomedical Materials Research. Part B, Applied Biomaterials	A1	ENGENHARIAS II	Atualizado
0168-1656	Journal of Biotechnology	A1	ENGENHARIAS II	Atualizado
0021-9517	Journal of Catalysis (Print)	A1	ENGENHARIAS II	Atualizado
0021-9568	Journal of Chemical and Engineering Data	A1	ENGENHARIAS II	Atualizado
1520-5134	Journal of Chemical & Engineering Data (Online)	A1	ENGENHARIAS II	Atualizado
1097-4660	Journal of Chemical Technology and Biotechnology	A1	ENGENHARIAS II	Atualizado
0268-2575	Journal of Chemical Technology and Biotechnology (1986)	A1	ENGENHARIAS II	Atualizado
0021-9614	Journal of Chemical Thermodynamics	A1	ENGENHARIAS II	Atualizado
1570-0232	Journal of Chromatography. B (Print)	A1	ENGENHARIAS II	Atualizado
0021-9673	Journal of Chromatography (Print)	A1	ENGENHARIAS II	Atualizado
0959-6526	Journal of Cleaner Production	A1	ENGENHARIAS II	Atualizado
0021-9797	Journal of Colloid and Interface Science (Print)	A1	ENGENHARIAS II	Atualizado
0168-3659	Journal of Controlled Release	A1	ENGENHARIAS II	Atualizado
0301-4797	Journal of Environmental Management	A1	ENGENHARIAS II	Atualizado
0265-931X	Journal of Environmental Radioactivity	A1	ENGENHARIAS II	Atualizado
0260-8774	Journal of Food Engineering	A1	ENGENHARIAS II	Atualizado
0304-3894	Journal of Hazardous Materials (Print)	A1	ENGENHARIAS II	Atualizado
1367-5435	Journal of Industrial Microbiology & Biotechnology	A1	ENGENHARIAS II	Atualizado
0304-8853	Journal of Magnetism and Magnetic Materials	A1	ENGENHARIAS II	Atualizado
0959-9428	Journal of Materials Chemistry (Print)	A1	ENGENHARIAS II	Atualizado
0924-0136	Journal of Materials Processing Technology	A1	ENGENHARIAS II	Atualizado
0884-2914	Journal of Materials Research	A1	ENGENHARIAS II	Atualizado
0022-2461	Journal of Materials Science	A1	ENGENHARIAS II	Atualizado
1573-4803	Journal of Materials Science (Dordrecht. Online)	A1	ENGENHARIAS II	Atualizado
0957-4530	Journal of Materials Science. Materials in Medicine	A1	ENGENHARIAS II	Atualizado
1573-4838	Journal of Materials Science. Materials in Medicine (Dordrecht. Online)	A1	ENGENHARIAS II	Atualizado
0376-7388	Journal of Membrane Science (Print)	A1	ENGENHARIAS II	Atualizado
