ISSN	Título	Estrato	Área de Avaliação	Status
0149-1423	AAPG Bulletin (Print)	A1	ENGENHARIAS III	Atualizado
1537-260X	Academy of Management Learning & Education	A1	ENGENHARIAS III	Atualizado
1944-8244	ACS Applied Materials & Interfaces (Print)	A1	ENGENHARIAS III	Atualizado
1742-7061	Acta Biomaterialia	A1	ENGENHARIAS III	Atualizado
1359-6454	Acta Materialia (Oxford)	A1	ENGENHARIAS III	Atualizado
1662-8985	Advanced Materials Research (Online)	A1	ENGENHARIAS III	Atualizado
0935-9648	Advanced Materials (Weinheim Print)	A1	ENGENHARIAS III	Atualizado
0309-1708	Advances in Water Resources	A1	ENGENHARIAS III	Atualizado
1270-9638	Aerospace Science and Technology (Imprimé)	A1	ENGENHARIAS III	Atualizado
0168-1923	Agricultural and Forest Meteorology (Print)	A1	ENGENHARIAS III	Atualizado
0308-521X	Agricultural Systems	A1	ENGENHARIAS III	Atualizado
0001-1452	AIAA Journal (Print)	A1	ENGENHARIAS III	Atualizado
0001-1541	AIChE Journal	A1	ENGENHARIAS III	Atualizado
1042-0533	American Journal of Human Biology	A1	ENGENHARIAS III	Atualizado
1945-8924	American Journal of Rhinology & Allergy (Print)	A1	ENGENHARIAS III	Atualizado
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	A1	ENGENHARIAS III	Atualizado
0003-2654	Analyst (London. 1877. Print)	A1	ENGENHARIAS III	Atualizado
1873-4324	Analytica Chimica Acta (Online)	A1	ENGENHARIAS III	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	ENGENHARIAS III	Atualizado
1941-1413	ANNU REV FOOD SCI T	A1	ENGENHARIAS III	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A1	ENGENHARIAS III	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	ENGENHARIAS III	Atualizado
0169-1317	Applied Clay Science (Print)	A1	ENGENHARIAS III	Atualizado
0306-2619	Applied Energy	A1	ENGENHARIAS III	Atualizado
0143-6228	Applied Geography (Sevenoaks)	A1	ENGENHARIAS III	Atualizado
0003-6900	Applied Mechanics Reviews	A1	ENGENHARIAS III	Atualizado
1559-128X	Applied Optics	A1	ENGENHARIAS III	Atualizado
0003-6951	Applied Physics Letters	A1	ENGENHARIAS III	Atualizado
1359-4311	Applied Thermal Engineering	A1	ENGENHARIAS III	Atualizado
0003-9993	Archives of Physical Medicine and Rehabilitation (Print)	A1	ENGENHARIAS III	Atualizado
0004-3702	Artificial Intelligence (General Ed.)	A1	ENGENHARIAS III	Atualizado
0004-6361	Astronomy & Astrophysics (Berlin. Print)	A1	ENGENHARIAS III	Atualizado
1538-4357	Astrophysical Journal (Online)	A1	ENGENHARIAS III	Atualizado
1680-7316	Atmospheric Chemistry and Physics (Print)	A1	ENGENHARIAS III	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	ENGENHARIAS III	Atualizado
0005-1098	Automatica (Oxford)	A1	ENGENHARIAS III	Atualizado
0926-5805	Automation in Construction (Print)	A1	ENGENHARIAS III	Atualizado
0168-2563	Biogeochemistry (Dordrecht)	A1	ENGENHARIAS III	Atualizado
0961-9534	Biomass & Bioenergy	A1	ENGENHARIAS III	Atualizado
1930-2126	Bioresources (Raleigh, N.C)	A1	ENGENHARIAS III	Atualizado
0960-8524	Bioresource Technology	A1	ENGENHARIAS III	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	ENGENHARIAS III	Atualizado
0006-3592	Biotechnology and Bioengineering (Print)	A1	ENGENHARIAS III	Atualizado
1754-6834	Biotechnology for Biofuels	A1	ENGENHARIAS III	Atualizado
0007-0955	British Journal of Criminology	A1	ENGENHARIAS III	Atualizado
1464-3529	British Journal of Criminology (Online)	A1	ENGENHARIAS III	Atualizado
0360-1323	Building and Environment	A1	ENGENHARIAS III	Atualizado
0003-0007	Bulletin of the American Meteorological Society	A1	ENGENHARIAS III	Atualizado
0144-8617	Carbohydrate Polymers	A1	ENGENHARIAS III	Atualizado
0008-6223	Carbon (New York)	A1	ENGENHARIAS III	Atualizado
1421-976X	Caries Research (Online)	A1	ENGENHARIAS III	Atualizado
0920-5861	Catalysis Today (Print)	A1	ENGENHARIAS III	Atualizado
0008-8846	Cement and Concrete Research	A1	ENGENHARIAS III	Atualizado
0272-8842	Ceramics International	A1	ENGENHARIAS III	Atualizado
1054-1500	Chaos (Woodbury, N.Y.)	A1	ENGENHARIAS III	Atualizado
1089-7682	Chaos (Woodbury, N.Y. Online)	A1	ENGENHARIAS III	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A1	ENGENHARIAS III	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	ENGENHARIAS III	Atualizado
0263-8762	Chemical Engineering Research & Design	A1	ENGENHARIAS III	Atualizado
0009-2509	Chemical Engineering Science	A1	ENGENHARIAS III	Atualizado
0947-6539	Chemistry - A European Journal	A1	ENGENHARIAS III	Atualizado
0897-4756	Chemistry of Materials	A1	ENGENHARIAS III	Atualizado
0169-7439	Chemometrics and Intelligent Laboratory Systems (Print)	A1	ENGENHARIAS III	Atualizado
0045-6535	Chemosphere (Oxford)	A1	ENGENHARIAS III	Atualizado
1864-5631	ChemSusChem (Weinheim. Print)	A1	ENGENHARIAS III	Atualizado
0007-8506	CIRP Annals	A1	ENGENHARIAS III	Atualizado
0165-0009	Climatic Change	A1	ENGENHARIAS III	Atualizado
1523-0899	Clinical Implant Dentistry and Related Research	A1	ENGENHARIAS III	Atualizado
0363-9762	Clinical Nuclear Medicine	A1	ENGENHARIAS III	Atualizado
0905-7161	Clinical Oral Implants Research	A1	ENGENHARIAS III	Atualizado
0010-2180	Combustion and Flame	A1	ENGENHARIAS III	Atualizado
1007-5704	Communications in Nonlinear Science & Numerical Simulation	A1	ENGENHARIAS III	Atualizado
1069-8299	Communications in Numerical Methods in Engineering	A1	ENGENHARIAS III	Atualizado
1099-0887	Communications In Numerical Methods in Engineering (Online)	A1	ENGENHARIAS III	Atualizado
1359-835X	Composites. Part A, Applied Science and Manufacturing	A1	ENGENHARIAS III	Atualizado
1359-8368	Composites. Part B, Engineering	A1	ENGENHARIAS III	Atualizado
0266-3538	Composites Science and Technology	A1	ENGENHARIAS III	Atualizado
0263-8223	Composite Structures	A1	ENGENHARIAS III	Atualizado
0178-7675	Computational Mechanics	A1	ENGENHARIAS III	Atualizado
1573-2894	Computational Optimization and Applications (Dordrecht. Online)	A1	ENGENHARIAS III	Atualizado
0045-7825	Computer Methods in Applied Mechanics and Engineering	A1	ENGENHARIAS III	Atualizado
0010-4655	Computer Physics Communications	A1	ENGENHARIAS III	Atualizado
0360-1315	Computers and Education	A1	ENGENHARIAS III	Atualizado
