ISSN	Título	Estrato	Área de Avaliação	Status
1084-4309	ACM Transactions on Design Automation of Electronic Systems	A1	ENGENHARIAS IV	Atualizado
1570-8705	Ad Hoc Networks	A1	ENGENHARIAS IV	Atualizado
0090-6964	Annals of Biomedical Engineering	A1	ENGENHARIAS IV	Atualizado
1367-5788	Annual Reviews in Control	A1	ENGENHARIAS IV	Atualizado
0095-4616	Applied Mathematics & Optimization	A1	ENGENHARIAS IV	Atualizado
1559-128X	Applied Optics	A1	ENGENHARIAS IV	Atualizado
0933-3657	Artificial Intelligence in Medicine (Print)	A1	ENGENHARIAS IV	Atualizado
0160-564X	Artificial Organs	A1	ENGENHARIAS IV	Atualizado
1525-1594	Artificial Organs (Online)	A1	ENGENHARIAS IV	Atualizado
1561-8625	Asian Journal of Control	A1	ENGENHARIAS IV	Atualizado
0005-1098	Automatica (Oxford)	A1	ENGENHARIAS IV	Atualizado
1475-925X	Biomedical Engineering Online (Online)	A1	ENGENHARIAS IV	Atualizado
2156-7085	Biomedical Optics Express	A1	ENGENHARIAS IV	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	ENGENHARIAS IV	Atualizado
1537-5110	Biosystems Engineering	A1	ENGENHARIAS IV	Atualizado
1054-1500	Chaos (Woodbury, N.Y.)	A1	ENGENHARIAS IV	Atualizado
1089-7682	Chaos (Woodbury, N.Y. Online)	A1	ENGENHARIAS IV	Atualizado
0140-3664	Computer Communications	A1	ENGENHARIAS IV	Atualizado
0895-6111	Computerized Medical Imaging and Graphics	A1	ENGENHARIAS IV	Atualizado
0169-2607	Computer Methods and Programs in Biomedicine (Print)	A1	ENGENHARIAS IV	Atualizado
0967-0661	Control Engineering Practice	A1	ENGENHARIAS IV	Atualizado
0272-1708	Control Systems Magazine	A1	ENGENHARIAS IV	Atualizado
0925-9635	Diamond and Related Materials	A1	ENGENHARIAS IV	Atualizado
1095-4333	Digital Signal Processing (Online)	A1	ENGENHARIAS IV	Atualizado
1051-2004	Digital Signal Processing (Print)	A1	ENGENHARIAS IV	Atualizado
0378-7796	Electric Power Systems Research (Print)	A1	ENGENHARIAS IV	Atualizado
0013-5194	Electronics Letters	A1	ENGENHARIAS IV	Atualizado
0952-1976	Engineering Applications of Artificial Intelligence	A1	ENGENHARIAS IV	Atualizado
0947-3580	European Journal of Control	A1	ENGENHARIAS IV	Atualizado
0165-0114	Fuzzy Sets and Systems	A1	ENGENHARIAS IV	Atualizado
1063-6692	IEEE/ACM Transactions on Networking (Print)	A1	ENGENHARIAS IV	Atualizado
1536-1225	IEEE Antennas and Wireless Propagation Letters	A1	ENGENHARIAS IV	Atualizado
1045-9243	IEEE Antennas & Propagation Magazine	A1	ENGENHARIAS IV	Atualizado
1083-4435	IEEE/ASME Transactions on Mechatronics	A1	ENGENHARIAS IV	Atualizado
1531-636X	IEEE Circuits and Systems Magazine (New York, N.Y. 2001: Print)	A1	ENGENHARIAS IV	Atualizado
1089-7798	IEEE Communications Letters (Print)	A1	ENGENHARIAS IV	Atualizado
0163-6804	IEEE Communications Magazine (Print)	A1	ENGENHARIAS IV	Atualizado
1553-877X	IEEE Communications Surveys and Tutorials	A1	ENGENHARIAS IV	Atualizado
0740-7475	IEEE Design & Test of Computers (Print)	A1	ENGENHARIAS IV	Atualizado
0883-7554	IEEE Electrical Insulation Magazine	A1	ENGENHARIAS IV	Atualizado
0741-3106	IEEE Electron Device Letters (Print)	A1	ENGENHARIAS IV	Atualizado
0739-5175	IEEE Engineering in Medicine and Biology Magazine	A1	ENGENHARIAS IV	Atualizado
1545-598X	IEEE Geoscience and Remote Sensing Letters (Print)	A1	ENGENHARIAS IV	Atualizado
1932-4529	IEEE Industrial Electronics Magazine	A1	ENGENHARIAS IV	Atualizado
1541-1672	IEEE Intelligent Systems	A1	ENGENHARIAS IV	Atualizado
0018-9197	IEEE Journal of Quantum Electronics	A1	ENGENHARIAS IV	Atualizado
1932-4553	IEEE Journal of Selected Topics in Signal Processing	A1	ENGENHARIAS IV	Atualizado
0733-8716	IEEE Journal on Selected Areas in Communications (Print)	A1	ENGENHARIAS IV	Atualizado
0272-1732	IEEE Micro	A1	ENGENHARIAS IV	Atualizado
1051-8207	IEEE Microwave and Guided Wave Letters	A1	ENGENHARIAS IV	Atualizado
1531-1309	IEEE Microwave and Wireless Components Letters	A1	ENGENHARIAS IV	Atualizado
0890-8044	IEEE Network	A1	ENGENHARIAS IV	Atualizado
1943-0655	IEEE Photonics Journal	A1	ENGENHARIAS IV	Atualizado
1041-1135	IEEE Photonics Technology Letters	A1	ENGENHARIAS IV	Atualizado
1540-7977	IEEE Power & Energy Magazine	A1	ENGENHARIAS IV	Atualizado
1530-437X	IEEE Sensors Journal	A1	ENGENHARIAS IV	Atualizado
1070-9908	IEEE Signal Processing Letters	A1	ENGENHARIAS IV	Atualizado
1053-5888	IEEE Signal Processing Magazine (Print)	A1	ENGENHARIAS IV	Atualizado
1932-8184	IEEE Systems Journal	A1	ENGENHARIAS IV	Atualizado
1943-068X	IEEE T COMP INTEL AI	A1	ENGENHARIAS IV	Atualizado
0018-9251	IEEE Transactions on Aerospace and Electronic Systems	A1	ENGENHARIAS IV	Atualizado
0018-926X	IEEE Transactions on Antennas and Propagation (Print)	A1	ENGENHARIAS IV	Atualizado
1051-8223	IEEE Transactions on Applied Superconductivity (Print)	A1	ENGENHARIAS IV	Atualizado
1558-7916	IEEE Transactions on Audio, Speech, and Language Processing	A1	ENGENHARIAS IV	Atualizado
0018-9286	IEEE Transactions on Automatic Control (Print)	A1	ENGENHARIAS IV	Atualizado
1545-5955	IEEE Transactions on Automation Science and Engineering	A1	ENGENHARIAS IV	Atualizado
0018-9294	IEEE Transactions on Biomedical Engineering (Print)	A1	ENGENHARIAS IV	Atualizado
0018-9316	IEEE Transactions on Broadcasting	A1	ENGENHARIAS IV	Atualizado
1051-8215	IEEE Transactions on Circuits and Systems for Video Technology (Print)	A1	ENGENHARIAS IV	Atualizado
1549-7747	IEEE Transactions on Circuits and Systems. II, Express Briefs	A1	ENGENHARIAS IV	Atualizado
