ISSN	Título	Estrato	Área de Avaliação	Status
1043-4046	Advances in Physiology Education	A1	ENSINO	Atualizado
0002-9505	American Journal of Physics	A1	ENSINO	Atualizado
1470-8175	Biochemistry and Molecular Biology Education	A1	ENSINO	Atualizado
0103-636X	Bolema. Boletim de Educação Matemática (UNESP. Rio Claro. Impresso)	A1	ENSINO	Atualizado
1536-7509	Cell Biology Education	A1	ENSINO	Atualizado
1344-7963	Chemical Education Journal	A1	ENSINO	Atualizado
1980-850X	Ciência & Educação	A1	ENSINO	Atualizado
1516-7313	Ciência e Educação (UNESP. Impresso)	A1	ENSINO	Atualizado
0360-1315	Computers and Education	A1	ENSINO	Atualizado
1871-1510	CULTURAL STUDIES OF SCIENCE EDUCATION (ON LINE)	A1	ENSINO	Atualizado
1871-1502	Cultural Studies of Science Education (Print)	A1	ENSINO	Atualizado
0864-2141	Educación Médica Superior (Impresa)	A1	ENSINO	Atualizado
0013-1954	Educational Studies in Mathematics	A1	ENSINO	Atualizado
0212-4521	Enseñanza de las Ciencias	A1	ENSINO	Atualizado
1350-4622	ENVIRON EDUC RES	A1	ENSINO	Atualizado
0143-0807	European Journal of Physics (Print)	A1	ENSINO	Atualizado
0228-0671	For the Learning of Mathematics	A1	ENSINO	Atualizado
0378-1844	Interciencia (Caracas)	A1	ENSINO	Atualizado
1382-3892	International Journal of Computers for Mathematical Learning	A1	ENSINO	Atualizado
0020-739X	International Journal of Mathematical Education in Science and Technology	A1	ENSINO	Atualizado
0950-0693	International Journal of Science Education	A1	ENSINO	Atualizado
1740-2743	Journal for Critical Education Policy Studies	A1	ENSINO	Atualizado
0021-9266	Journal of Biological Education	A1	ENSINO	Atualizado
0021-9584	Journal of Chemical Education	A1	ENSINO	Atualizado
0022-0337	Journal of Dental Education	A1	ENSINO	Atualizado
1386-4416	Journal of Mathematics Teacher Education	A1	ENSINO	Atualizado
1120-9968	La Matematica e la sua Didattica	A1	ENSINO	Atualizado
0308-0110	Medical Education (Oxford. Print)	A1	ENSINO	Atualizado
0031-9120	Physics Education (Bristol. Print)	A1	ENSINO	Atualizado
0963-6625	Public Understanding of Science (Print)	A1	ENSINO	Atualizado
1012-2346	Pythagoras	A1	ENSINO	Atualizado
0922-4777	Reading & Writing	A1	ENSINO	Atualizado
0157-244X	Research in Science Education	A1	ENSINO	Atualizado
0263-5143	Research in Science & Technological Education	A1	ENSINO	Atualizado
1413-6538	Revista Brasileira de Educação Especial	A1	ENSINO	Atualizado
1806-1117	Revista Brasileira de Ensino de Física (Impresso)	A1	ENSINO	Atualizado
1806-9126	Revista Brasileira de Ensino de Física (Online)	A1	ENSINO	Atualizado
0124-5481	Revista de Educacion de las Ciencias	A1	ENSINO	Atualizado
1607-4041	Revista Electrónica de Investigación Educativa	A1	ENSINO	Atualizado
1646-401X	Revista Lusofona de Educacao	A1	ENSINO	Atualizado
0926-7220	Science & Education (Dordrecht)	A1	ENSINO	Atualizado
1863-9690	ZDM (Berlin. Print)	A1	ENSINO	Atualizado
0895-6820	21st Century Science & Technology (Online)	A2	ENSINO	Atualizado
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	A2	ENSINO	Atualizado
1678-2690	Anais da Academia Brasileira de Ciências (Online)	A2	ENSINO	Atualizado
0987-7576	Annales de Didactique et de Sciences Cognitives	A2	ENSINO	Atualizado
0003-9519	Archive for History of Exact Sciences (Print)	A2	ENSINO	Atualizado
1414-4077	Avaliação (UNICAMP)	A2	ENSINO	Atualizado
0101-3262	Cadernos CEDES (Impresso)	A2	ENSINO	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A2	ENSINO	Atualizado
0145-8973	Chasqui	A2	ENSINO	Atualizado
0100-1965	Ciência da Informação (Impresso)	A2	ENSINO	Atualizado
1413-8123	Ciência e Saúde Coletiva (Impresso)	A2	ENSINO	Atualizado
1678-4561	Ciência & Saúde Coletiva (Online)	A2	ENSINO	Atualizado
1369-1058	Culture, Health & Sexuality (Print)	A2	ENSINO	Atualizado
0102-4698	Educação em Revista (UFMG. Impresso)	A2	ENSINO	Atualizado
0104-4060	Educar em Revista (Impresso)	A2	ENSINO	Atualizado
1316-4910	EDUCERE (Mérida)	A2	ENSINO	Atualizado
1415-2150	Ensaio: Pesquisa em Educação em Ciências (Impresso)	A2	ENSINO	Atualizado
1983-2117	Ensaio: Pesquisa em Educação em Ciências (Online)	A2	ENSINO	Atualizado
1132-9157	Enseñanza de las Ciencias de la Tierra	A2	ENSINO	Atualizado
1939-1811	Historical Studies in the Natural Sciences (Print)	A2	ENSINO	Atualizado
1414-3283	Interface (Botucatu. Impresso)	A2	ENSINO	Atualizado
1807-5762	Interface (Botucatu. Online)	A2	ENSINO	Atualizado
1560-4624	International Journal of Continuing Engineering Education and Life-Long Learning	A2	ENSINO	Atualizado
1814-0556	International Journal of Education and Development using Information and Communication Technology	A2	ENSINO	Atualizado
	investigação em ensino de ciências	A2	ENSINO	Atualizado
1518-8795	Investigações em Ensino de Ciências (Online)	A2	ENSINO	Atualizado
1518-9384	Investigações em Ensino de Ciências (UFRGS. Impresso)	A2	ENSINO	Atualizado
1824-2049	JCOM, Journal of Science Communication	A2	ENSINO	Atualizado
0140-6736	Lancet (British edition)	A2	ENSINO	Atualizado
0074-0276	Memórias do Instituto Oswaldo Cruz (Impresso)	A2	ENSINO	Atualizado
