ISSN	Título	Estrato	Área de Avaliação	Status
0001-4842	Accounts of Chemical Research	A1	FARMÁCIA	Atualizado
1944-8244	ACS Applied Materials & Interfaces (Print)	A1	FARMÁCIA	Atualizado
1742-7061	Acta Biomaterialia	A1	FARMÁCIA	Atualizado
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	FARMÁCIA	Atualizado
1369-1600	Addiction Biology (Online)	A1	FARMÁCIA	Atualizado
1355-6215	Addiction Biology (Print)	A1	FARMÁCIA	Atualizado
0169-409X	Advanced Drug Delivery Reviews	A1	FARMÁCIA	Atualizado
1398-9995	Allergy (Online)	A1	FARMÁCIA	Atualizado
0361-8609	American Journal of Hematology (Print)	A1	FARMÁCIA	Atualizado
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	FARMÁCIA	Atualizado
0003-2654	Analyst (London. 1877. Print)	A1	FARMÁCIA	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	FARMÁCIA	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	FARMÁCIA	Atualizado
0923-7534	Annals of Oncology	A1	FARMÁCIA	Atualizado
1098-6596	Antimicrobial Agents and Chemotherapy (Online)	A1	FARMÁCIA	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	FARMÁCIA	Atualizado
0166-3542	Antiviral Research	A1	FARMÁCIA	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	FARMÁCIA	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A1	FARMÁCIA	Atualizado
0306-2619	Applied Energy	A1	FARMÁCIA	Atualizado
0003-6951	Applied Physics Letters	A1	FARMÁCIA	Atualizado
0340-5761	Archives of Toxicology	A1	FARMÁCIA	Atualizado
1432-0738	Archives of Toxicology (Internet)	A1	FARMÁCIA	Atualizado
1079-5642	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	FARMÁCIA	Atualizado
1568-9972	Autoimmunity Reviews	A1	FARMÁCIA	Atualizado
1521-690X	Baillière's Best Practice & Research. Clinical Endocrinology & Metabolism	A1	FARMÁCIA	Atualizado
