ISSN	Título	Estrato	Área de Avaliação	Status
1679-3749	Aletria (UFMG)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0102-4698	Educação em Revista (UFMG. Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
1679-9615	Horizonte : Revista de Estudos de Teologia e Ciências da Religião (Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
2175-5841	Horizonte: Revista de Estudos de Teologia e Ciências da Religião (Online)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0104-7183	Horizontes Antropológicos (UFRGS. Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0104-0146	Informação & Sociedade (UFPB. Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0304-1042	Japanese Journal of Religious Studies	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0142-064X	Journal for the Study of the New Testament	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
8755-4178	Journal of Feminist Studies in Religion	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
1934-9645	Journal of Spirituality in Mental Health (Online)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0104-9313	Mana (UFRJ. Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0102-3772	Psicologia: Teoria e Pesquisa (UnB. Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0100-8587	Religião & Sociedade (Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0048-721X	Religion (London. 1971)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
1413-2478	Revista Brasileira de Educação (Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
1806-9347	Revista Brasileira de História (Online)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0104-026X	Revista Estudos Feministas (UFSC. Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0104-1169	Revista Latino-Americana de Enfermagem (USP. Ribeirão Preto. Impresso)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
0080-2654	Revue Théologique de Louvain (Imprimé)	A1	FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA	Atualizado
