ISSN	Título	Estrato	Área de Avaliação	Status
0168-1923	Agricultural and Forest Meteorology (Print)	A1	GEOCIÊNCIAS	Atualizado
0002-9599	American Journal of Science (1880)	A1	GEOCIÊNCIAS	Atualizado
1873-4324	Analytica Chimica Acta (Online)	A1	GEOCIÊNCIAS	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	GEOCIÊNCIAS	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	GEOCIÊNCIAS	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	GEOCIÊNCIAS	Atualizado
0306-2619	Applied Energy	A1	GEOCIÊNCIAS	Atualizado
0166-445X	Aquatic Toxicology	A1	GEOCIÊNCIAS	Atualizado
0004-6361	Astronomy & Astrophysics (Berlin. Print)	A1	GEOCIÊNCIAS	Atualizado
1538-4357	Astrophysical Journal (Online)	A1	GEOCIÊNCIAS	Atualizado
1680-7324	Atmospheric Chemistry and Physics (Online)	A1	GEOCIÊNCIAS	Atualizado
1680-7316	Atmospheric Chemistry and Physics (Print)	A1	GEOCIÊNCIAS	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	GEOCIÊNCIAS	Atualizado
1867-8548	Atmospheric Measurement Techniques	A1	GEOCIÊNCIAS	Atualizado
0168-2563	Biogeochemistry (Dordrecht)	A1	GEOCIÊNCIAS	Atualizado
1726-4189	Biogeosciences	A1	GEOCIÊNCIAS	Atualizado
1726-4170	Biogeosciences (Katlenburg-Lindau. Print)	A1	GEOCIÊNCIAS	Atualizado
0006-3207	Biological Conservation	A1	GEOCIÊNCIAS	Atualizado
0960-8524	Bioresource Technology	A1	GEOCIÊNCIAS	Atualizado
1520-0477	Bulletin of the American Meteorological Society	A1	GEOCIÊNCIAS	Atualizado
0003-0007	Bulletin of the American Meteorological Society	A1	GEOCIÊNCIAS	Atualizado
0003-0090	Bulletin of the American Museum of Natural History	A1	GEOCIÊNCIAS	Atualizado
0008-8846	Cement and Concrete Research	A1	GEOCIÊNCIAS	Atualizado
0009-2541	Chemical Geology	A1	GEOCIÊNCIAS	Atualizado
0045-6535	Chemosphere (Oxford)	A1	GEOCIÊNCIAS	Atualizado
0930-7575	Climate Dynamics	A1	GEOCIÊNCIAS	Atualizado
1814-9324	Climate of the Past (Print)	A1	GEOCIÊNCIAS	Atualizado
0010-7999	Contributions to Mineralogy and Petrology	A1	GEOCIÊNCIAS	Atualizado
0012-821X	Earth and Planetary Science Letters	A1	GEOCIÊNCIAS	Atualizado
0012-8252	Earth-Science Reviews	A1	GEOCIÊNCIAS	Atualizado
0906-7590	Ecography (Copenhagen)	A1	GEOCIÊNCIAS	Atualizado
1051-0761	Ecological Applications	A1	GEOCIÊNCIAS	Atualizado
0921-8009	Ecological Economics (Amsterdam)	A1	GEOCIÊNCIAS	Atualizado
1461-023X	Ecology Letters (Print)	A1	GEOCIÊNCIAS	Atualizado
0361-0128	Economic Geology and the Bulletin of the Society of Economic Geologists	A1	GEOCIÊNCIAS	Atualizado
1432-9840	Ecosystems (New York. Print)	A1	GEOCIÊNCIAS	Atualizado
0360-5442	Energy (Oxford)	A1	GEOCIÊNCIAS	Atualizado
1364-8152	Environmental Modelling & Software	A1	GEOCIÊNCIAS	Atualizado
0269-7491	Environmental Pollution (1987)	A1	GEOCIÊNCIAS	Atualizado
1566-0745	Environmental Pollution (London)	A1	GEOCIÊNCIAS	Atualizado
1748-9326	Environmental Research Letters	A1	GEOCIÊNCIAS	Atualizado
0013-9351	Environmental Research (New York, N.Y. Print)	A1	GEOCIÊNCIAS	Atualizado
0013-936X	Environmental Science & Technology	A1	GEOCIÊNCIAS	Atualizado
1520-5851	Environmental Science & Technology	A1	GEOCIÊNCIAS	Atualizado
0730-7268	Environmental Toxicology and Chemistry	A1	GEOCIÊNCIAS	Atualizado
0160-4120	Environment International	A1	GEOCIÊNCIAS	Atualizado
0308-8146	Food Chemistry	A1	GEOCIÊNCIAS	Atualizado
1540-9295	Frontiers in Ecology and the Environment (Print)	A1	GEOCIÊNCIAS	Atualizado
0016-2361	Fuel (Guildford)	A1	GEOCIÊNCIAS	Atualizado
1472-4677	Geobiology	A1	GEOCIÊNCIAS	Atualizado
1525-2027	Geochemistry, Geophysics, Geosystems	A1	GEOCIÊNCIAS	Atualizado
0016-7037	Geochimica et Cosmochimica Acta	A1	GEOCIÊNCIAS	Atualizado
0016-7606	Geological Society of America Bulletin	A1	GEOCIÊNCIAS	Atualizado
0091-7613	Geology (Boulder, Colo.)	A1	GEOCIÊNCIAS	Atualizado
0169-555X	Geomorphology (Amsterdam)	A1	GEOCIÊNCIAS	Atualizado
0094-8276	Geophysical Research Letters	A1	GEOCIÊNCIAS	Atualizado
0016-8033	Geophysics	A1	GEOCIÊNCIAS	Atualizado
0921-8181	Global and Planetary Change (Print)	A1	GEOCIÊNCIAS	Atualizado
0886-6236	Global Biogeochemical Cycles	A1	GEOCIÊNCIAS	Atualizado
1354-1013	Global Change Biology (Print)	A1	GEOCIÊNCIAS	Atualizado
1466-822X	Global Ecology and Biogeography (Print)	A1	GEOCIÊNCIAS	Atualizado
0959-3780	Global Environmental Change	A1	GEOCIÊNCIAS	Atualizado
1342-937X	Gondwana Research	A1	GEOCIÊNCIAS	Atualizado
0019-1035	Icarus (New York, N.Y. 1962)	A1	GEOCIÊNCIAS	Atualizado
0196-2892	IEEE Transactions on Geoscience and Remote Sensing	A1	GEOCIÊNCIAS	Atualizado
0899-8418	International Journal of Climatology	A1	GEOCIÊNCIAS	Atualizado
1049-8001	International Journal of Wildland Fire	A1	GEOCIÊNCIAS	Atualizado
0924-2716	ISPRS Journal of Photogrammetry and Remote Sensing	A1	GEOCIÊNCIAS	Atualizado
0021-8898	Journal of Applied Crystallography	A1	GEOCIÊNCIAS	Atualizado
0021-9193	Journal of Bacteriology (Print)	A1	GEOCIÊNCIAS	Atualizado
0305-0270	Journal of Biogeography (Print)	A1	GEOCIÊNCIAS	Atualizado
0021-9673	Journal of Chromatography (Print)	A1	GEOCIÊNCIAS	Atualizado
0894-8755	Journal of Climate	A1	GEOCIÊNCIAS	Atualizado
0148-0227	Journal of Geophysical Research	A1	GEOCIÊNCIAS	Atualizado
0304-3894	Journal of Hazardous Materials (Print)	A1	GEOCIÊNCIAS	Atualizado
0022-1694	Journal of Hydrology (Amsterdam)	A1	GEOCIÊNCIAS	Atualizado
1525-755X	Journal of Hydrometeorology (Print)	A1	GEOCIÊNCIAS	Atualizado
0263-4929	Journal of Metamorphic Geology	A1	GEOCIÊNCIAS	Atualizado
0022-3530	Journal of Petrology	A1	GEOCIÊNCIAS	Atualizado
0022-3670	Journal of Physical Oceanography	A1	GEOCIÊNCIAS	Atualizado
1477-2019	Journal of Systematic Palaeontology (Print)	A1	GEOCIÊNCIAS	Atualizado
0022-4928	Journal of the Atmospheric Sciences	A1	GEOCIÊNCIAS	Atualizado
0016-7649	Journal of the Geological Society (London)	A1	GEOCIÊNCIAS	Atualizado
1100-9233	Journal of Vegetation Science	A1	GEOCIÊNCIAS	Atualizado
0024-4937	Lithos (Oslo. Print)	A1	GEOCIÊNCIAS	Atualizado
0304-4203	Marine Chemistry (Print)	A1	GEOCIÊNCIAS	Atualizado
0171-8630	Marine Ecology. Progress Series (Halstenbek)	A1	GEOCIÊNCIAS	Atualizado
0025-3227	Marine Geology (Print)	A1	GEOCIÊNCIAS	Atualizado
0962-1083	Molecular Ecology (Print)	A1	GEOCIÊNCIAS	Atualizado
1055-7903	Molecular Phylogenetics and Evolution (Print)	A1	GEOCIÊNCIAS	Atualizado
0035-8711	Monthly Notices of the Royal Astronomical Society (Print)	A1	GEOCIÊNCIAS	Atualizado
0027-0644	Monthly Weather Review	A1	GEOCIÊNCIAS	Atualizado
1758-678X	Nature Climate Change	A1	GEOCIÊNCIAS	Atualizado
1752-0894	Nature Geoscience (Print)	A1	GEOCIÊNCIAS	Atualizado
0028-0836	Nature (London)	A1	GEOCIÊNCIAS	Atualizado
1469-8137	New Phytologist (Online)	A1	GEOCIÊNCIAS	Atualizado
0028-646X	New Phytologist (Print)	A1	GEOCIÊNCIAS	Atualizado
0029-8549	Oecologia	A1	GEOCIÊNCIAS	Atualizado
