ISSN	Título	Estrato	Área de Avaliação	Status
1679-3749	Aletria (UFMG)	A1	HISTÓRIA	Atualizado
1575-2100	Ámbitos: Revista de Estudios de Ciencias Sociales y Humanidades	A1	HISTÓRIA	Atualizado
1281-7082	Annales Historiques de la Révolution Française	A1	HISTÓRIA	Atualizado
0395-2649	Annales (Paris)	A1	HISTÓRIA	Atualizado
1983-201X	Anos 90 (Online) (Porto Alegre)	A1	HISTÓRIA	Atualizado
0104-236X	Anos 90 (UFRGS. Impresso)	A1	HISTÓRIA	Atualizado
0066-4812	Antipode (Oxford. Print)	A1	HISTÓRIA	Atualizado
0120-2456	Anuario Colombiano de Historia Social y de la Cultura.	A1	HISTÓRIA	Atualizado
0210-5810	Anuario de Estudios Americanos (Ed. Impresa)	A1	HISTÓRIA	Atualizado
0261-3050	Bulletin of Latin American Research	A1	HISTÓRIA	Atualizado
0007-5140	Bulletin of the History of Medicine	A1	HISTÓRIA	Atualizado
1141-7161	Cahiers des Amériques Latines (Paris)	A1	HISTÓRIA	Atualizado
0955-7571	Cambridge Review of International Affairs	A1	HISTÓRIA	Atualizado
0008-7157	Casa de las Américas	A1	HISTÓRIA	Atualizado
0009-2851	Chemie in Unserer Zeit	A1	HISTÓRIA	Atualizado
1468-2745	Cold War History	A1	HISTÓRIA	Atualizado
1677-7883	Coletânea (Rio de Janeiro)	A1	HISTÓRIA	Atualizado
1807-9326	Contributions to the History of Concepts (Rio de Janeiro)	A1	HISTÓRIA	Atualizado
1409-3677	Cuaderno de ciencias sociales	A1	HISTÓRIA	Atualizado
0011-3204	Current Anthropology	A1	HISTÓRIA	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A1	HISTÓRIA	Atualizado
0101-7330	Educação & Sociedade (Impresso)	A1	HISTÓRIA	Atualizado
0185-2620	Estudios de historia moderna y contemporánea de México	A1	HISTÓRIA	Atualizado
0103-2186	Estudos Historicos (Rio de Janeiro)	A1	HISTÓRIA	Atualizado
0016-7185	Geoforum	A1	HISTÓRIA	Atualizado
0016-7428	Geographical Review	A1	HISTÓRIA	Atualizado
1254-728X	Histoire et Societes Rurales	A1	HISTÓRIA	Atualizado
0104-5970	História, Ciências, Saúde-Manguinhos (Impresso)	A1	HISTÓRIA	Atualizado
1678-4758	História, Ciências, Saúde-Manguinhos (Online)	A1	HISTÓRIA	Atualizado
1983-9928	História da Historiografia	A1	HISTÓRIA	Atualizado
0717-7194	História (Santiago)	A1	HISTÓRIA	Atualizado
1980-4369	História (São Paulo. Online)	A1	HISTÓRIA	Atualizado
