ISSN	Título	Estrato	Área de Avaliação	Status
0149-1423	AAPG Bulletin (Print)	A1	INTERDISCIPLINAR	Atualizado
0360-0300	ACM Computing Surveys	A1	INTERDISCIPLINAR	Atualizado
0098-3500	ACM Transactions on Mathematical Software	A1	INTERDISCIPLINAR	Atualizado
1944-8244	ACS Applied Materials & Interfaces (Print)	A1	INTERDISCIPLINAR	Atualizado
1936-0851	ACS Nano	A1	INTERDISCIPLINAR	Atualizado
1742-7061	Acta Biomaterialia	A1	INTERDISCIPLINAR	Atualizado
1359-6454	Acta Materialia (Oxford)	A1	INTERDISCIPLINAR	Atualizado
1748-1708	Acta Physiologica (Print)	A1	INTERDISCIPLINAR	Atualizado
0001-6918	Acta Psychologica	A1	INTERDISCIPLINAR	Atualizado
0001-706X	Acta Tropica	A1	INTERDISCIPLINAR	Atualizado
0965-2140	Addiction (Abingdon. Print)	A1	INTERDISCIPLINAR	Atualizado
0935-9648	Advanced Materials (Weinheim Print)	A1	INTERDISCIPLINAR	Atualizado
1019-7168	Advances in Computational Mathematics	A1	INTERDISCIPLINAR	Atualizado
0001-8732	Advances in Physics	A1	INTERDISCIPLINAR	Atualizado
0309-1708	Advances in Water Resources	A1	INTERDISCIPLINAR	Atualizado
0002-0206	African Studies Review	A1	INTERDISCIPLINAR	Atualizado
0161-9152	Age	A1	INTERDISCIPLINAR	Atualizado
0168-1923	Agricultural and Forest Meteorology (Print)	A1	INTERDISCIPLINAR	Atualizado
0308-521X	Agricultural Systems	A1	INTERDISCIPLINAR	Atualizado
0378-3774	Agricultural Water Management (Print)	A1	INTERDISCIPLINAR	Atualizado
0167-8809	Agriculture, Ecosystems & Environment (Print)	A1	INTERDISCIPLINAR	Atualizado
0002-1962	Agronomy Journal (Print)	A1	INTERDISCIPLINAR	Atualizado
0001-1541	AIChE Journal	A1	INTERDISCIPLINAR	Atualizado
0269-9370	AIDS (London)	A1	INTERDISCIPLINAR	Atualizado
0735-0414	Alcohol and Alcoholism (Oxford)	A1	INTERDISCIPLINAR	Atualizado
1679-3749	Aletria (UFMG)	A1	INTERDISCIPLINAR	Atualizado
1981-5794	Alfa: Revista de Linguística (UNESP. Online)	A1	INTERDISCIPLINAR	Atualizado
1552-5260	Alzheimer's & Dementia	A1	INTERDISCIPLINAR	Atualizado
1130-2887	América Latina Hoy	A1	INTERDISCIPLINAR	Atualizado
0002-7294	American Anthropologist	A1	INTERDISCIPLINAR	Atualizado
0002-7316	American Antiquity	A1	INTERDISCIPLINAR	Atualizado
0094-0496	American Ethnologist	A1	INTERDISCIPLINAR	Atualizado
1526-5161	American Journal of Bioethics	A1	INTERDISCIPLINAR	Atualizado
0002-9122	American Journal of Botany	A1	INTERDISCIPLINAR	Atualizado
0002-9262	American Journal of Epidemiology	A1	INTERDISCIPLINAR	Atualizado
0002-9297	American Journal of Human Genetics	A1	INTERDISCIPLINAR	Atualizado
0002-9378	American Journal of Obstetrics and Gynecology (Print)	A1	INTERDISCIPLINAR	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	INTERDISCIPLINAR	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	INTERDISCIPLINAR	Atualizado
1600-6135	American Journal of Transplantation (Print)	A1	INTERDISCIPLINAR	Atualizado
0939-4451	Amino Acids (Wien. Print)	A1	INTERDISCIPLINAR	Atualizado
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	A1	INTERDISCIPLINAR	Atualizado
0003-2654	Analyst (London. 1877. Print)	A1	INTERDISCIPLINAR	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	INTERDISCIPLINAR	Atualizado
1618-2642	Analytical and Bioanalytical Chemistry (Print)	A1	INTERDISCIPLINAR	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	INTERDISCIPLINAR	Atualizado
1757-5958	Analytical Methods	A1	INTERDISCIPLINAR	Atualizado
0003-3472	Animal Behaviour	A1	INTERDISCIPLINAR	Atualizado
0395-2649	Annales (Paris)	A1	INTERDISCIPLINAR	Atualizado
0305-7364	Annals of Botany (Print)	A1	INTERDISCIPLINAR	Atualizado
1068-9265	Annals of Surgical Oncology	A1	INTERDISCIPLINAR	Atualizado
0077-8923	Annals of the New York Academy of Sciences	A1	INTERDISCIPLINAR	Atualizado
1543-592X	Annual Review of Ecology, Evolution, and Systematics	A1	INTERDISCIPLINAR	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	INTERDISCIPLINAR	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	INTERDISCIPLINAR	Atualizado
0273-2289	Applied Biochemistry and Biotechnology	A1	INTERDISCIPLINAR	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A1	INTERDISCIPLINAR	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	INTERDISCIPLINAR	Atualizado
0169-1317	Applied Clay Science (Print)	A1	INTERDISCIPLINAR	Atualizado
0306-2619	Applied Energy	A1	INTERDISCIPLINAR	Atualizado
0143-6228	Applied Geography (Sevenoaks)	A1	INTERDISCIPLINAR	Atualizado
0175-7598	Applied Microbiology and Biotechnology	A1	INTERDISCIPLINAR	Atualizado
0003-6951	Applied Physics Letters	A1	INTERDISCIPLINAR	Atualizado
0169-4332	Applied Surface Science	A1	INTERDISCIPLINAR	Atualizado
1359-4311	Applied Thermal Engineering	A1	INTERDISCIPLINAR	Atualizado
0166-445X	Aquatic Toxicology	A1	INTERDISCIPLINAR	Atualizado
1432-072X	Archives in Microbiology	A1	INTERDISCIPLINAR	Atualizado
0003-987X	Archives of Dermatology (1960)	A1	INTERDISCIPLINAR	Atualizado
0090-4341	Archives of Environmental Contamination and Toxicology (Print)	A1	INTERDISCIPLINAR	Atualizado
0003-9926	Archives of Internal Medicine (1960)	A1	INTERDISCIPLINAR	Atualizado
0003-9942	Archives of Neurology (Chicago)	A1	INTERDISCIPLINAR	Atualizado
0340-5761	Archives of Toxicology	A1	INTERDISCIPLINAR	Atualizado
1432-0738	Archives of Toxicology (Internet)	A1	INTERDISCIPLINAR	Atualizado
0001-2343	ARSP. Archiv fur Rechts- und Sozialphilosophie	A1	INTERDISCIPLINAR	Atualizado
0004-3591	Arthritis and Rheumatism	A1	INTERDISCIPLINAR	Atualizado
0021-9150	Atherosclerosis (Amsterdam)	A1	INTERDISCIPLINAR	Atualizado
1680-7324	Atmospheric Chemistry and Physics (Online)	A1	INTERDISCIPLINAR	Atualizado
1680-7316	Atmospheric Chemistry and Physics (Print)	A1	INTERDISCIPLINAR	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	INTERDISCIPLINAR	Atualizado
0169-8095	Atmospheric Research (Print)	A1	INTERDISCIPLINAR	Atualizado
1530-261X	Atmospheric Science Letters	A1	INTERDISCIPLINAR	Atualizado
1939-3792	AUTISM RES	A1	INTERDISCIPLINAR	Atualizado
1568-9972	Autoimmunity Reviews	A1	INTERDISCIPLINAR	Atualizado
0005-1098	Automatica (Oxford)	A1	INTERDISCIPLINAR	Atualizado
1521-690X	Baillière's Best Practice & Research. Clinical Endocrinology & Metabolism	A1	INTERDISCIPLINAR	Atualizado
0166-4328	Behavioural Brain Research	A1	INTERDISCIPLINAR	Atualizado
1369-703X	Biochemical Engineering Journal	A1	INTERDISCIPLINAR	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	INTERDISCIPLINAR	Atualizado
0006-2952	Biochemical Pharmacology	A1	INTERDISCIPLINAR	Atualizado
1388-1981	Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids	A1	INTERDISCIPLINAR	Atualizado
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A1	INTERDISCIPLINAR	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	INTERDISCIPLINAR	Atualizado
1570-9639	Biochimica et Biophysica Acta. Proteins and Proteomics	A1	INTERDISCIPLINAR	Atualizado
0960-3115	Biodiversity and Conservation	A1	INTERDISCIPLINAR	Atualizado
1932-104X	Biofuels, Bioproducts & Biorefining	A1	INTERDISCIPLINAR	Atualizado
0168-2563	Biogeochemistry (Dordrecht)	A1	INTERDISCIPLINAR	Atualizado
1726-4170	Biogeosciences (Katlenburg-Lindau. Print)	A1	INTERDISCIPLINAR	Atualizado
1389-5729	Biogerontology (Dordrecht)	A1	INTERDISCIPLINAR	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	INTERDISCIPLINAR	Atualizado
0006-3207	Biological Conservation	A1	INTERDISCIPLINAR	Atualizado
0006-3223	Biological Psychiatry (1969)	A1	INTERDISCIPLINAR	Atualizado
1744-9561	Biology Letters (Print)	A1	INTERDISCIPLINAR	Atualizado
1525-7797	Biomacromolecules	A1	INTERDISCIPLINAR	Atualizado
0961-9534	Biomass & Bioenergy	A1	INTERDISCIPLINAR	Atualizado
0142-9612	Biomaterials (Guildford)	A1	INTERDISCIPLINAR	Atualizado
0006-341X	Biometrics (Washington)	A1	INTERDISCIPLINAR	Atualizado
0006-3495	Biophysical Journal (Print)	A1	INTERDISCIPLINAR	Atualizado
0960-8524	Bioresource Technology	A1	INTERDISCIPLINAR	Atualizado
0006-3568	Bioscience (Washington. Print)	A1	INTERDISCIPLINAR	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	INTERDISCIPLINAR	Atualizado
0734-9750	Biotechnology Advances	A1	INTERDISCIPLINAR	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	INTERDISCIPLINAR	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	INTERDISCIPLINAR	Atualizado
1471-2105	BMC Bioinformatics	A1	INTERDISCIPLINAR	Atualizado
1471-2407	BMC Cancer (Online)	A1	INTERDISCIPLINAR	Atualizado
1471-2148	BMC Evolutionary Biology (Online)	A1	INTERDISCIPLINAR	Atualizado
1471-2164	BMC Genomics	A1	INTERDISCIPLINAR	Atualizado
1471-2180	BMC Microbiology (Online)	A1	INTERDISCIPLINAR	Atualizado
0959-535X	BMJ. British Medical Journal	A1	INTERDISCIPLINAR	Atualizado
0959-8146	BMJ (International Edition)	A1	INTERDISCIPLINAR	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	INTERDISCIPLINAR	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	INTERDISCIPLINAR	Atualizado
0167-6806	Breast Cancer Research and Treatment	A1	INTERDISCIPLINAR	Atualizado
0007-1145	British Journal of Nutrition	A1	INTERDISCIPLINAR	Atualizado
0007-1188	British Journal of Pharmacology	A1	INTERDISCIPLINAR	Atualizado
1472-1465	British Journal of Psychiatry (Online)	A1	INTERDISCIPLINAR	Atualizado
0007-1250	British Journal of Psychiatry (Print)	A1	INTERDISCIPLINAR	Atualizado
0306-3674	British Journal of Sports Medicine	A1	INTERDISCIPLINAR	Atualizado
0007-1323	British Journal of Surgery (Print)	A1	INTERDISCIPLINAR	Atualizado
0360-1323	Building and Environment	A1	INTERDISCIPLINAR	Atualizado
0261-3050	Bulletin of Latin American Research	A1	INTERDISCIPLINAR	Atualizado
0003-0007	Bulletin of the American Meteorological Society	A1	INTERDISCIPLINAR	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	INTERDISCIPLINAR	Atualizado
0102-5767	Cadernos de Estudos Linguísticos (UNICAMP)	A1	INTERDISCIPLINAR	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A1	INTERDISCIPLINAR	Atualizado
0104-8333	Cadernos Pagu (UNICAMP. Impresso)	A1	INTERDISCIPLINAR	Atualizado
1141-7161	Cahiers des Amériques Latines (Paris)	A1	INTERDISCIPLINAR	Atualizado
0309-166X	Cambridge Journal of Economics	A1	INTERDISCIPLINAR	Atualizado
1055-9965	Cancer Epidemiology, Biomarkers & Prevention	A1	INTERDISCIPLINAR	Atualizado
0304-3835	Cancer Letters (Print)	A1	INTERDISCIPLINAR	Atualizado
0008-543X	Cancer (Print)	A1	INTERDISCIPLINAR	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	INTERDISCIPLINAR	Atualizado
