ISSN	Título	Estrato	Área de Avaliação	Status
1944-8252	ACS Applied Materials & Interfaces (Online)	A1	MATERIAIS	Atualizado
1944-8244	ACS Applied Materials & Interfaces (Print)	A1	MATERIAIS	Atualizado
1742-7061	Acta Biomaterialia	A1	MATERIAIS	Atualizado
1359-6454	Acta Materialia (Oxford)	A1	MATERIAIS	Atualizado
1616-301X	Advanced Functional Materials (Print)	A1	MATERIAIS	Atualizado
0935-9648	Advanced Materials (Weinheim Print)	A1	MATERIAIS	Atualizado
1615-4150	Advanced Synthesis & Catalysis (Print)	A1	MATERIAIS	Atualizado
0001-8686	Advances in Colloid and Interface Science (Print)	A1	MATERIAIS	Atualizado
0002-5100	Aldrichimica Acta	A1	MATERIAIS	Atualizado
0003-2654	Analyst (London. 1877. Print)	A1	MATERIAIS	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	MATERIAIS	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	MATERIAIS	Atualizado
1433-7851	Angewandte Chemie (International ed. Print)	A1	MATERIAIS	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	MATERIAIS	Atualizado
0306-2619	Applied Energy	A1	MATERIAIS	Atualizado
0175-7598	Applied Microbiology and Biotechnology	A1	MATERIAIS	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	MATERIAIS	Atualizado
0006-2952	Biochemical Pharmacology	A1	MATERIAIS	Atualizado
1525-7797	Biomacromolecules	A1	MATERIAIS	Atualizado
0966-0844	BioMetals (Oxford)	A1	MATERIAIS	Atualizado
0960-8524	Bioresource Technology	A1	MATERIAIS	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	MATERIAIS	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	MATERIAIS	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	MATERIAIS	Atualizado
0360-1323	Building and Environment	A1	MATERIAIS	Atualizado
0008-6223	Carbon (New York)	A1	MATERIAIS	Atualizado
1538-4101	Cell Cycle (Georgetown, Tex.)	A1	MATERIAIS	Atualizado
0969-0239	Cellulose (London)	A1	MATERIAIS	Atualizado
0008-8846	Cement and Concrete Research	A1	MATERIAIS	Atualizado
0958-9465	Cement & Concrete Composites	A1	MATERIAIS	Atualizado
1867-3880	ChemCatChem	A1	MATERIAIS	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A1	MATERIAIS	Atualizado
0306-0012	Chemical Society Reviews (Print)	A1	MATERIAIS	Atualizado
0947-6539	Chemistry - A European Journal	A1	MATERIAIS	Atualizado
1861-4728	Chemistry - an Asian Journal (Print)	A1	MATERIAIS	Atualizado
0897-4756	Chemistry of Materials	A1	MATERIAIS	Atualizado
1521-3765	Chemistry (Weinheim. Internet)	A1	MATERIAIS	Atualizado
1864-5631	ChemSusChem (Weinheim. Print)	A1	MATERIAIS	Atualizado
0266-3538	Composites Science and Technology	A1	MATERIAIS	Atualizado
0010-938X	Corrosion Science	A1	MATERIAIS	Atualizado
1528-7483	Crystal Growth & Design	A1	MATERIAIS	Atualizado
0011-9164	Desalination (Amsterdam)	A1	MATERIAIS	Atualizado
1388-2481	Electrochemistry Communications	A1	MATERIAIS	Atualizado
1754-5692	Energy & Environmental Science (Print)	A1	MATERIAIS	Atualizado
0013-936X	Environmental Science & Technology	A1	MATERIAIS	Atualizado
0014-3057	European Polymer Journal	A1	MATERIAIS	Atualizado
1463-9262	Green Chemistry (Print)	A1	MATERIAIS	Atualizado
0741-3106	IEEE Electron Device Letters (Print)	A1	MATERIAIS	Atualizado
1077-260X	IEEE Journal of Selected Topics in Quantum Electronics	A1	MATERIAIS	Atualizado
0018-9383	IEEE Transactions on Electron Devices	A1	MATERIAIS	Atualizado
0020-1669	Inorganic Chemistry	A1	MATERIAIS	Atualizado
0360-3199	International Journal of Hydrogen Energy	A1	MATERIAIS	Atualizado
0890-6955	International Journal of Machine Tools & Manufacture	A1	MATERIAIS	Atualizado
0749-6419	International Journal of Plasticity	A1	MATERIAIS	Atualizado
0925-8388	Journal of Alloys and Compounds	A1	MATERIAIS	Atualizado
0021-8898	Journal of Applied Crystallography	A1	MATERIAIS	Atualizado
1083-351X	Journal of Biological Chemistry (Online)	A1	MATERIAIS	Atualizado
1550-7033	Journal of Biomedical Nanotechnology	A1	MATERIAIS	Atualizado
0021-9517	Journal of Catalysis (Print)	A1	MATERIAIS	Atualizado
0021-9673	Journal of Chromatography (Print)	A1	MATERIAIS	Atualizado
0095-1137	Journal of Clinical Microbiology (Print)	A1	MATERIAIS	Atualizado
0304-3894	Journal of Hazardous Materials (Print)	A1	MATERIAIS	Atualizado
0741-5400	Journal of Leukocyte Biology	A1	MATERIAIS	Atualizado
0959-9428	Journal of Materials Chemistry (Print)	A1	MATERIAIS	Atualizado
0022-2461	Journal of Materials Science	A1	MATERIAIS	Atualizado
1573-4803	Journal of Materials Science (Dordrecht. Online)	A1	MATERIAIS	Atualizado
0957-4530	Journal of Materials Science. Materials in Medicine	A1	MATERIAIS	Atualizado
0022-2623	Journal of Medicinal Chemistry	A1	MATERIAIS	Atualizado
1388-0764	Journal of Nanoparticle Research	A1	MATERIAIS	Atualizado
1572-896X	Journal of Nanoparticle Research (Online)	A1	MATERIAIS	Atualizado
0022-3263	Journal of Organic Chemistry	A1	MATERIAIS	Atualizado
1932-7447	Journal of Physical Chemistry. C	A1	MATERIAIS	Atualizado
1932-7455	Journal of Physical Chemistry. C. (Online)	A1	MATERIAIS	Atualizado
1948-7185	Journal of Physical Chemistry Letters	A1	MATERIAIS	Atualizado
0742-3098	Journal of Pineal Research	A1	MATERIAIS	Atualizado
0887-624X	Journal of Polymer Science. Part A, Polymer Chemistry	A1	MATERIAIS	Atualizado
0378-7753	Journal of Power Sources (Print)	A1	MATERIAIS	Atualizado
0002-7863	Journal of the American Chemical Society (Print)	A1	MATERIAIS	Atualizado
0955-2219	Journal of the European Ceramic Society	A1	MATERIAIS	Atualizado
1751-6161	Journal of the Mechanical Behavior of Biomedical Materials (Print)	A1	MATERIAIS	Atualizado
1473-0197	Lab on a Chip (Print)	A1	MATERIAIS	Atualizado
1520-5827	Langmuir	A1	MATERIAIS	Atualizado
0743-7463	Langmuir	A1	MATERIAIS	Atualizado
1612-2011	Laser Physics Letters (Print)	A1	MATERIAIS	Atualizado
1022-1336	Macromolecular Rapid Communications	A1	MATERIAIS	Atualizado
0024-9297	Macromolecules (Print)	A1	MATERIAIS	Atualizado
0921-5093	Materials Science & Engineering. A, Structural Materials: Properties, Microstructure and Processing	A1	MATERIAIS	Atualizado
1361-8415	Medical Image Analysis (Print)	A1	MATERIAIS	Atualizado
1613-4982	Microfluidics and Nanofluidics (Print)	A1	MATERIAIS	Atualizado
1387-1811	Microporous and Mesoporous Materials (Print)	A1	MATERIAIS	Atualizado
1530-6984	Nano Letters (Print)	A1	MATERIAIS	Atualizado
1549-9634	Nanomedicine	A1	MATERIAIS	Atualizado
2040-3364	Nanoscale (Print)	A1	MATERIAIS	Atualizado
1556-276X	Nanoscale Research Letters (Online)	A1	MATERIAIS	Atualizado
1931-7573	Nanoscale Research Letters (Print)	A1	MATERIAIS	Atualizado
0957-4484	Nanotechnology (Bristol. Print)	A1	MATERIAIS	Atualizado
2159-3930	Optical Materials Express	A1	MATERIAIS	Atualizado
1523-7060	Organic Letters (Print)	A1	MATERIAIS	Atualizado
1079-7114	Physical Review Letters	A1	MATERIAIS	Atualizado
0031-9007	Physical Review Letters (Print)	A1	MATERIAIS	Atualizado
1935-2735	PLoS Neglected Tropical Diseases (Online)	A1	MATERIAIS	Atualizado
0079-6700	Progress in Polymer Science	A1	MATERIAIS	Atualizado
1468-6996	Science and Technology of Advanced Materials	A1	MATERIAIS	Atualizado
1095-9203	Science (New York, N.Y.: Online)	A1	MATERIAIS	Atualizado
1947-2935	Science of Advanced Materials (Print)	A1	MATERIAIS	Atualizado
1359-6462	Scripta Materialia	A1	MATERIAIS	Atualizado
0925-4005	Sensors and Actuators. B, Chemical	A1	MATERIAIS	Atualizado
1613-6810	Small (Weinheim. Print)	A1	MATERIAIS	Atualizado
1744-683X	Soft Matter (Print)	A1	MATERIAIS	Atualizado
0038-092X	Solar Energy	A1	MATERIAIS	Atualizado
0927-0248	Solar Energy Materials and Solar Cells	A1	MATERIAIS	Atualizado
0257-8972	Surface & Coatings Technology	A1	MATERIAIS	Atualizado
1350-4177	Ultrasonics Sonochemistry	A1	MATERIAIS	Atualizado
0001-1541	AIChE Journal	A2	MATERIAIS	Atualizado
1618-2642	Analytical and Bioanalytical Chemistry (Print)	A2	MATERIAIS	Atualizado
0077-8923	Annals of the New York Academy of Sciences	A2	MATERIAIS	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	A2	MATERIAIS	Atualizado
0169-1317	Applied Clay Science (Print)	A2	MATERIAIS	Atualizado
0003-6951	Applied Physics Letters	A2	MATERIAIS	Atualizado
0169-4332	Applied Surface Science	A2	MATERIAIS	Atualizado
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A2	MATERIAIS	Atualizado
1570-9639	Biochimica et Biophysica Acta. Proteins and Proteomics	A2	MATERIAIS	Atualizado
0300-9084	Biochimie (Paris. Print)	A2	MATERIAIS	Atualizado
1559-4106	BIOINTERPHASES	A2	MATERIAIS	Atualizado
1431-6730	Biological Chemistry (Print)	A2	MATERIAIS	Atualizado
