ISSN	Título	Estrato	Área de Avaliação	Status
0001-4273	Academy of Management Journal	A1	MEDICINA I	Atualizado
1944-8244	ACS Applied Materials & Interfaces (Print)	A1	MEDICINA I	Atualizado
1742-7061	Acta Biomaterialia	A1	MEDICINA I	Atualizado
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A1	MEDICINA I	Atualizado
0001-690X	Acta Psychiatrica Scandinavica	A1	MEDICINA I	Atualizado
0965-2140	Addiction (Abingdon. Print)	A1	MEDICINA I	Atualizado
1355-6215	Addiction Biology (Print)	A1	MEDICINA I	Atualizado
0065-230X	Advances in Cancer Research	A1	MEDICINA I	Atualizado
0065-2660	Advances in Genetics	A1	MEDICINA I	Atualizado
0065-2776	Advances in Immunology (Print)	A1	MEDICINA I	Atualizado
0065-308X	Advances in Parasitology	A1	MEDICINA I	Atualizado
0269-9370	AIDS (London)	A1	MEDICINA I	Atualizado
0105-4538	Allergy (Copenhagen)	A1	MEDICINA I	Atualizado
1398-9995	Allergy (Online)	A1	MEDICINA I	Atualizado
1552-5260	Alzheimer's & Dementia	A1	MEDICINA I	Atualizado
0002-9165	American Journal of Clinical Nutrition	A1	MEDICINA I	Atualizado
0002-9262	American Journal of Epidemiology	A1	MEDICINA I	Atualizado
1545-7214	American Journal of Geriatric Psychiatry (Online)	A1	MEDICINA I	Atualizado
0361-8609	American Journal of Hematology (Print)	A1	MEDICINA I	Atualizado
0002-9297	American Journal of Human Genetics	A1	MEDICINA I	Atualizado
0272-6386	American Journal of Kidney Diseases	A1	MEDICINA I	Atualizado
1552-4841	American Journal of Medical Genetics. Part B, Neuropsychiatric Genetics	A1	MEDICINA I	Atualizado
0002-9394	American Journal of Ophthalmology	A1	MEDICINA I	Atualizado
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	MEDICINA I	Atualizado
0749-3797	American Journal of Preventive Medicine	A1	MEDICINA I	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	MEDICINA I	Atualizado
1044-1549	American Journal of Respiratory Cell and Molecular Biology	A1	MEDICINA I	Atualizado
1600-6135	American Journal of Transplantation (Print)	A1	MEDICINA I	Atualizado
0003-2654	Analyst (London. 1877. Print)	A1	MEDICINA I	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	MEDICINA I	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	MEDICINA I	Atualizado
0003-3022	Anesthesiology (Philadelphia)	A1	MEDICINA I	Atualizado
1433-7851	Angewandte Chemie (International ed. Print)	A1	MEDICINA I	Atualizado
0003-4819	Annals of Internal Medicine	A1	MEDICINA I	Atualizado
0364-5134	Annals of Neurology	A1	MEDICINA I	Atualizado
0923-7534	Annals of Oncology	A1	MEDICINA I	Atualizado
1468-2060	Annals of Rheumatic Diseases	A1	MEDICINA I	Atualizado
0003-4932	Annals of Surgery	A1	MEDICINA I	Atualizado
1068-9265	Annals of Surgical Oncology	A1	MEDICINA I	Atualizado
0003-4967	Annals of the Rheumatic Diseases	A1	MEDICINA I	Atualizado
0732-0582	Annual Review of Immunology (Print)	A1	MEDICINA I	Atualizado
0066-4219	Annual Review of Medicine (Print)	A1	MEDICINA I	Atualizado
1543-5008	Annual Review of Plant Biology (Print)	A1	MEDICINA I	Atualizado
1098-6596	Antimicrobial Agents and Chemotherapy (Online)	A1	MEDICINA I	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	MEDICINA I	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	MEDICINA I	Atualizado
0166-3542	Antiviral Research	A1	MEDICINA I	Atualizado
1360-8185	Apoptosis (London)	A1	MEDICINA I	Atualizado
0003-9926	Archives of Internal Medicine (1960)	A1	MEDICINA I	Atualizado
0003-9942	Archives of Neurology (Chicago)	A1	MEDICINA I	Atualizado
1072-4710	Archives of Pediatrics & Adolescent Medicine	A1	MEDICINA I	Atualizado
0004-0010	Archives of Surgery (Chicago. 1960)	A1	MEDICINA I	Atualizado
0340-5761	Archives of Toxicology	A1	MEDICINA I	Atualizado
1079-5642	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	MEDICINA I	Atualizado
1524-4636	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	MEDICINA I	Atualizado
0004-3591	Arthritis and Rheumatism	A1	MEDICINA I	Atualizado
2151-4658	Arthritis Care & Research (Online)	A1	MEDICINA I	Atualizado
2151-464X	Arthritis Care & Research (Print)	A1	MEDICINA I	Atualizado
1478-6362	Arthritis Research & Therapy (Online)	A1	MEDICINA I	Atualizado
1478-6354	Arthritis Research & Therapy (Print)	A1	MEDICINA I	Atualizado
1568-9972	Autoimmunity Reviews	A1	MEDICINA I	Atualizado
1554-8627	Autophagy (Georgetown, TX)	A1	MEDICINA I	Atualizado
1521-690X	Baillière's Best Practice & Research. Clinical Endocrinology & Metabolism	A1	MEDICINA I	Atualizado
0300-8428	Basic Research in Cardiology (Print)	A1	MEDICINA I	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	MEDICINA I	Atualizado
0006-2952	Biochemical Pharmacology	A1	MEDICINA I	Atualizado
1388-1981	Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids	A1	MEDICINA I	Atualizado
0006-3002	Biochimica et biophysica acta	A1	MEDICINA I	Atualizado
0005-2728	Biochimica et Biophysica Acta. Bioenergetics	A1	MEDICINA I	Atualizado
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A1	MEDICINA I	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	MEDICINA I	Atualizado
0925-4439	Biochimica et Biophysica Acta. Molecular Basis of Disease	A1	MEDICINA I	Atualizado
0167-4889	Biochimica et Biophysica Acta. Molecular Cell Research	A1	MEDICINA I	Atualizado
0167-4781	Biochimica et Biophysica Acta, N. Gene Structure and Expression	A1	MEDICINA I	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	MEDICINA I	Atualizado
0006-3223	Biological Psychiatry (1969)	A1	MEDICINA I	Atualizado
0006-3363	Biology of Reproduction	A1	MEDICINA I	Atualizado
0960-8524	Bioresource Technology	A1	MEDICINA I	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	MEDICINA I	Atualizado
0734-9750	Biotechnology Advances	A1	MEDICINA I	Atualizado
1754-6834	Biotechnology for Biofuels	A1	MEDICINA I	Atualizado
1695-3568	Bipolar Disorders (Ed. Española. Ed. Impresa)	A1	MEDICINA I	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	MEDICINA I	Atualizado
1528-0020	Blood (Philadelphia. Online)	A1	MEDICINA I	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	MEDICINA I	Atualizado
0268-960X	Blood Reviews	A1	MEDICINA I	Atualizado
1471-2164	BMC Genomics	A1	MEDICINA I	Atualizado
1741-7015	BMC Medicine	A1	MEDICINA I	Atualizado
0959-535X	BMJ. British Medical Journal	A1	MEDICINA I	Atualizado
0959-8138	BMJ. British Medical Journal (Clinical Research Ed.)	A1	MEDICINA I	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	MEDICINA I	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	MEDICINA I	Atualizado
0006-8950	Brain (London. Print)	A1	MEDICINA I	Atualizado
1015-6305	Brain Pathology	A1	MEDICINA I	Atualizado
0165-0173	Brain Research Reviews	A1	MEDICINA I	Atualizado
1863-2653	Brain Structure & Function (Print)	A1	MEDICINA I	Atualizado
0167-6806	Breast Cancer Research and Treatment	A1	MEDICINA I	Atualizado
1465-542X	Breast Cancer Research (Online)	A1	MEDICINA I	Atualizado
1465-5411	Breast Cancer Research (Print)	A1	MEDICINA I	Atualizado
0007-0912	British Journal of Anaesthesia	A1	MEDICINA I	Atualizado
0007-0920	British Journal of Cancer	A1	MEDICINA I	Atualizado
0007-1048	British Journal of Haematology (Print)	A1	MEDICINA I	Atualizado
0007-1188	British Journal of Pharmacology	A1	MEDICINA I	Atualizado
0007-1250	British Journal of Psychiatry (Print)	A1	MEDICINA I	Atualizado
0306-3674	British Journal of Sports Medicine	A1	MEDICINA I	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	MEDICINA I	Atualizado
1097-0142	CANCER	A1	MEDICINA I	Atualizado
1535-6108	Cancer Cell	A1	MEDICINA I	Atualizado
1055-9965	Cancer Epidemiology, Biomarkers & Prevention	A1	MEDICINA I	Atualizado
0304-3835	Cancer Letters (Print)	A1	MEDICINA I	Atualizado
0167-7659	Cancer Metastasis Reviews (Print)	A1	MEDICINA I	Atualizado
1940-6207	Cancer Prevention Research (Philadelphia)	A1	MEDICINA I	Atualizado
0008-543X	Cancer (Print)	A1	MEDICINA I	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	MEDICINA I	Atualizado
0305-7372	Cancer Treatment Reviews	A1	MEDICINA I	Atualizado
0008-6223	Carbon (New York)	A1	MEDICINA I	Atualizado
1460-2180	Carcinogenesis (New York. Online)	A1	MEDICINA I	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	MEDICINA I	Atualizado
