ISSN	Título	Estrato	Área de Avaliação	Status
0269-9370	AIDS (London)	A1	MEDICINA III	Atualizado
0105-4538	Allergy (Copenhagen)	A1	MEDICINA III	Atualizado
0002-9262	American Journal of Epidemiology	A1	MEDICINA III	Atualizado
0361-8609	American Journal of Hematology (Print)	A1	MEDICINA III	Atualizado
0002-9297	American Journal of Human Genetics	A1	MEDICINA III	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	MEDICINA III	Atualizado
0363-5465	American Journal of Sports Medicine	A1	MEDICINA III	Atualizado
1600-6135	American Journal of Transplantation (Print)	A1	MEDICINA III	Atualizado
0003-3022	Anesthesiology (Philadelphia)	A1	MEDICINA III	Atualizado
0923-7534	Annals of Oncology	A1	MEDICINA III	Atualizado
0003-4932	Annals of Surgery	A1	MEDICINA III	Atualizado
1068-9265	Annals of Surgical Oncology	A1	MEDICINA III	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	MEDICINA III	Atualizado
0004-0010	Archives of Surgery (Chicago. 1960)	A1	MEDICINA III	Atualizado
0004-3591	Arthritis and Rheumatism	A1	MEDICINA III	Atualizado
1568-9972	Autoimmunity Reviews	A1	MEDICINA III	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	MEDICINA III	Atualizado
0951-6433	BioFactors (Oxford)	A1	MEDICINA III	Atualizado
0959-535X	BMJ. British Medical Journal	A1	MEDICINA III	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	MEDICINA III	Atualizado
0006-8950	Brain (London. Print)	A1	MEDICINA III	Atualizado
0167-6806	Breast Cancer Research and Treatment	A1	MEDICINA III	Atualizado
0007-0912	British Journal of Anaesthesia	A1	MEDICINA III	Atualizado
0007-0963	British Journal of Dermatology (1951. Print)	A1	MEDICINA III	Atualizado
0007-1188	British Journal of Pharmacology	A1	MEDICINA III	Atualizado
0306-3674	British Journal of Sports Medicine	A1	MEDICINA III	Atualizado
1365-2168	British Journal of Surgery	A1	MEDICINA III	Atualizado
0007-1323	British Journal of Surgery (Print)	A1	MEDICINA III	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	MEDICINA III	Atualizado
1055-9965	Cancer Epidemiology, Biomarkers & Prevention	A1	MEDICINA III	Atualizado
0304-3835	Cancer Letters (Print)	A1	MEDICINA III	Atualizado
0008-543X	Cancer (Print)	A1	MEDICINA III	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	MEDICINA III	Atualizado
0008-6223	Carbon (New York)	A1	MEDICINA III	Atualizado
1460-2180	Carcinogenesis (New York. Online)	A1	MEDICINA III	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	MEDICINA III	Atualizado
0008-6363	Cardiovascular Research	A1	MEDICINA III	Atualizado
0012-3692	Chest (American College of Chest Physicians)	A1	MEDICINA III	Atualizado
0742-0528	Chronobiology International	A1	MEDICINA III	Atualizado
0009-7322	Circulation (New York, N.Y.)	A1	MEDICINA III	Atualizado
0954-7894	Clinical and Experimental Allergy (Print)	A1	MEDICINA III	Atualizado
1078-0432	Clinical Cancer Research (Print)	A1	MEDICINA III	Atualizado
0009-9147	Clinical Chemistry (Baltimore, Md.)	A1	MEDICINA III	Atualizado
1521-6616	Clinical Immunology (Orlando, Fla. Print)	A1	MEDICINA III	Atualizado
1058-4838	Clinical Infectious Diseases	A1	MEDICINA III	Atualizado
1555-9041	Clinical Journal of the American Society of Nephrology	A1	MEDICINA III	Atualizado
1555-905X	Clinical Journal of the American Society of Nephrology (Online)	A1	MEDICINA III	Atualizado
1198-743X	Clinical Microbiology and Infection (Print)	A1	MEDICINA III	Atualizado
0312-5963	Clinical Pharmacokinetics	A1	MEDICINA III	Atualizado
0143-5221	Clinical Science (1979)	A1	MEDICINA III	Atualizado
1469-493X	Cochrane Database of Systematic Reviews (Online)	A1	MEDICINA III	Atualizado
1464-780X	Cochrane Library (CD-ROM)	A1	MEDICINA III	Atualizado
1465-1858	Cochrane Library (Online)	A1	MEDICINA III	Atualizado
1466-609X	Critical Care (London. Online)	A1	MEDICINA III	Atualizado
1364-8535	Critical Care (London. Print)	A1	MEDICINA III	Atualizado
0090-3493	Critical Care Medicine	A1	MEDICINA III	Atualizado
1363-1950	Current Opinion in Clinical Nutrition and Metabolic Care	A1	MEDICINA III	Atualizado
0950-1991	Development (Cambridge)	A1	MEDICINA III	Atualizado
0149-5992	Diabetes Care	A1	MEDICINA III	Atualizado
0012-1797	Diabetes (New York, N.Y.)	A1	MEDICINA III	Atualizado
1351-0088	Endocrine-Related Cancer	A1	MEDICINA III	Atualizado
0013-726X	Endoscopy (Stuttgart)	A1	MEDICINA III	Atualizado
0091-6765	Environmental Health Perspectives	A1	MEDICINA III	Atualizado
0160-4120	Environment International	A1	MEDICINA III	Atualizado
1559-2294	Epigenetics (Austin)	A1	MEDICINA III	Atualizado
0195-668X	European Heart Journal	A1	MEDICINA III	Atualizado
0959-8049	European Journal of Cancer	A1	MEDICINA III	Atualizado
0393-2990	European Journal of Epidemiology	A1	MEDICINA III	Atualizado
1388-9842	European Journal of Heart Failure	A1	MEDICINA III	Atualizado
0014-2980	European Journal of Immunology	A1	MEDICINA III	Atualizado
1619-7070	European Journal of Nuclear Medicine and Molecular Imaging (Print)	A1	MEDICINA III	Atualizado
1090-3801	European Journal of Pain (London, England)	A1	MEDICINA III	Atualizado
0939-6411	European Journal of Pharmaceutics and Biopharmaceutics	A1	MEDICINA III	Atualizado
0302-2838	European Urology	A1	MEDICINA III	Atualizado
1741-4288	Evidence-Based Complementary and Alternative Medicine (Online)	A1	MEDICINA III	Atualizado
1741-427X	Evidence-Based Complementary and Alternative Medicine (Print)	A1	MEDICINA III	Atualizado
0014-4886	Experimental Neurology	A1	MEDICINA III	Atualizado
1742-5247	Expert Opinion on Drug Delivery (Print)	A1	MEDICINA III	Atualizado
1354-3784	Expert Opinion on Investigational Drugs	A1	MEDICINA III	Atualizado
0891-5849	Free Radical Biology & Medicine	A1	MEDICINA III	Atualizado
0016-5085	Gastroenterology (New York, N.Y. 1943)	A1	MEDICINA III	Atualizado
0016-5107	Gastrointestinal Endoscopy (Print)	A1	MEDICINA III	Atualizado
1050-9631	Hippocampus (New York, N.Y. Print)	A1	MEDICINA III	Atualizado
0964-6906	Human Molecular Genetics (Print)	A1	MEDICINA III	Atualizado
0268-1161	Human Reproduction (Oxford. Print)	A1	MEDICINA III	Atualizado
1355-4786	Human Reproduction Update (Print)	A1	MEDICINA III	Atualizado
0194-911X	Hypertension (Dallas, Tex. 1979)	A1	MEDICINA III	Atualizado
0899-823X	Infection Control and Hospital Epidemiology	A1	MEDICINA III	Atualizado
1078-0998	Inflammatory Bowel Diseases	A1	MEDICINA III	Atualizado
0342-4642	Intensive Care Medicine (Print)	A1	MEDICINA III	Atualizado
0924-8579	International Journal of Antimicrobial Agents (Print)	A1	MEDICINA III	Atualizado
0020-7136	International Journal of Cancer (Print)	A1	MEDICINA III	Atualizado
0167-5273	International Journal of Cardiology (Print)	A1	MEDICINA III	Atualizado
0300-5771	International Journal of Epidemiology	A1	MEDICINA III	Atualizado
1438-4221	International Journal of Medical Microbiology (Print)	A1	MEDICINA III	Atualizado
0307-0565	International Journal of Obesity	A1	MEDICINA III	Atualizado
0360-3016	International Journal of Radiation Oncology, Biology, Physics	A1	MEDICINA III	Atualizado
0098-7484	JAMA (Chicago, Ill.)	A1	MEDICINA III	Atualizado
1525-4135	Journal of Acquired Immune Deficiency Syndromes (1999)	A1	MEDICINA III	Atualizado
0305-7453	Journal of Antimicrobial Chemotherapy (Print)	A1	MEDICINA III	Atualizado
1083-351X	Journal of Biological Chemistry (Online)	A1	MEDICINA III	Atualizado
0895-4356	Journal of Clinical Epidemiology	A1	MEDICINA III	Atualizado
0095-1137	Journal of Clinical Microbiology (Print)	A1	MEDICINA III	Atualizado
