ISSN	Título	Estrato	Área de Avaliação	Status
0065-308X	Advances in Parasitology	A1	MEDICINA VETERINÁRIA	Atualizado
1474-9718	Aging Cell (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0269-9370	AIDS (London)	A1	MEDICINA VETERINÁRIA	Atualizado
0363-6143	American Journal of Physiology. Cell Physiology	A1	MEDICINA VETERINÁRIA	Atualizado
0363-6119	American Journal of Physiology. Regulatory, Integrative and Comparative Physiology	A1	MEDICINA VETERINÁRIA	Atualizado
1618-2650	Analytical and Bioanalytical Chemistry (Online)	A1	MEDICINA VETERINÁRIA	Atualizado
0003-3022	Anesthesiology (Philadelphia)	A1	MEDICINA VETERINÁRIA	Atualizado
0969-6970	Angiogenesis (London)	A1	MEDICINA VETERINÁRIA	Atualizado
0003-3472	Animal Behaviour	A1	MEDICINA VETERINÁRIA	Atualizado
0077-8923	Annals of the New York Academy of Sciences	A1	MEDICINA VETERINÁRIA	Atualizado
1081-0706	Annual Review of Cell and Developmental Biology	A1	MEDICINA VETERINÁRIA	Atualizado
1098-6596	Antimicrobial Agents and Chemotherapy (Online)	A1	MEDICINA VETERINÁRIA	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0166-3542	Antiviral Research	A1	MEDICINA VETERINÁRIA	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0175-7598	Applied Microbiology and Biotechnology	A1	MEDICINA VETERINÁRIA	Atualizado
0340-5761	Archives of Toxicology	A1	MEDICINA VETERINÁRIA	Atualizado
1432-0738	Archives of Toxicology (Internet)	A1	MEDICINA VETERINÁRIA	Atualizado
0340-5443	Behavioral Ecology and Sociobiology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0166-4328	Behavioural Brain Research	A1	MEDICINA VETERINÁRIA	Atualizado
0006-2952	Biochemical Pharmacology	A1	MEDICINA VETERINÁRIA	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1570-9639	Biochimica et Biophysica Acta. Proteins and Proteomics	A1	MEDICINA VETERINÁRIA	Atualizado
1389-5729	Biogerontology (Dordrecht)	A1	MEDICINA VETERINÁRIA	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0006-3207	Biological Conservation	A1	MEDICINA VETERINÁRIA	Atualizado
1744-9561	Biology Letters (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0006-3363	Biology of Reproduction	A1	MEDICINA VETERINÁRIA	Atualizado
1529-7268	Biology of Reproduction (Online)	A1	MEDICINA VETERINÁRIA	Atualizado
0142-9612	Biomaterials (Guildford)	A1	MEDICINA VETERINÁRIA	Atualizado
0960-8524	Bioresource Technology	A1	MEDICINA VETERINÁRIA	Atualizado
1471-2148	BMC Evolutionary Biology (Online)	A1	MEDICINA VETERINÁRIA	Atualizado
1471-2164	BMC Genomics	A1	MEDICINA VETERINÁRIA	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	MEDICINA VETERINÁRIA	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	MEDICINA VETERINÁRIA	Atualizado
1015-6305	Brain Pathology	A1	MEDICINA VETERINÁRIA	Atualizado
0167-6806	Breast Cancer Research and Treatment	A1	MEDICINA VETERINÁRIA	Atualizado
1573-7217	Breast Cancer Research and Treatment	A1	MEDICINA VETERINÁRIA	Atualizado
0007-0912	British Journal of Anaesthesia	A1	MEDICINA VETERINÁRIA	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	MEDICINA VETERINÁRIA	Atualizado
1347-9032	Cancer Science	A1	MEDICINA VETERINÁRIA	Atualizado
0144-8617	Carbohydrate Polymers	A1	MEDICINA VETERINÁRIA	Atualizado
0092-8674	Cell (Cambridge)	A1	MEDICINA VETERINÁRIA	Atualizado
1931-3128	Cell Host & Microbe	A1	MEDICINA VETERINÁRIA	Atualizado
1432-0878	Cell & Tissue Research (Internet)	A1	MEDICINA VETERINÁRIA	Atualizado
1462-5814	Cellular Microbiology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	MEDICINA VETERINÁRIA	Atualizado
1521-6616	Clinical Immunology (Orlando, Fla. Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1058-4838	Clinical Infectious Diseases	A1	MEDICINA VETERINÁRIA	Atualizado
1198-743X	Clinical Microbiology and Infection (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1541-4337	Comprehensive Reviews in Food Science and Food Safety	A1	MEDICINA VETERINÁRIA	Atualizado
0010-4655	Computer Physics Communications	A1	MEDICINA VETERINÁRIA	Atualizado
1752-296X	Current Opinion in Endocrinology, Diabetes and Obesity (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0959-4388	Current Opinion in Neurobiology	A1	MEDICINA VETERINÁRIA	Atualizado
1381-6128	Current Pharmaceutical Design (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0012-186X	Diabetologia (Berlin)	A1	MEDICINA VETERINÁRIA	Atualizado
1080-6059	Emerging Infectious Diseases (Online)	A1	MEDICINA VETERINÁRIA	Atualizado
1080-6040	Emerging Infectious Diseases (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0013-7227	Endocrinology (Philadelphia)	A1	MEDICINA VETERINÁRIA	Atualizado
1758-2229	Environmental Microbiology Reports	A1	MEDICINA VETERINÁRIA	Atualizado
1559-2294	Epigenetics (Austin)	A1	MEDICINA VETERINÁRIA	Atualizado
1388-9842	European Journal of Heart Failure	A1	MEDICINA VETERINÁRIA	Atualizado
0928-0987	European Journal of Pharmaceutical Sciences	A1	MEDICINA VETERINÁRIA	Atualizado
1741-4288	Evidence-Based Complementary and Alternative Medicine (Online)	A1	MEDICINA VETERINÁRIA	Atualizado
1741-427X	Evidence-Based Complementary and Alternative Medicine (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1060-1538	Evolutionary Anthropology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0014-4827	Experimental Cell Research	A1	MEDICINA VETERINÁRIA	Atualizado
0014-4886	Experimental Neurology	A1	MEDICINA VETERINÁRIA	Atualizado
0958-0670	Experimental Physiology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1354-3784	Expert Opinion on Investigational Drugs	A1	MEDICINA VETERINÁRIA	Atualizado
1354-3776	Expert Opinion on Therapeutic Patents	A1	MEDICINA VETERINÁRIA	Atualizado
1476-0584	Expert Review of Vaccines	A1	MEDICINA VETERINÁRIA	Atualizado
0014-5793	FEBS Letters (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0168-6496	FEMS Microbiology, Ecology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0015-0282	Fertility and Sterility	A1	MEDICINA VETERINÁRIA	Atualizado
1050-4648	Fish & Shellfish Immunology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1935-5130	Food and Bioprocess Technology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0308-8146	Food Chemistry	A1	MEDICINA VETERINÁRIA	Atualizado
0740-0020	Food Microbiology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0963-9969	Food Research International	A1	MEDICINA VETERINÁRIA	Atualizado
0891-5849	Free Radical Biology & Medicine	A1	MEDICINA VETERINÁRIA	Atualizado
1945-0494	Frontiers in Bioscience (Elite Edition)	A1	MEDICINA VETERINÁRIA	Atualizado
1087-1845	Fungal Genetics and Biology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0016-6480	General and Comparative Endocrinology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1474-7596	Genome Biology (Print): Biology for the Post-Genomic Era	A1	MEDICINA VETERINÁRIA	Atualizado
1088-9051	Genome Research	A1	MEDICINA VETERINÁRIA	Atualizado
0390-6078	Haematologica (Roma)	A1	MEDICINA VETERINÁRIA	Atualizado
0018-067X	Heredity (Edinburgh. Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0964-6906	Human Molecular Genetics (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0268-1161	Human Reproduction (Oxford. Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1554-8600	Human Vaccines	A1	MEDICINA VETERINÁRIA	Atualizado
0194-911X	Hypertension (Dallas, Tex. 1979)	A1	MEDICINA VETERINÁRIA	Atualizado
0171-2985	Immunobiology (Jena. 1979)	A1	MEDICINA VETERINÁRIA	Atualizado
1365-2567	Immunology	A1	MEDICINA VETERINÁRIA	Atualizado
0019-2805	Immunology (Oxford. Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0019-9567	Infection and Immunity (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1750-2640	Influenza and Other Respiratory Viruses (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
1753-4259	Innate Immunity (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0965-1748	Insect Biochemistry and Molecular Biology	A1	MEDICINA VETERINÁRIA	Atualizado
0953-8178	International Immunology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0020-7519	International Journal for Parasitology	A1	MEDICINA VETERINÁRIA	Atualizado
0924-8579	International Journal of Antimicrobial Agents (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0020-7136	International Journal of Cancer (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0167-5273	International Journal of Cardiology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0168-1605	International Journal of Food Microbiology	A1	MEDICINA VETERINÁRIA	Atualizado
0378-5173	International Journal of Pharmaceutics (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0146-0404	Investigative Ophthalmology & Visual Science	A1	MEDICINA VETERINÁRIA	Atualizado
0091-6749	Journal of Allergy and Clinical Immunology	A1	MEDICINA VETERINÁRIA	Atualizado
0021-8790	Journal of Animal Ecology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0305-7453	Journal of Antimicrobial Chemotherapy (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
0021-9193	Journal of Bacteriology (Print)	A1	MEDICINA VETERINÁRIA	Atualizado
