ISSN	Título	Estrato	Área de Avaliação	Status
0269-9370	AIDS (London)	A1	NUTRIÇÃO	Atualizado
0145-6008	Alcoholism, Clinical and Experimental Research	A1	NUTRIÇÃO	Atualizado
0002-9165	American Journal of Clinical Nutrition	A1	NUTRIÇÃO	Atualizado
0002-9262	American Journal of Epidemiology	A1	NUTRIÇÃO	Atualizado
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	NUTRIÇÃO	Atualizado
0363-6119	American Journal of Physiology. Regulatory, Integrative and Comparative Physiology	A1	NUTRIÇÃO	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	NUTRIÇÃO	Atualizado
0003-4819	Annals of Internal Medicine	A1	NUTRIÇÃO	Atualizado
0923-7534	Annals of Oncology	A1	NUTRIÇÃO	Atualizado
0077-8923	Annals of the New York Academy of Sciences	A1	NUTRIÇÃO	Atualizado
0021-9150	Atherosclerosis (Amsterdam)	A1	NUTRIÇÃO	Atualizado
0166-4328	Behavioural Brain Research	A1	NUTRIÇÃO	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	NUTRIÇÃO	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	NUTRIÇÃO	Atualizado
0007-1145	British Journal of Nutrition	A1	NUTRIÇÃO	Atualizado
0007-1188	British Journal of Pharmacology	A1	NUTRIÇÃO	Atualizado
0306-3674	British Journal of Sports Medicine	A1	NUTRIÇÃO	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	NUTRIÇÃO	Atualizado
0144-8617	Carbohydrate Polymers	A1	NUTRIÇÃO	Atualizado
0742-0528	Chronobiology International	A1	NUTRIÇÃO	Atualizado
0954-7894	Clinical and Experimental Allergy (Print)	A1	NUTRIÇÃO	Atualizado
0009-9104	Clinical and Experimental Immunology (Print)	A1	NUTRIÇÃO	Atualizado
1078-0432	Clinical Cancer Research (Print)	A1	NUTRIÇÃO	Atualizado
0261-5614	Clinical Nutrition (Edinburgh)	A1	NUTRIÇÃO	Atualizado
1469-493X	Cochrane Database of Systematic Reviews (Online)	A1	NUTRIÇÃO	Atualizado
0149-5992	Diabetes Care	A1	NUTRIÇÃO	Atualizado
0012-1797	Diabetes (New York, N.Y.)	A1	NUTRIÇÃO	Atualizado
0013-7227	Endocrinology (Philadelphia)	A1	NUTRIÇÃO	Atualizado
1044-3983	Epidemiology (Cambridge, Mass., Print)	A1	NUTRIÇÃO	Atualizado
0531-5565	Experimental Gerontology	A1	NUTRIÇÃO	Atualizado
0014-4886	Experimental Neurology	A1	NUTRIÇÃO	Atualizado
0308-8146	Food Chemistry	A1	NUTRIÇÃO	Atualizado
0268-005X	Food Hydrocolloids	A1	NUTRIÇÃO	Atualizado
0740-0020	Food Microbiology (Print)	A1	NUTRIÇÃO	Atualizado
0963-9969	Food Research International	A1	NUTRIÇÃO	Atualizado
0748-5514	Free Radicals in Biology & Medicine	A1	NUTRIÇÃO	Atualizado
0016-5085	Gastroenterology (New York, N.Y. 1943)	A1	NUTRIÇÃO	Atualizado
1078-0998	Inflammatory Bowel Diseases	A1	NUTRIÇÃO	Atualizado
0167-5273	International Journal of Cardiology (Print)	A1	NUTRIÇÃO	Atualizado
0300-5771	International Journal of Epidemiology	A1	NUTRIÇÃO	Atualizado
0168-1605	International Journal of Food Microbiology	A1	NUTRIÇÃO	Atualizado
0307-0565	International Journal of Obesity	A1	NUTRIÇÃO	Atualizado
1470-2738	JECH Online	A1	NUTRIÇÃO	Atualizado
1054-139X	Journal of Adolescent Health	A1	NUTRIÇÃO	Atualizado
0021-8561	Journal of Agricultural and Food Chemistry	A1	NUTRIÇÃO	Atualizado
8750-7587	Journal of Applied Physiology (1985)	A1	NUTRIÇÃO	Atualizado
0021-9541	Journal of Cellular Physiology (Print)	A1	NUTRIÇÃO	Atualizado
0021-9673	Journal of Chromatography (Print)	A1	NUTRIÇÃO	Atualizado
0022-0795	Journal of Endocrinology	A1	NUTRIÇÃO	Atualizado
0022-2836	Journal of Molecular Biology	A1	NUTRIÇÃO	Atualizado
0955-2863	Journal of Nutritional Biochemistry	A1	NUTRIÇÃO	Atualizado
0002-8223	Journal of the American Dietetic Association	A1	NUTRIÇÃO	Atualizado
0002-8614	Journal of the American Geriatrics Society	A1	NUTRIÇÃO	Atualizado
0024-3205	Life Sciences (1973)	A1	NUTRIÇÃO	Atualizado
0195-9131	Medicine and Science in Sports and Exercise	A1	NUTRIÇÃO	Atualizado
1072-3714	Menopause (New York, N.Y.)	A1	NUTRIÇÃO	Atualizado
1756-5901	Metallomics (Print)	A1	NUTRIÇÃO	Atualizado
0303-7207	Molecular and Cellular Endocrinology (Print)	A1	NUTRIÇÃO	Atualizado
1535-9476	Molecular & Cellular Proteomics	A1	NUTRIÇÃO	Atualizado
1460-2385	Nephrology Dialysis Transplantation (Online)	A1	NUTRIÇÃO	Atualizado
0931-0509	Nephrology, Dialysis, Transplantation (Print)	A1	NUTRIÇÃO	Atualizado
0028-3908	Neuropharmacology	A1	NUTRIÇÃO	Atualizado
0306-4522	Neuroscience	A1	NUTRIÇÃO	Atualizado
