ISSN	Título	Estrato	Área de Avaliação	Status
0001-4273	Academy of Management Journal	A1	ODONTOLOGIA	Atualizado
1742-7061	Acta Biomaterialia	A1	ODONTOLOGIA	Atualizado
0001-5555	Acta Dermato-Venereologica	A1	ODONTOLOGIA	Atualizado
1359-6454	Acta Materialia (Oxford)	A1	ODONTOLOGIA	Atualizado
0269-2813	Alimentary Pharmacology & Therapeutics	A1	ODONTOLOGIA	Atualizado
1552-5260	Alzheimer's & Dementia	A1	ODONTOLOGIA	Atualizado
0002-9297	American Journal of Human Genetics	A1	ODONTOLOGIA	Atualizado
0889-5406	American Journal of Orthodontics and Dentofacial Orthopedics	A1	ODONTOLOGIA	Atualizado
1097-6752	American Journal of Orthodontics and Dentofacial Orthopedics (Online)	A1	ODONTOLOGIA	Atualizado
0193-1849	American Journal of Physiology: Endocrinology and Metabolism	A1	ODONTOLOGIA	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	ODONTOLOGIA	Atualizado
1600-6135	American Journal of Transplantation (Print)	A1	ODONTOLOGIA	Atualizado
0003-2697	Analytical Biochemistry (Print)	A1	ODONTOLOGIA	Atualizado
0003-2999	Anesthesia and Analgesia	A1	ODONTOLOGIA	Atualizado
0003-4819	Annals of Internal Medicine	A1	ODONTOLOGIA	Atualizado
0003-4932	Annals of Surgery	A1	ODONTOLOGIA	Atualizado
0360-0572	Annual Review of Sociology (Print)	A1	ODONTOLOGIA	Atualizado
1098-6596	Antimicrobial Agents and Chemotherapy (Online)	A1	ODONTOLOGIA	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	ODONTOLOGIA	Atualizado
0166-3542	Antiviral Research	A1	ODONTOLOGIA	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	ODONTOLOGIA	Atualizado
0003-6951	Applied Physics Letters	A1	ODONTOLOGIA	Atualizado
0340-5761	Archives of Toxicology	A1	ODONTOLOGIA	Atualizado
0004-3591	Arthritis and Rheumatism	A1	ODONTOLOGIA	Atualizado
0021-9150	Atherosclerosis (Amsterdam)	A1	ODONTOLOGIA	Atualizado
0166-4328	Behavioural Brain Research	A1	ODONTOLOGIA	Atualizado
0006-2952	Biochemical Pharmacology	A1	ODONTOLOGIA	Atualizado
0005-2728	Biochimica et Biophysica Acta. Bioenergetics	A1	ODONTOLOGIA	Atualizado
0167-4889	Biochimica et Biophysica Acta. Molecular Cell Research	A1	ODONTOLOGIA	Atualizado
0892-7014	Biofouling (New York. Print)	A1	ODONTOLOGIA	Atualizado
1389-5729	Biogerontology (Dordrecht)	A1	ODONTOLOGIA	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	ODONTOLOGIA	Atualizado
0142-9612	Biomaterials (Guildford)	A1	ODONTOLOGIA	Atualizado
0960-8524	Bioresource Technology	A1	ODONTOLOGIA	Atualizado
0006-3592	Biotechnology and Bioengineering (Print)	A1	ODONTOLOGIA	Atualizado
1471-2164	BMC Genomics	A1	ODONTOLOGIA	Atualizado
1755-8794	BMC Medical Genomics	A1	ODONTOLOGIA	Atualizado
1752-0509	BMC Systems Biology	A1	ODONTOLOGIA	Atualizado
0959-535X	BMJ. British Medical Journal	A1	ODONTOLOGIA	Atualizado
0268-3369	Bone Marrow Transplantation (Basingstoke)	A1	ODONTOLOGIA	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	ODONTOLOGIA	Atualizado
0007-0920	British Journal of Cancer	A1	ODONTOLOGIA	Atualizado
0007-0963	British Journal of Dermatology (1951. Print)	A1	ODONTOLOGIA	Atualizado
0007-1188	British Journal of Pharmacology	A1	ODONTOLOGIA	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	ODONTOLOGIA	Atualizado
1535-6108	Cancer Cell	A1	ODONTOLOGIA	Atualizado
0340-7004	Cancer Immunology and Immunotherapy	A1	ODONTOLOGIA	Atualizado
0008-543X	Cancer (Print)	A1	ODONTOLOGIA	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	ODONTOLOGIA	Atualizado
0144-8617	Carbohydrate Polymers	A1	ODONTOLOGIA	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	ODONTOLOGIA	Atualizado
0008-6568	Caries Research	A1	ODONTOLOGIA	Atualizado
1421-976X	Caries Research (Online)	A1	ODONTOLOGIA	Atualizado
0092-8674	Cell (Cambridge)	A1	ODONTOLOGIA	Atualizado
0333-1024	Cephalalgia (Oslo)	A1	ODONTOLOGIA	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	ODONTOLOGIA	Atualizado
1752-153X	Chemistry Central Journal	A1	ODONTOLOGIA	Atualizado
0009-9147	Clinical Chemistry (Baltimore, Md.)	A1	ODONTOLOGIA	Atualizado
1058-4838	Clinical Infectious Diseases	A1	ODONTOLOGIA	Atualizado
1469-0691	Clinical Microbiology and Infection	A1	ODONTOLOGIA	Atualizado
1198-743X	Clinical Microbiology and Infection (Print)	A1	ODONTOLOGIA	Atualizado
1469-493X	Cochrane Database of Systematic Reviews (Online)	A1	ODONTOLOGIA	Atualizado
0927-7765	Colloids and Surfaces. B, Biointerfaces (Print)	A1	ODONTOLOGIA	Atualizado
0301-5661	Community Dentistry and Oral Epidemiology	A1	ODONTOLOGIA	Atualizado
0090-3493	Critical Care Medicine	A1	ODONTOLOGIA	Atualizado
1528-7483	Crystal Growth & Design	A1	ODONTOLOGIA	Atualizado
1466-8033	CrystEngComm (Cambridge. Online)	A1	ODONTOLOGIA	Atualizado
1389-2002	Current Drug Metabolism	A1	ODONTOLOGIA	Atualizado
1381-6128	Current Pharmaceutical Design (Print)	A1	ODONTOLOGIA	Atualizado
0070-217X	Current Topics in Microbiology and Immunology	A1	ODONTOLOGIA	Atualizado
1359-6101	Cytokine & Growth Factor Reviews	A1	ODONTOLOGIA	Atualizado
0109-5641	Dental Materials	A1	ODONTOLOGIA	Atualizado
0250-832X	Dento-Maxillo-Facial Radiology	A1	ODONTOLOGIA	Atualizado
1476-542X	Dentomaxillofacial Radiology (Online)	A1	ODONTOLOGIA	Atualizado
0012-1606	Developmental Biology (Print)	A1	ODONTOLOGIA	Atualizado
0950-1991	Development (Cambridge)	A1	ODONTOLOGIA	Atualizado
0149-5992	Diabetes Care	A1	ODONTOLOGIA	Atualizado
0013-9351	Environmental Research (New York, N.Y. Print)	A1	ODONTOLOGIA	Atualizado
1535-9778	Eukaryotic Cell	A1	ODONTOLOGIA	Atualizado
0959-8049	European Journal of Cancer	A1	ODONTOLOGIA	Atualizado
