ISSN	Título	Estrato	Área de Avaliação	Status
1679-9275	Acta Scientiarum. Agronomy (Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0002-9262	American Journal of Epidemiology	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0196-6553	American Journal of Infection Control	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0103-9954	Ciência Florestal (UFSM. Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0103-8478	Ciência Rural (UFSM. Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0264-2751	Cities	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1535-6841	City & Community	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1405-1435	Convergencía (Toluca)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1435-9871	Demographic Research	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1470-160X	Ecological Indicators	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1708-3087	Ecology and Society: a journal of integrative science for resilience and sustainability	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0973-0826	Energy Sustainable Development	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1866-6280	Environmental Earth Sciences (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0013-9165	Environment and Behavior	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0250-7161	EURE (Santiago. Impresa)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0016-7169	Geofísica Internacional	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0921-8181	Global and Planetary Change (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0959-3780	Global Environmental Change	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0197-3975	Habitat International	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1353-8292	Health and Place	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0267-3037	Housing Studies (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0300-7839	Human Ecology (New York, N.Y.)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0378-1844	Interciencia (Caracas)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0925-5273	International Journal of Production Economics	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0143-1161	International Journal of Remote Sensing (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0192-5121	International Political Science Review	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0898-2643	Journal of Aging and Health	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0890-4065	Journal of Aging Studies	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1612-9830	Journal of Agriculture and Rural Development in the Tropics and Subtropics (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0749-0208	Journal of Coastal Research	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0143-005X	Journal of Epidemiology and Community Health (1979)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1566-4910	Journal of Housing and the Built Environment	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1758-2652	Journal of the International AIDS Society	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1099-3460	Journal of Urban Health	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0733-9488	Journal of Urban Planning and Development	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0264-8377	Land Use Policy	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1025-9112	Mine Water and the Environment (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0303-1829	Notas de Población (Impresa)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0964-5691	Ocean & Coastal Management	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1405-7425	Papeles de Población	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0100-204X	Pesquisa Agropecuária Brasileira (1977. Impressa)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1473-0952	Planning Theory	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0098-7921	Population and Development Review	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0199-0039	Population and Environment	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0167-5923	Population Research and Policy Review	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1544-8444	Population, Space and Place	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1544-8452	Population Space and Place (Online)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0032-4728	Population Studies	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0309-1325	Progress in Human Geography	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0962-9343	Quality of Life Research	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0968-8080	Reproductive Health Matters (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0100-6762	Revista Árvore (Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0100-0683	Revista Brasileira de Ciência do Solo (Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0034-8910	Revista de Saúde Pública (Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1020-4989	Revista Panamericana de Salud Publica (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1445-6354	Rural and Remote Health	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0104-1290	Saúde e Sociedade (USP. Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0103-9016	Scientia Agricola (USP. Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0933-7954	Social Psychiatry and Psychiatric Epidemiology (Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0277-9536	Social Science & Medicine (1982)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0103-2070	Tempo Social (USP. Impresso)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1079-5014	The Journals of Gerontology. Series B, Psychological Sciences and Social Sciences	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0042-0980	Urban Studies (Harlow. Print)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0956-053X	Waste Management (Elmsford)	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0305-750X	World Development	A1	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0044-5967	Acta Amazonica (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1679-9291	Acta Scientiarum. Health Sciences (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1806-2563	Acta Scientiarum. Technology (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1178-6221	Air, Soil and Water Research	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1414-753X	Ambiente e Sociedade (Campinas)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0101-9759	Anuário do Instituto de Geociências (UFRJ. Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0273-2289	Applied Biochemistry and Biotechnology	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1808-5741	Arquiteturarevista (UNISINOS)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0066-782X	Arquivos Brasileiros de Cardiologia (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0004-2730	Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0004-282X	Arquivos de Neuro-Psiquiatria (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0197-4254	Atlantic Economic Journal	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0863-1808	Berliner Journal fur Soziologie	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0006-3444	Biometrika (London)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1981-3163	Bioscience Journal (Online)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0730-7659	Birth (Berkeley, Calif.)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1471-2288	BMC Medical Research Methodology (Online)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1471-2431	BMC Pediatrics (Online)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0717-7917	Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0006-8705	Bragantia (São Paulo, SP. Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1519-6984	Brazilian Journal of Biology (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0261-3050	Bulletin of Latin American Research	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0100-1574	Cadernos de Pesquisa (Fundação Carlos Chagas. Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0104-8333	Cadernos Pagu (UNICAMP. Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0104-7760	CERNE (UFLA)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1413-7054	Ciência e Agrotecnologia (UFLA)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1807-5932	Clinics	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0010-3853	Community Mental Health Journal	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0266-352X	Computers and Geotechnics	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0198-9715	Computers, Environment and Urban Systems	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0888-8892	Conservation Biology	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1808-2882	Custos e @gronegócio Online	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
1278-3366	Cybergeo (Paris)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0212-1573	Documents d'Anàlisi Geogràfica	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0101-7330	Educação & Sociedade (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
0100-6916	Engenharia Agrícola (Impresso)	A2	PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA	Atualizado
