ISSN	Título	Estrato	Área de Avaliação	Status
0001-6918	Acta Psychologica	A1	PSICOLOGIA	Atualizado
0269-9370	AIDS (London)	A1	PSICOLOGIA	Atualizado
1552-5260	Alzheimer's & Dementia	A1	PSICOLOGIA	Atualizado
1695-2294	Anales de Psicología	A1	PSICOLOGIA	Atualizado
0003-3472	Animal Behaviour	A1	PSICOLOGIA	Atualizado
1435-9448	Animal Cognition (Print)	A1	PSICOLOGIA	Atualizado
0212-9728	AN PSICOL-SPAIN	A1	PSICOLOGIA	Atualizado
0888-4080	Applied Cognitive Psychology (Print)	A1	PSICOLOGIA	Atualizado
0887-6177	Archives of Clinical Neuropsychology	A1	PSICOLOGIA	Atualizado
1943-3921	Attention, Perception & Psychophysics (Print)	A1	PSICOLOGIA	Atualizado
0197-3533	Basic and Applied Social Psychology	A1	PSICOLOGIA	Atualizado
0140-525X	Behavioral and Brain Sciences (Print)	A1	PSICOLOGIA	Atualizado
1045-2249	Behavioral Ecology	A1	PSICOLOGIA	Atualizado
0896-4289	Behavioral Medicine (Washington, D.C.)	A1	PSICOLOGIA	Atualizado
0735-7044	Behavioral Neuroscience	A1	PSICOLOGIA	Atualizado
1554-351X	Behavior Research Methods	A1	PSICOLOGIA	Atualizado
0005-7894	Behavior Therapy	A1	PSICOLOGIA	Atualizado
0166-4328	Behavioural Brain Research	A1	PSICOLOGIA	Atualizado
0376-6357	Behavioural Processes (Print)	A1	PSICOLOGIA	Atualizado
0005-7959	Behaviour (Leiden. Print)	A1	PSICOLOGIA	Atualizado
0006-3223	Biological Psychiatry (1969)	A1	PSICOLOGIA	Atualizado
0301-0511	Biological Psychology	A1	PSICOLOGIA	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	PSICOLOGIA	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	PSICOLOGIA	Atualizado
0145-2134	Child Abuse & Neglect	A1	PSICOLOGIA	Atualizado
0009-3920	Child Development	A1	PSICOLOGIA	Atualizado
0269-9931	Cognition and Emotion (Print)	A1	PSICOLOGIA	Atualizado
0747-5632	Computers in Human Behavior	A1	PSICOLOGIA	Atualizado
1040-0419	Creativity Research Journal	A1	PSICOLOGIA	Atualizado
1354-067X	Culture & Psychology	A1	PSICOLOGIA	Atualizado
1091-4269	Depression and Anxiety (Print)	A1	PSICOLOGIA	Atualizado
0012-1622	Developmental Medicine and Child Neurology (Print)	A1	PSICOLOGIA	Atualizado
8756-5641	Developmental Neuropsychology	A1	PSICOLOGIA	Atualizado
0012-1630	Developmental Psychobiology (Print)	A1	PSICOLOGIA	Atualizado
0012-1649	Developmental Psychology	A1	PSICOLOGIA	Atualizado
1363-755X	Developmental Science (Print)	A1	PSICOLOGIA	Atualizado
0954-5794	Development and Psychopathology (Print)	A1	PSICOLOGIA	Atualizado
0378-3782	Early Human Development	A1	PSICOLOGIA	Atualizado
0179-1613	Ethology	A1	PSICOLOGIA	Atualizado
1015-5759	European Journal of Psychological Assessment	A1	PSICOLOGIA	Atualizado
1016-9040	European Psychologist	A1	PSICOLOGIA	Atualizado
1090-5138	Evolution and Human Behavior	A1	PSICOLOGIA	Atualizado
0160-2896	Intelligence (Norwood)	A1	PSICOLOGIA	Atualizado
0165-0254	International Journal of Behavioral Development (Print)	A1	PSICOLOGIA	Atualizado
1697-2600	International Journal of Clinical and Health Psychology (2004)	A1	PSICOLOGIA	Atualizado
1461-1457	International Journal of Neuropsychopharmacology (Print)	A1	PSICOLOGIA	Atualizado
0020-7578	International Journal of Psycho-Analysis	A1	PSICOLOGIA	Atualizado
0146-0404	Investigative Ophthalmology & Visual Science	A1	PSICOLOGIA	Atualizado
0091-0627	Journal of Abnormal Child Psychology	A1	PSICOLOGIA	Atualizado
0140-1971	Journal of Adolescence (London, England. Print)	A1	PSICOLOGIA	Atualizado
0021-8855	Journal of Applied Behavior Analysis	A1	PSICOLOGIA	Atualizado
0193-3973	Journal of Applied Developmental Psychology	A1	PSICOLOGIA	Atualizado
0921-8971	Journal of Applied Phycology	A1	PSICOLOGIA	Atualizado
0021-9010	Journal of Applied Psychology	A1	PSICOLOGIA	Atualizado
0021-9630	Journal of Child Psychology and Psychiatry and Allied Disciplines (Print)	A1	PSICOLOGIA	Atualizado
1469-7610	Journal of Child Psychology and Psychiatry (Online)	A1	PSICOLOGIA	Atualizado
1537-4416	Journal of Clinical Child and Adolescent Psychology (Print)	A1	PSICOLOGIA	Atualizado
0021-9762	Journal of Clinical Psychology (Print)	A1	PSICOLOGIA	Atualizado
0271-0749	Journal of Clinical Psychopharmacology	A1	PSICOLOGIA	Atualizado
