ISSN	Título	Estrato	Área de Avaliação	Status
0001-4842	Accounts of Chemical Research	A1	QUÍMICA	Atualizado
1944-8244	ACS Applied Materials & Interfaces (Print)	A1	QUÍMICA	Atualizado
2155-5435	ACS Catalysis	A1	QUÍMICA	Atualizado
1936-0851	ACS Nano	A1	QUÍMICA	Atualizado
1742-7061	Acta Biomaterialia	A1	QUÍMICA	Atualizado
1616-301X	Advanced Functional Materials (Print)	A1	QUÍMICA	Atualizado
0935-9648	Advanced Materials (Weinheim Print)	A1	QUÍMICA	Atualizado
1615-4150	Advanced Synthesis & Catalysis (Print)	A1	QUÍMICA	Atualizado
0001-8686	Advances in Colloid and Interface Science (Print)	A1	QUÍMICA	Atualizado
0065-3055	Advances in Organometallic Chemistry	A1	QUÍMICA	Atualizado
0002-5100	Aldrichimica Acta	A1	QUÍMICA	Atualizado
0003-2654	Analyst (London. 1877. Print)	A1	QUÍMICA	Atualizado
0003-2670	Analytica Chimica Acta (Print)	A1	QUÍMICA	Atualizado
	Analytical Chemistry	A1	QUÍMICA	Atualizado
0003-2700	Analytical Chemistry (Washington)	A1	QUÍMICA	Atualizado
1433-7851	Angewandte Chemie (International ed. Print)	A1	QUÍMICA	Atualizado
0305-7364	Annals of Botany (Print)	A1	QUÍMICA	Atualizado
0003-4967	Annals of the Rheumatic Diseases	A1	QUÍMICA	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	QUÍMICA	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	QUÍMICA	Atualizado
0166-3542	Antiviral Research	A1	QUÍMICA	Atualizado
0926-3373	Applied Catalysis. B, Environmental (Print)	A1	QUÍMICA	Atualizado
0306-2619	Applied Energy	A1	QUÍMICA	Atualizado
0340-5761	Archives of Toxicology	A1	QUÍMICA	Atualizado
0264-6021	Biochemical Journal (London. 1984)	A1	QUÍMICA	Atualizado
0006-2952	Biochemical Pharmacology	A1	QUÍMICA	Atualizado
1388-1981	Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids	A1	QUÍMICA	Atualizado
0005-2736	Biochimica et Biophysica Acta. Biomembranes	A1	QUÍMICA	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	QUÍMICA	Atualizado
1043-1802	Bioconjugate Chemistry	A1	QUÍMICA	Atualizado
0892-7014	Biofouling (New York. Print)	A1	QUÍMICA	Atualizado
0006-3363	Biology of Reproduction	A1	QUÍMICA	Atualizado
1525-7797	Biomacromolecules	A1	QUÍMICA	Atualizado
0142-9612	Biomaterials (Guildford)	A1	QUÍMICA	Atualizado
0960-8524	Bioresource Technology	A1	QUÍMICA	Atualizado
0956-5663	Biosensors & Bioelectronics	A1	QUÍMICA	Atualizado
1471-2164	BMC Genomics	A1	QUÍMICA	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	QUÍMICA	Atualizado
0007-1188	British Journal of Pharmacology	A1	QUÍMICA	Atualizado
0304-3835	Cancer Letters (Print)	A1	QUÍMICA	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	QUÍMICA	Atualizado
0008-6223	Carbon (New York)	A1	QUÍMICA	Atualizado
1867-3880	ChemCatChem	A1	QUÍMICA	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A1	QUÍMICA	Atualizado
0009-2665	Chemical Reviews	A1	QUÍMICA	Atualizado
2041-6520	Chemical Science: a new journal for findings of exceptional significance from across the chemical sciences	A1	QUÍMICA	Atualizado
