ISSN	Título	Estrato	Área de Avaliação	Status
0001-690X	Acta Psychiatrica Scandinavica	A1	SAÚDE COLETIVA	Atualizado
0965-2140	Addiction (Abingdon. Print)	A1	SAÚDE COLETIVA	Atualizado
0001-8686	Advances in Colloid and Interface Science (Print)	A1	SAÚDE COLETIVA	Atualizado
0002-0729	Age and Ageing	A1	SAÚDE COLETIVA	Atualizado
1568-1637	Ageing Research Reviews (Print)	A1	SAÚDE COLETIVA	Atualizado
0269-9370	AIDS (London)	A1	SAÚDE COLETIVA	Atualizado
0105-4538	Allergy (Copenhagen)	A1	SAÚDE COLETIVA	Atualizado
0002-9165	American Journal of Clinical Nutrition	A1	SAÚDE COLETIVA	Atualizado
0002-9262	American Journal of Epidemiology	A1	SAÚDE COLETIVA	Atualizado
1545-7214	American Journal of Geriatric Psychiatry (Online)	A1	SAÚDE COLETIVA	Atualizado
0002-9297	American Journal of Human Genetics	A1	SAÚDE COLETIVA	Atualizado
0895-7061	American Journal of Hypertension	A1	SAÚDE COLETIVA	Atualizado
0195-6108	American Journal of Neuroradiology	A1	SAÚDE COLETIVA	Atualizado
1097-6868	American Journal of Obstetrics and Gynecology (Online)	A1	SAÚDE COLETIVA	Atualizado
0002-9378	American Journal of Obstetrics and Gynecology (Print)	A1	SAÚDE COLETIVA	Atualizado
0002-9394	American Journal of Ophthalmology	A1	SAÚDE COLETIVA	Atualizado
0749-3797	American Journal of Preventive Medicine	A1	SAÚDE COLETIVA	Atualizado
0090-0036	American Journal of Public Health (1971)	A1	SAÚDE COLETIVA	Atualizado
1073-449X	American Journal of Respiratory and Critical Care Medicine	A1	SAÚDE COLETIVA	Atualizado
1047-2797	Annals of Epidemiology	A1	SAÚDE COLETIVA	Atualizado
0003-4819	Annals of Internal Medicine	A1	SAÚDE COLETIVA	Atualizado
0003-4932	Annals of Surgery	A1	SAÚDE COLETIVA	Atualizado
1068-9265	Annals of Surgical Oncology	A1	SAÚDE COLETIVA	Atualizado
0003-4967	Annals of the Rheumatic Diseases	A1	SAÚDE COLETIVA	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	A1	SAÚDE COLETIVA	Atualizado
1523-0864	Antioxidants & Redox Signalling	A1	SAÚDE COLETIVA	Atualizado
0099-2240	Applied and Environmental Microbiology (Print)	A1	SAÚDE COLETIVA	Atualizado
0003-987X	Archives of Dermatology (1960)	A1	SAÚDE COLETIVA	Atualizado
0003-9926	Archives of Internal Medicine (1960)	A1	SAÚDE COLETIVA	Atualizado
0003-9950	Archives of Ophthalmology (1960)	A1	SAÚDE COLETIVA	Atualizado
1079-5642	Arteriosclerosis, Thrombosis, and Vascular Biology	A1	SAÚDE COLETIVA	Atualizado
0004-3591	Arthritis and Rheumatism	A1	SAÚDE COLETIVA	Atualizado
2151-464X	Arthritis Care & Research (Print)	A1	SAÚDE COLETIVA	Atualizado
1478-6354	Arthritis Research & Therapy (Print)	A1	SAÚDE COLETIVA	Atualizado
0021-9150	Atherosclerosis (Amsterdam)	A1	SAÚDE COLETIVA	Atualizado
1352-2310	Atmospheric Environment (1994)	A1	SAÚDE COLETIVA	Atualizado
0166-4328	Behavioural Brain Research	A1	SAÚDE COLETIVA	Atualizado
1431-6730	Biological Chemistry (Print)	A1	SAÚDE COLETIVA	Atualizado
0006-3207	Biological Conservation	A1	SAÚDE COLETIVA	Atualizado
0006-3223	Biological Psychiatry (1969)	A1	SAÚDE COLETIVA	Atualizado
0968-0896	Bioorganic & Medicinal Chemistry (Print)	A1	SAÚDE COLETIVA	Atualizado
1398-5647	Bipolar Disorders (Print)	A1	SAÚDE COLETIVA	Atualizado
1470-0328	BJOG (Oxford. Print)	A1	SAÚDE COLETIVA	Atualizado
1528-0020	Blood (Philadelphia. Online)	A1	SAÚDE COLETIVA	Atualizado
0006-4971	Blood (Philadelphia, PA)	A1	SAÚDE COLETIVA	Atualizado
1471-2105	BMC Bioinformatics	A1	SAÚDE COLETIVA	Atualizado
1471-2164	BMC Genomics	A1	SAÚDE COLETIVA	Atualizado
0959-535X	BMJ. British Medical Journal	A1	SAÚDE COLETIVA	Atualizado
0959-8138	BMJ. British Medical Journal (Clinical Research Ed.)	A1	SAÚDE COLETIVA	Atualizado
0959-8146	BMJ (International Edition)	A1	SAÚDE COLETIVA	Atualizado
0268-3369	Bone Marrow Transplantation (Basingstoke)	A1	SAÚDE COLETIVA	Atualizado
8756-3282	Bone (New York, N.Y.)	A1	SAÚDE COLETIVA	Atualizado
0889-1591	Brain, Behavior, and Immunity	A1	SAÚDE COLETIVA	Atualizado
0361-9230	Brain Research Bulletin	A1	SAÚDE COLETIVA	Atualizado
0167-6806	Breast Cancer Research and Treatment	A1	SAÚDE COLETIVA	Atualizado
0007-0920	British Journal of Cancer	A1	SAÚDE COLETIVA	Atualizado
0007-0963	British Journal of Dermatology (1951. Print)	A1	SAÚDE COLETIVA	Atualizado
0007-1145	British Journal of Nutrition	A1	SAÚDE COLETIVA	Atualizado
0140-7686	British Journal of Obstetrics and Gynaecology. Supplement	A1	SAÚDE COLETIVA	Atualizado
0007-1161	British Journal of Ophthalmology	A1	SAÚDE COLETIVA	Atualizado
0007-1188	British Journal of Pharmacology	A1	SAÚDE COLETIVA	Atualizado
1472-1465	British Journal of Psychiatry (Online)	A1	SAÚDE COLETIVA	Atualizado
0007-1250	British Journal of Psychiatry (Print)	A1	SAÚDE COLETIVA	Atualizado
0042-9686	Bulletin of the World Health Organization (Print)	A1	SAÚDE COLETIVA	Atualizado
1055-9965	Cancer Epidemiology, Biomarkers & Prevention	A1	SAÚDE COLETIVA	Atualizado
0008-543X	Cancer (Print)	A1	SAÚDE COLETIVA	Atualizado
0008-5472	Cancer Research (Chicago, Ill.)	A1	SAÚDE COLETIVA	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	SAÚDE COLETIVA	Atualizado
0957-5243	CCC. Cancer Causes & Control	A1	SAÚDE COLETIVA	Atualizado
0333-1024	Cephalalgia (Oslo)	A1	SAÚDE COLETIVA	Atualizado
0045-6535	Chemosphere (Oxford)	A1	SAÚDE COLETIVA	Atualizado
0012-3692	Chest (American College of Chest Physicians)	A1	SAÚDE COLETIVA	Atualizado
	Chest (Chicago)	A1	SAÚDE COLETIVA	Atualizado
0009-7322	Circulation (New York, N.Y.)	A1	SAÚDE COLETIVA	Atualizado
1524-4539	Circulation (Online)	A1	SAÚDE COLETIVA	Atualizado
0165-0009	Climatic Change	A1	SAÚDE COLETIVA	Atualizado
0954-7894	Clinical and Experimental Allergy (Print)	A1	SAÚDE COLETIVA	Atualizado
0009-9104	Clinical and Experimental Immunology (Print)	A1	SAÚDE COLETIVA	Atualizado
1078-0432	Clinical Cancer Research (Print)	A1	SAÚDE COLETIVA	Atualizado
1365-2265	Clinical Endocrinology (Oxford. Online)	A1	SAÚDE COLETIVA	Atualizado
0300-0664	Clinical Endocrinology (Oxford. Print)	A1	SAÚDE COLETIVA	Atualizado
1521-6616	Clinical Immunology (Orlando, Fla. Print)	A1	SAÚDE COLETIVA	Atualizado
1058-4838	Clinical Infectious Diseases	A1	SAÚDE COLETIVA	Atualizado
0893-8512	Clinical Microbiology Reviews (Print)	A1	SAÚDE COLETIVA	Atualizado
1388-2457	Clinical Neurophysiology	A1	SAÚDE COLETIVA	Atualizado
1440-6047	Clinical Nutrition	A1	SAÚDE COLETIVA	Atualizado
0261-5614	Clinical Nutrition (Edinburgh)	A1	SAÚDE COLETIVA	Atualizado
0009-9236	Clinical Pharmacology and Therapeutics	A1	SAÚDE COLETIVA	Atualizado
0143-5221	Clinical Science (1979)	A1	SAÚDE COLETIVA	Atualizado
1364-8535	Critical Care (London. Print)	A1	SAÚDE COLETIVA	Atualizado
0090-3493	Critical Care Medicine	A1	SAÚDE COLETIVA	Atualizado
0929-8673	Current Medicinal Chemistry	A1	SAÚDE COLETIVA	Atualizado
1363-1950	Current Opinion in Clinical Nutrition and Metabolic Care	A1	SAÚDE COLETIVA	Atualizado
1381-6128	Current Pharmaceutical Design (Print)	A1	SAÚDE COLETIVA	Atualizado
1091-4269	Depression and Anxiety (Print)	A1	SAÚDE COLETIVA	Atualizado
0012-1622	Developmental Medicine and Child Neurology (Print)	A1	SAÚDE COLETIVA	Atualizado
0149-5992	Diabetes Care	A1	SAÚDE COLETIVA	Atualizado
0012-1797	Diabetes (New York, N.Y.)	A1	SAÚDE COLETIVA	Atualizado
1462-8902	Diabetes, Obesity and Metabolism (Print)	A1	SAÚDE COLETIVA	Atualizado
0742-3071	Diabetic Medicine	A1	SAÚDE COLETIVA	Atualizado
1464-5491	Diabetic Medicine	A1	SAÚDE COLETIVA	Atualizado
0012-186X	Diabetologia (Berlin)	A1	SAÚDE COLETIVA	Atualizado
0376-8716	Drug and Alcohol Dependence	A1	SAÚDE COLETIVA	Atualizado
0090-9556	Drug Metabolism and Disposition	A1	SAÚDE COLETIVA	Atualizado
0013-4686	Electrochimica Acta	A1	SAÚDE COLETIVA	Atualizado
1469-221X	EMBO Reports (Print)	A1	SAÚDE COLETIVA	Atualizado
1080-6059	Emerging Infectious Diseases (Online)	A1	SAÚDE COLETIVA	Atualizado
1080-6040	Emerging Infectious Diseases (Print)	A1	SAÚDE COLETIVA	Atualizado
0013-7227	Endocrinology (Philadelphia)	A1	SAÚDE COLETIVA	Atualizado
