ISSN	Título	Estrato	Área de Avaliação	Status
1983-8239	Caderno CRH (Online)	A1	SERVIÇO SOCIAL	Atualizado
0103-4979	Caderno CRH (UFBA. Impresso)	A1	SERVIÇO SOCIAL	Atualizado
0020-8728	International Social Work	A1	SERVIÇO SOCIAL	Atualizado
0102-7972	Psicologia: Reflexão e Crítica (UFRGS. Impresso)	A1	SERVIÇO SOCIAL	Atualizado
1414-4980	Revista Katálysis (Impresso)	A1	SERVIÇO SOCIAL	Atualizado
0101-6628	Serviço Social & Sociedade	A1	SERVIÇO SOCIAL	Atualizado
1517-4522	Sociologias (UFRGS. Impresso)	A1	SERVIÇO SOCIAL	Atualizado
0090-0036	American Journal of Public Health (1971)	A2	SERVIÇO SOCIAL	Atualizado
2176-9575	Argumentum (Vitória)	A2	SERVIÇO SOCIAL	Atualizado
0100-879X	Brazilian Journal of Medical and Biological Research (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A2	SERVIÇO SOCIAL	Atualizado
0104-8333	Cadernos Pagu (UNICAMP. Impresso)	A2	SERVIÇO SOCIAL	Atualizado
1413-8123	Ciência e Saúde Coletiva (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
1678-4561	Ciência & Saúde Coletiva (Online)	A2	SERVIÇO SOCIAL	Atualizado
0011-3921	Current Sociology (Print)	A2	SERVIÇO SOCIAL	Atualizado
0921-8009	Ecological Economics (Amsterdam)	A2	SERVIÇO SOCIAL	Atualizado
0102-4698	Educação em Revista (UFMG. Impresso)	A2	SERVIÇO SOCIAL	Atualizado
1414-8609	Em Pauta (Rio De Janeiro)	A2	SERVIÇO SOCIAL	Atualizado
0104-4036	Ensaio (Fundação Cesgranrio. Impresso)	A2	SERVIÇO SOCIAL	Atualizado
0103-4014	Estudos Avançados (USP. Impresso)	A2	SERVIÇO SOCIAL	Atualizado
1413-294X	Estudos de Psicologia (UFRN)	A2	SERVIÇO SOCIAL	Atualizado
0197-6664	Family Relations	A2	SERVIÇO SOCIAL	Atualizado
0104-5970	História, Ciências, Saúde-Manguinhos (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
1058-0476	Journal of Family and Economic Issues	A2	SERVIÇO SOCIAL	Atualizado
0031-4773	La Pensée (Paris)	A2	SERVIÇO SOCIAL	Atualizado
0102-6445	Lua Nova (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
0027-0520	Monthly Review (New York. 1949)	A2	SERVIÇO SOCIAL	Atualizado
0251-3552	Nueva Sociedad	A2	SERVIÇO SOCIAL	Atualizado
0301-7036	Problemas del Desarrollo	A2	SERVIÇO SOCIAL	Atualizado
1413-7372	Psicologia em Estudo (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
0102-7182	Psicologia e Sociedade (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
1413-2478	Revista Brasileira de Educação (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
2178-2865	Revista de Políticas Públicas	A2	SERVIÇO SOCIAL	Atualizado
0104-8740	Revista de Politicas Publicas (UFMA)	A2	SERVIÇO SOCIAL	Atualizado
0034-8910	Revista de Saúde Pública (Impresso)	A2	SERVIÇO SOCIAL	Atualizado
1518-8787	Revista de Saúde Pública (Online)	A2	SERVIÇO SOCIAL	Atualizado
2238-3786	Revista Em Pauta	A2	SERVIÇO SOCIAL	Atualizado
0104-026X	Revista Estudos Feministas (UFSC. Impresso)	A2	SERVIÇO SOCIAL	Atualizado
2178-8987	SER Social (Online)	A2	SERVIÇO SOCIAL	Atualizado
1415-6946	Ser Social (UnB)	A2	SERVIÇO SOCIAL	Atualizado
