ISSN	Título	Estrato	Área de Avaliação	Status
0335-5322	Actes de la Recherche en Sciences Sociales	A1	SOCIOLOGIA	Atualizado
0002-7294	American Anthropologist	A1	SOCIOLOGIA	Atualizado
1042-0533	American Journal of Human Biology	A1	SOCIOLOGIA	Atualizado
0003-2573	Análise Social	A1	SOCIOLOGIA	Atualizado
1573-3416	An International Journal of Politics, Culture and Society (Dordrecht. Online)	A1	SOCIOLOGIA	Atualizado
0004-0002	Archives of Sexual Behavior	A1	SOCIOLOGIA	Atualizado
0261-3050	Bulletin of Latin American Research	A1	SOCIOLOGIA	Atualizado
1983-8239	Caderno CRH (Online)	A1	SOCIOLOGIA	Atualizado
0103-4979	Caderno CRH (UFBA. Impresso)	A1	SOCIOLOGIA	Atualizado
0104-8333	Cadernos Pagu (UNICAMP. Impresso)	A1	SOCIOLOGIA	Atualizado
0010-4159	Comparative Politics	A1	SOCIOLOGIA	Atualizado
1351-0487	Constellations (Oxford. Print)	A1	SOCIOLOGIA	Atualizado
0094-3061	Contemporary Sociology (Washington)	A1	SOCIOLOGIA	Atualizado
1354-067X	Culture & Psychology	A1	SOCIOLOGIA	Atualizado
0011-3204	Current Anthropology	A1	SOCIOLOGIA	Atualizado
0011-3921	Current Sociology (Print)	A1	SOCIOLOGIA	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A1	SOCIOLOGIA	Atualizado
1351-0347	Democratization (London)	A1	SOCIOLOGIA	Atualizado
0101-7330	Educação & Sociedade (Impresso)	A1	SOCIOLOGIA	Atualizado
1044-3983	Epidemiology (Cambridge, Mass., Print)	A1	SOCIOLOGIA	Atualizado
0185-4186	Estudios Sociológicos	A1	SOCIOLOGIA	Atualizado
0141-9870	Ethnic and Racial Studies (Print)	A1	SOCIOLOGIA	Atualizado
0873-6561	Etnográfica (Lisboa	A1	SOCIOLOGIA	Atualizado
0014-2182	Etudes Rurales	A1	SOCIOLOGIA	Atualizado
1368-4310	European Journal of Social Theory	A1	SOCIOLOGIA	Atualizado
0104-5970	História, Ciências, Saúde-Manguinhos (Impresso)	A1	SOCIOLOGIA	Atualizado
1678-4758	História, Ciências, Saúde-Manguinhos (Online)	A1	SOCIOLOGIA	Atualizado
1806-9983	Horizontes Antropológicos (Online)	A1	SOCIOLOGIA	Atualizado
0104-7183	Horizontes Antropológicos (UFRGS. Impresso)	A1	SOCIOLOGIA	Atualizado
0539-0184	Information sur les Sciences Sociales (Paris)	A1	SOCIOLOGIA	Atualizado
0891-4486	International Journal of Politics, Culture and Society	A1	SOCIOLOGIA	Atualizado
2182-4096	International Journal on Working Conditions	A1	SOCIOLOGIA	Atualizado
0192-5121	International Political Science Review	A1	SOCIOLOGIA	Atualizado
0269-2171	International Review of Applied Economics	A1	SOCIOLOGIA	Atualizado
0020-8701	International Social Science Journal (Print)	A1	SOCIOLOGIA	Atualizado
0268-5809	International Sociology	A1	SOCIOLOGIA	Atualizado
1468-795X	Journal of Classical Sociology	A1	SOCIOLOGIA	Atualizado
1467-6443	Journal of Historical Sociology (Online)	A1	SOCIOLOGIA	Atualizado
0022-216X	Journal of Latin American Studies (Print)	A1	SOCIOLOGIA	Atualizado
0022-4537	Journal of Social Issues (Print)	A1	SOCIOLOGIA	Atualizado
0094-582X	Latin American Perspectives	A1	SOCIOLOGIA	Atualizado
0023-8791	Latin American Research Review	A1	SOCIOLOGIA	Atualizado
0102-6445	Lua Nova (Impresso)	A1	SOCIOLOGIA	Atualizado
1678-4944	Mana (Rio de Janeiro. Online)	A1	SOCIOLOGIA	Atualizado
0104-9313	Mana (UFRJ. Impresso)	A1	SOCIOLOGIA	Atualizado
0101-3300	Novos Estudos CEBRAP (Impresso)	A1	SOCIOLOGIA	Atualizado
0102-4469	Perspectiva Teológica (Belo Horizonte)	A1	SOCIOLOGIA	Atualizado
0048-3931	Philosophy of the Social Sciences	A1	SOCIOLOGIA	Atualizado
0191-4537	Philosophy & Social Criticism	A1	SOCIOLOGIA	Atualizado
0276-5624	Research in Social Stratification and Mobility	A1	SOCIOLOGIA	Atualizado
0048-7333	Research Policy	A1	SOCIOLOGIA	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	A1	SOCIOLOGIA	Atualizado
0254-1106	Revista Crítica de Ciências Sociais	A1	SOCIOLOGIA	Atualizado
0034-7701	Revista de Antropologia (USP. Impresso)	A1	SOCIOLOGIA	Atualizado
0188-2503	Revista Mexicana de SociologÍa	A1	SOCIOLOGIA	Atualizado
0390-6701	Revue Internationale de Sociologie	A1	SOCIOLOGIA	Atualizado
0037-7686	Social Compass (Imprimé)	A1	SOCIOLOGIA	Atualizado
0037-7732	Social Forces	A1	SOCIOLOGIA	Atualizado
0303-8300	Social Indicators Research	A1	SOCIOLOGIA	Atualizado
0277-9536	Social Science & Medicine (1982)	A1	SOCIOLOGIA	Atualizado
0102-6992	Sociedade e Estado (UnB. Impresso)	A1	SOCIOLOGIA	Atualizado
0038-0199	Sociologia Ruralis (Print)	A1	SOCIOLOGIA	Atualizado
1517-4522	Sociologias (UFRGS. Impresso)	A1	SOCIOLOGIA	Atualizado
0735-2751	Sociological Theory	A1	SOCIOLOGIA	Atualizado
0038-0296	Sociologie du Travail	A1	SOCIOLOGIA	Atualizado
1069-4404	Sociology of Religion	A1	SOCIOLOGIA	Atualizado
0340-918X	Soziologie (Opladen)	A1	SOCIOLOGIA	Atualizado
0103-2070	Tempo Social (USP. Impresso)	A1	SOCIOLOGIA	Atualizado
0002-7162	The Annals of the American Academy of Political and Social Science	A1	SOCIOLOGIA	Atualizado
0263-2764	Theory, Culture & Society	A1	SOCIOLOGIA	Atualizado
0725-5136	Thesis Eleven (Print)	A1	SOCIOLOGIA	Atualizado
0730-8884	Work and Occupations	A1	SOCIOLOGIA	Atualizado
0305-750X	World Development	A1	SOCIOLOGIA	Atualizado
0954-0121	Aids Care (Print)	A2	SOCIOLOGIA	Atualizado
0889-2229	AIDS Research and Human Retroviruses	A2	SOCIOLOGIA	Atualizado
1414-753X	Ambiente e Sociedade (Campinas)	A2	SOCIOLOGIA	Atualizado
1809-4422	Ambiente & Sociedade (Online)	A2	SOCIOLOGIA	Atualizado
0044-7447	Ambio (Oslo)	A2	SOCIOLOGIA	Atualizado
1130-2887	América Latina Hoy	A2	SOCIOLOGIA	Atualizado
0161-7761	Anthropology & Education Quarterly	A2	SOCIOLOGIA	Atualizado
0210-1963	Arbor (Madrid)	A2	SOCIOLOGIA	Atualizado
0863-1808	Berliner Journal fur Soziologie	A2	SOCIOLOGIA	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A2	SOCIOLOGIA	Atualizado
1298-6046	Cahiers du Genre (Paris)	A2	SOCIOLOGIA	Atualizado
0008-0276	Cahiers Internationaux de Sociologie	A2	SOCIOLOGIA	Atualizado
0826-3663	Canadian Journal of Latin American and Caribbean Studies	A2	SOCIOLOGIA	Atualizado
1188-3774	Canadian Journal of Urban Research	A2	SOCIOLOGIA	Atualizado
0309-8168	Capital & Class	A2	SOCIOLOGIA	Atualizado
0341-8162	Catena (Cremlingen)	A2	SOCIOLOGIA	Atualizado
1519-6089	Civitas: Revista de Ciências Sociais (Impresso)	A2	SOCIOLOGIA	Atualizado
0010-4086	Comparative Education Review	A2	SOCIOLOGIA	Atualizado
0360-1315	Computers and Education	A2	SOCIOLOGIA	Atualizado
0102-8529	Contexto Internacional (PUCRJ. Impresso)	A2	SOCIOLOGIA	Atualizado
1478-0046	Cultural and Social History (Online)	A2	SOCIOLOGIA	Atualizado
0419-1633	Diogène (Ed. Française)	A2	SOCIOLOGIA	Atualizado
0392-1921	Diogenes (English ed.)	A2	SOCIOLOGIA	Atualizado
1362-024X	Durkheimian Studies	A2	SOCIOLOGIA	Atualizado
0921-8009	Ecological Economics (Amsterdam)	A2	SOCIOLOGIA	Atualizado
0143-831X	Economic and Industrial Democracy	A2	SOCIOLOGIA	Atualizado
0142-5455	Employee Relations	A2	SOCIOLOGIA	Atualizado
0104-4036	Ensaio (Fundação Cesgranrio. Impresso)	A2	SOCIOLOGIA	Atualizado
0014-1844	Ethnos (Stockholm)	A2	SOCIOLOGIA	Atualizado
0015-704X	Fordham Law Review	A2	SOCIOLOGIA	Atualizado
0016-3287	Futures (London)	A2	SOCIOLOGIA	Atualizado
0197-3975	Habitat International	A2	SOCIOLOGIA	Atualizado
1468-2737	Hispanic Research Journal	A2	SOCIOLOGIA	Atualizado
0018-7615	Humboldt (Spanische Ausg.)	A2	SOCIOLOGIA	Atualizado
