ISSN	Título	Estrato	Área de Avaliação	Status
0001-706X	Acta Tropica	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0308-521X	Agricultural Systems	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0002-9122	American Journal of Botany	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0002-9599	American Journal of Science (1880)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0003-3472	Animal Behaviour	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1367-9430	Animal Conservation (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0268-9146	Animal Genetics (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0166-445X	Aquatic Toxicology	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0166-4328	Behavioural Brain Research	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0006-291X	Biochemical and Biophysical Research Communications (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0304-4165	Biochimica et Biophysica Acta. G, General Subjects (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0006-3207	Biological Conservation	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0006-3363	Biology of Reproduction	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0961-9534	Biomass & Bioenergy	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1471-2156	BMC Genetics (Online)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1471-2164	BMC Genomics	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0024-4074	Botanical Journal of the Linnean Society (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0007-1145	British Journal of Nutrition	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0144-8617	Carbohydrate Polymers	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0045-6535	Chemosphere (Oxford)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1532-0456	Comparative Biochemistry and Physiology. C. Toxicology & Pharmacology	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1058-8388	Developmental Dynamics	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0925-8574	Ecological Engineering	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1470-160X	Ecological Indicators	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0013-9351	Environmental Research (New York, N.Y. Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0944-1344	Environmental Science and Pollution Research International	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0730-7268	Environmental Toxicology and Chemistry	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0160-4120	Environment International	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1161-0301	European Journal of Agronomy	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0940-2993	Experimental and Toxicologic Pathology (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0015-0282	Fertility and Sterility	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1050-4648	Fish & Shellfish Immunology (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1935-5149	Food and Bioprocess Technology (Online)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1935-5130	Food and Bioprocess Technology (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0308-8146	Food Chemistry	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0378-1127	Forest Ecology and Management	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1095-6840	General and Comparative Endocrinology (Online)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0016-6480	General and Comparative Endocrinology (Print)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0016-6731	Genetics (Austin, Tex.)	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
0999-193X	Genetics Selection Evolution: for integrative research on quantitative and molecular genetics	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
1088-9051	Genome Research	A1	ZOOTECNIA / RECURSOS PESQUEIROS	Atualizado
